L,nsites,n_target,n,N,U,delta
14,196,1.0,1.0,98,0.0,0.1
14,196,1.0,1.0,98,0.0,0.2
14,196,1.0,1.0,98,0.0,0.3
14,196,1.0,1.0,98,0.0,0.4
14,196,1.0,1.0,98,0.0,0.5
14,196,1.0,1.0,98,0.0,0.6
14,196,1.0,1.0,98,0.0,0.7
14,196,1.0,1.0,98,2.0,0.1
14,196,1.0,1.0,98,2.0,0.2
14,196,1.0,1.0,98,2.0,0.3
14,196,1.0,1.0,98,2.0,0.4
14,196,1.0,1.0,98,2.0,0.5
14,196,1.0,1.0,98,2.0,0.6
14,196,1.0,1.0,98,2.0,0.7
14,196,1.0,1.0,98,3.0,0.1
14,196,1.0,1.0,98,3.0,0.2
14,196,1.0,1.0,98,3.0,0.3
14,196,1.0,1.0,98,3.0,0.4
14,196,1.0,1.0,98,3.0,0.5
14,196,1.0,1.0,98,3.0,0.6
14,196,1.0,1.0,98,3.0,0.7
14,196,1.0,1.0,98,3.5,0.1
14,196,1.0,1.0,98,3.5,0.2
14,196,1.0,1.0,98,3.5,0.3
14,196,1.0,1.0,98,3.5,0.4
14,196,1.0,1.0,98,3.5,0.5
14,196,1.0,1.0,98,3.5,0.6
14,196,1.0,1.0,98,3.5,0.7
14,196,1.0,1.0,98,4.0,0.1
14,196,1.0,1.0,98,4.0,0.2
14,196,1.0,1.0,98,4.0,0.3
14,196,1.0,1.0,98,4.0,0.4
14,196,1.0,1.0,98,4.0,0.5
14,196,1.0,1.0,98,4.0,0.6
14,196,1.0,1.0,98,4.0,0.7
14,196,1.0,1.0,98,4.5,0.1
14,196,1.0,1.0,98,4.5,0.2
14,196,1.0,1.0,98,4.5,0.3
14,196,1.0,1.0,98,4.5,0.4
14,196,1.0,1.0,98,4.5,0.5
14,196,1.0,1.0,98,4.5,0.6
14,196,1.0,1.0,98,4.5,0.7
14,196,1.0,1.0,98,5.0,0.1
14,196,1.0,1.0,98,5.0,0.2
14,196,1.0,1.0,98,5.0,0.3
14,196,1.0,1.0,98,5.0,0.4
14,196,1.0,1.0,98,5.0,0.5
14,196,1.0,1.0,98,5.0,0.6
14,196,1.0,1.0,98,5.0,0.7
14,196,0.95,0.949,93,0.0,0.1
14,196,0.95,0.949,93,0.0,0.2
14,196,0.95,0.949,93,0.0,0.3
14,196,0.95,0.949,93,0.0,0.4
14,196,0.95,0.949,93,0.0,0.5
14,196,0.95,0.949,93,0.0,0.6
14,196,0.95,0.949,93,0.0,0.7
14,196,0.95,0.949,93,2.0,0.1
14,196,0.95,0.949,93,2.0,0.2
14,196,0.95,0.949,93,2.0,0.3
14,196,0.95,0.949,93,2.0,0.4
14,196,0.95,0.949,93,2.0,0.5
14,196,0.95,0.949,93,2.0,0.6
14,196,0.95,0.949,93,2.0,0.7
14,196,0.95,0.949,93,3.0,0.1
14,196,0.95,0.949,93,3.0,0.2
14,196,0.95,0.949,93,3.0,0.3
14,196,0.95,0.949,93,3.0,0.4
14,196,0.95,0.949,93,3.0,0.5
14,196,0.95,0.949,93,3.0,0.6
14,196,0.95,0.949,93,3.0,0.7
14,196,0.95,0.949,93,3.5,0.1
14,196,0.95,0.949,93,3.5,0.2
14,196,0.95,0.949,93,3.5,0.3
14,196,0.95,0.949,93,3.5,0.4
14,196,0.95,0.949,93,3.5,0.5
14,196,0.95,0.949,93,3.5,0.6
14,196,0.95,0.949,93,3.5,0.7
14,196,0.95,0.949,93,4.0,0.1
14,196,0.95,0.949,93,4.0,0.2
14,196,0.95,0.949,93,4.0,0.3
14,196,0.95,0.949,93,4.0,0.4
14,196,0.95,0.949,93,4.0,0.5
14,196,0.95,0.949,93,4.0,0.6
14,196,0.95,0.949,93,4.0,0.7
14,196,0.95,0.949,93,4.5,0.1
14,196,0.95,0.949,93,4.5,0.2
14,196,0.95,0.949,93,4.5,0.3
14,196,0.95,0.949,93,4.5,0.4
14,196,0.95,0.949,93,4.5,0.5
14,196,0.95,0.949,93,4.5,0.6
14,196,0.95,0.949,93,4.5,0.7
14,196,0.95,0.949,93,5.0,0.1
14,196,0.95,0.949,93,5.0,0.2
14,196,0.95,0.949,93,5.0,0.3
14,196,0.95,0.949,93,5.0,0.4
14,196,0.95,0.949,93,5.0,0.5
14,196,0.95,0.949,93,5.0,0.6
14,196,0.95,0.949,93,5.0,0.7
14,196,0.9,0.898,88,0.0,0.1
14,196,0.9,0.898,88,0.0,0.2
14,196,0.9,0.898,88,0.0,0.3
14,196,0.9,0.898,88,0.0,0.4
14,196,0.9,0.898,88,0.0,0.5
14,196,0.9,0.898,88,0.0,0.6
14,196,0.9,0.898,88,0.0,0.7
14,196,0.9,0.898,88,2.0,0.1
14,196,0.9,0.898,88,2.0,0.2
14,196,0.9,0.898,88,2.0,0.3
14,196,0.9,0.898,88,2.0,0.4
14,196,0.9,0.898,88,2.0,0.5
14,196,0.9,0.898,88,2.0,0.6
14,196,0.9,0.898,88,2.0,0.7
14,196,0.9,0.898,88,3.0,0.1
14,196,0.9,0.898,88,3.0,0.2
14,196,0.9,0.898,88,3.0,0.3
14,196,0.9,0.898,88,3.0,0.4
14,196,0.9,0.898,88,3.0,0.5
14,196,0.9,0.898,88,3.0,0.6
14,196,0.9,0.898,88,3.0,0.7
14,196,0.9,0.898,88,3.5,0.1
14,196,0.9,0.898,88,3.5,0.2
14,196,0.9,0.898,88,3.5,0.3
14,196,0.9,0.898,88,3.5,0.4
14,196,0.9,0.898,88,3.5,0.5
14,196,0.9,0.898,88,3.5,0.6
14,196,0.9,0.898,88,3.5,0.7
14,196,0.9,0.898,88,4.0,0.1
14,196,0.9,0.898,88,4.0,0.2
14,196,0.9,0.898,88,4.0,0.3
14,196,0.9,0.898,88,4.0,0.4
14,196,0.9,0.898,88,4.0,0.5
14,196,0.9,0.898,88,4.0,0.6
14,196,0.9,0.898,88,4.0,0.7
14,196,0.9,0.898,88,4.5,0.1
14,196,0.9,0.898,88,4.5,0.2
14,196,0.9,0.898,88,4.5,0.3
14,196,0.9,0.898,88,4.5,0.4
14,196,0.9,0.898,88,4.5,0.5
14,196,0.9,0.898,88,4.5,0.6
14,196,0.9,0.898,88,4.5,0.7
14,196,0.9,0.898,88,5.0,0.1
14,196,0.9,0.898,88,5.0,0.2
14,196,0.9,0.898,88,5.0,0.3
14,196,0.9,0.898,88,5.0,0.4
14,196,0.9,0.898,88,5.0,0.5
14,196,0.9,0.898,88,5.0,0.6
14,196,0.9,0.898,88,5.0,0.7
14,196,0.82,0.8163,80,0.0,0.1
14,196,0.82,0.8163,80,0.0,0.2
14,196,0.82,0.8163,80,0.0,0.3
14,196,0.82,0.8163,80,0.0,0.4
14,196,0.82,0.8163,80,0.0,0.5
14,196,0.82,0.8163,80,0.0,0.6
14,196,0.82,0.8163,80,0.0,0.7
14,196,0.82,0.8163,80,2.0,0.1
14,196,0.82,0.8163,80,2.0,0.2
14,196,0.82,0.8163,80,2.0,0.3
14,196,0.82,0.8163,80,2.0,0.4
14,196,0.82,0.8163,80,2.0,0.5
14,196,0.82,0.8163,80,2.0,0.6
14,196,0.82,0.8163,80,2.0,0.7
14,196,0.82,0.8163,80,3.0,0.1
14,196,0.82,0.8163,80,3.0,0.2
14,196,0.82,0.8163,80,3.0,0.3
14,196,0.82,0.8163,80,3.0,0.4
14,196,0.82,0.8163,80,3.0,0.5
14,196,0.82,0.8163,80,3.0,0.6
