L,nup,delta,U,seed,chi_son,chi_sext,chi_d,chi_dxy,n
6,4,0.0,0.0,1,5.304645611658998e-15,-2.7897684162780937e-14,-1.9433343823038742e-14,1.664446358518035e-13,0.2222222222222222
6,4,0.0,0.0,2,5.304645611658998e-15,-2.7897684162780937e-14,-1.9433343823038742e-14,1.664446358518035e-13,0.2222222222222222
6,4,0.0,0.0,3,5.304645611658998e-15,-2.7897684162780937e-14,-1.9433343823038742e-14,1.664446358518035e-13,0.2222222222222222
6,4,0.0,0.0,4,5.304645611658998e-15,-2.7897684162780937e-14,-1.9433343823038742e-14,1.664446358518035e-13,0.2222222222222222
6,4,0.0,0.0,5,5.304645611658998e-15,-2.7897684162780937e-14,-1.9433343823038742e-14,1.664446358518035e-13,0.2222222222222222
6,4,0.0,0.0,6,5.304645611658998e-15,-2.7897684162780937e-14,-1.9433343823038742e-14,1.664446358518035e-13,0.2222222222222222
6,4,0.1,0.0,1,-4.9107384825219936e-14,-1.3786305430585346e-13,9.547918011776346e-14,-2.681233013390738e-13,0.2222222222222222
6,4,0.1,0.0,2,-4.9107384825219936e-14,-1.3786305430585346e-13,9.547918011776346e-14,-2.681233013390738e-13,0.2222222222222222
6,4,0.1,0.0,3,-4.9107384825219936e-14,-1.3786305430585346e-13,9.547918011776346e-14,-2.681233013390738e-13,0.2222222222222222
6,4,0.1,0.0,4,-4.9107384825219936e-14,-1.3786305430585346e-13,9.547918011776346e-14,-2.681233013390738e-13,0.2222222222222222
6,4,0.1,0.0,5,-4.9107384825219936e-14,-1.3786305430585346e-13,9.547918011776346e-14,-2.681233013390738e-13,0.2222222222222222
6,4,0.1,0.0,6,-4.9107384825219936e-14,-1.3786305430585346e-13,9.547918011776346e-14,-2.681233013390738e-13,0.2222222222222222
6,4,0.2,0.0,1,6.554756737386924e-14,-2.442046564965494e-13,1.9586110511227165e-13,-1.1432632618380012e-13,0.2222222222222222
6,4,0.2,0.0,2,6.554756737386924e-14,-2.442046564965494e-13,1.9586110511227165e-13,-1.1432632618380012e-13,0.2222222222222222
6,4,0.2,0.0,3,6.554756737386924e-14,-2.442046564965494e-13,1.9586110511227165e-13,-1.1432632618380012e-13,0.2222222222222222
6,4,0.2,0.0,4,6.554756737386924e-14,-2.442046564965494e-13,1.9586110511227165e-13,-1.1432632618380012e-13,0.2222222222222222
6,4,0.2,0.0,5,6.554756737386924e-14,-2.442046564965494e-13,1.9586110511227165e-13,-1.1432632618380012e-13,0.2222222222222222
6,4,0.2,0.0,6,6.554756737386924e-14,-2.442046564965494e-13,1.9586110511227165e-13,-1.1432632618380012e-13,0.2222222222222222
6,4,0.3,0.0,1,7.0632388826652464e-15,-9.447553850350233e-14,-1.8809842572409257e-13,2.495781359357352e-13,0.2222222222222222
6,4,0.3,0.0,2,7.0632388826652464e-15,-9.447553850350233e-14,-1.8809842572409257e-13,2.495781359357352e-13,0.2222222222222222
6,4,0.3,0.0,3,7.0632388826652464e-15,-9.447553850350233e-14,-1.8809842572409257e-13,2.495781359357352e-13,0.2222222222222222
6,4,0.3,0.0,4,7.0632388826652464e-15,-9.447553850350233e-14,-1.8809842572409257e-13,2.495781359357352e-13,0.2222222222222222
