L,nup,delta,U,seed,chi_son,chi_sext,chi_d,chi_dxy,n
8,16,0.0,0.0,1,-1.2523315717771765e-15,-2.7977620220553948e-15,1.5281997889360357e-13,-2.6542323894318545e-13,0.5
8,16,0.0,0.0,2,-1.2523315717771765e-15,-2.7977620220553948e-15,1.5281997889360357e-13,-2.6542323894318545e-13,0.5
8,16,0.0,0.0,3,-1.2523315717771765e-15,-2.7977620220553948e-15,1.5281997889360357e-13,-2.6542323894318545e-13,0.5
8,16,0.0,0.0,4,-1.2523315717771765e-15,-2.7977620220553948e-15,1.5281997889360357e-13,-2.6542323894318545e-13,0.5
8,16,0.0,0.0,5,-1.2523315717771765e-15,-2.7977620220553948e-15,1.5281997889360357e-13,-2.6542323894318545e-13,0.5
8,16,0.0,0.0,6,-1.2523315717771765e-15,-2.7977620220553948e-15,1.5281997889360357e-13,-2.6542323894318545e-13,0.5
8,16,0.1,0.0,1,-3.224087663511455e-15,-4.2366110619695976e-14,-1.864464138634503e-13,1.3447021274259895e-14,0.5
8,16,0.1,0.0,2,-3.224087663511455e-15,-4.2366110619695976e-14,-1.864464138634503e-13,1.3447021274259895e-14,0.5
8,16,0.1,0.0,3,-3.224087663511455e-15,-4.2366110619695976e-14,-1.864464138634503e-13,1.3447021274259895e-14,0.5
8,16,0.1,0.0,4,-3.224087663511455e-15,-4.2366110619695976e-14,-1.864464138634503e-13,1.3447021274259895e-14,0.5
8,16,0.1,0.0,5,-3.224087663511455e-15,-4.2366110619695976e-14,-1.864464138634503e-13,1.3447021274259895e-14,0.5
8,16,0.1,0.0,6,-3.224087663511455e-15,-4.2366110619695976e-14,-1.864464138634503e-13,1.3447021274259895e-14,0.5
8,16,0.2,0.0,1,5.773159728050814e-15,5.522693413695379e-14,2.487077210844291e-13,-9.947598300641402e-15,0.5
8,16,0.2,0.0,2,5.773159728050814e-15,5.522693413695379e-14,2.487077210844291e-13,-9.947598300641402e-15,0.5
8,16,0.2,0.0,3,5.773159728050814e-15,5.522693413695379e-14,2.487077210844291e-13,-9.947598300641402e-15,0.5
8,16,0.2,0.0,4,5.773159728050814e-15,5.522693413695379e-14,2.487077210844291e-13,-9.947598300641402e-15,0.5
8,16,0.2,0.0,5,5.773159728050814e-15,5.522693413695379e-14,2.487077210844291e-13,-9.947598300641402e-15,0.5
8,16,0.2,0.0,6,5.773159728050814e-15,5.522693413695379e-14,2.487077210844291e-13,-9.947598300641402e-15,0.5
8,16,0.3,0.0,1,4.666933506314308e-14,2.6183499812759692e-14,-2.331290716028889e-13,-6.936673457857979e-14,0.5
8,16,0.3,0.0,2,4.666933506314308e-14,2.6183499812759692e-14,-2.331290716028889e-13,-6.936673457857979e-14,0.5
8,16,0.3,0.0,3,4.666933506314308e-14,2.6183499812759692e-14,-2.331290716028889e-13,-6.936673457857979e-14,0.5
8,16,0.3,0.0,4,4.666933506314308e-14,2.6183499812759692e-14,-2.331290716028889e-13,-6.936673457857979e-14,0.5
8,16,0.3,0.0,5,4.666933506314308e-14,2.6183499812759692e-14,-2.331290716028889e-13,-6.936673457857979e-14,0.5
