L,nup,delta,U,seed,chi_son,chi_sext,chi_d,chi_dxy,n
8,16,0.0,6.0,1,-11.74389028358463,-5.783675636093721,-0.8824906696398844,-1.1971921231166023,0.5
8,16,0.0,6.0,2,-11.873800094772498,-6.462499944656159,-2.0396911668356235,-1.503742463349918,0.5
8,16,0.0,6.0,3,-11.83764554093817,-6.352123305105446,-4.255990469781383,0.35528164829272,0.5
8,16,0.0,6.0,4,-11.901353187757588,-6.138298554029152,-3.624976361441187,-1.8214733084833497,0.5
8,16,0.0,6.0,5,-11.769967794768046,-5.447779908126249,-4.047192510618438,-0.14585480225032973,0.5
8,16,0.0,6.0,6,-11.925816398768074,-6.990908526870726,-2.5764264431887973,-1.542838624644564,0.5
8,16,0.1,6.0,1,-11.739417759393636,-5.291103503041439,-3.608078593545893,0.6383500542664491,0.5
8,16,0.1,6.0,2,-11.670262786790783,-5.883288311549229,-1.2294708100956604,1.2853363609474728,0.5
8,16,0.1,6.0,3,-11.669416794162142,-5.49012624684634,-2.549415631582607,0.1390691902522761,0.5
8,16,0.1,6.0,4,-11.82451922839972,-5.923852196232754,-5.8475944068575645,-0.23802478823982956,0.5
8,16,0.1,6.0,5,-11.884379781605379,-5.614300067415918,-5.6116290564474145,0.6930237970986559,0.5
8,16,0.1,6.0,6,-11.82220155627854,-6.276898645765334,-2.3093269414817406,1.6429638629143504,0.5
8,16,0.2,6.0,1,-11.85470850265088,-5.505338347941011,-2.909272988210856,-0.13704549272699226,0.5
8,16,0.2,6.0,2,-11.864984208688233,-5.619512835650117,-3.4840474979421954,-0.7097747290847641,0.5
8,16,0.2,6.0,3,-12.000018399619313,-6.063089626518055,-3.580681832594647,-1.4222026179418277,0.5
8,16,0.2,6.0,4,-11.910169884410156,-6.102225426813417,-6.0460639481225655,-1.445730685298517,0.5
8,16,0.2,6.0,5,-11.806495064924825,-6.391345712979968,-1.9557273369482435,-1.7117491500994135,0.5
8,16,0.2,6.0,6,-11.930222240881989,-5.603021265352777,-2.8656834933652187,1.2069757199772821,0.5
8,16,0.3,6.0,1,-12.192531638097526,-5.954454955466918,-4.156642111703141,3.231212916720678,0.5
8,16,0.3,6.0,2,-12.112945062982936,-6.70403448420998,-3.274483546769543,-0.10310048636108107,0.5
8,16,0.3,6.0,3,-12.276393404081782,-6.3852598340798705,-2.7918670309813343,4.219624913072192,0.5
8,16,0.3,6.0,4,-12.13576247361354,-5.583187028808021,-0.6265910855102478,-1.005242441590522,0.5
8,16,0.3,6.0,5,-12.132349176935856,-6.275373136096794,-2.862937627759872,-1.268645212515704,0.5
8,16,0.3,6.0,6,-12.130889540337844,-5.904848423157029,-2.2266864578971335,-2.622432076499856,0.5
8,16,0.4,6.0,1,-12.1966372070757,-4.936374132076061,-2.294318352120732,-3.6839071002943116,0.5
8,16,0.4,6.0,2,-11.732760123409383,-5.760901489780016,13.874663499102429,-2.212524924954624,0.5
8,16,0.4,6.0,3,-12.109388777230762,-6.550111087203061,-7.228740876913426,-1.282513232736425,0.5
8,16,0.4,6.0,4,-12.005912657229775,-5.454728801335352,-0.34825477655254733,-2.94597300399747,0.5
8,16,0.4,6.0,5,-12.172677005326083,-5.2583725175465705,-2.4335923128289974,-3.816080973686683,0.5
8,16,0.4,6.0,6,-11.87171433077906,-6.707268206499423,-2.309425120771132,-1.7257518009079291,0.5
8,18,0.0,6.0,1,-8.241222784905146,-4.771383121367658,-2.778392635535674,0.7545736683495259,0.5625
8,18,0.0,6.0,2,-8.332416374284685,-4.921397939281961,-1.2647052127207552,-0.8439820791774902,0.5625
8,18,0.0,6.0,3,-8.22737006401683,-4.959274418532475,-2.3718529167221396,-3.1147011942863796,0.5625
8,18,0.0,6.0,4,-8.381669405410335,-4.462448681499017,-0.30539988171189686,0.7271187356632528,0.5625
8,18,0.0,6.0,5,-8.163592201936703,-4.838091538452805,-2.307429726639355,0.005802319701189962,0.5625
8,18,0.0,6.0,6,-8.275936607765185,-4.860526346777905,-2.175576363216406,-0.9768231438278608,0.5625
8,18,0.1,6.0,1,-8.268615445355678,-3.9457408014162203,-2.222538459967074,1.550264169779864,0.5625
8,18,0.1,6.0,2,-8.328123398534586,-3.4329085045456558,-3.6872529468287767,1.117812552580831,0.5625
8,18,0.1,6.0,3,-8.178457988584826,-4.073967618583059,-1.9656872454610692,0.20390050576251037,0.5625
8,18,0.1,6.0,4,-8.607934477729067,-6.919858709102523,-12.648570226284317,-0.8427958817505287,0.5625
8,18,0.1,6.0,5,-8.270903547214063,-3.7997126387948192,-2.039929218809378,0.06280726323164128,0.5625
8,18,0.1,6.0,6,-8.208233528624092,-3.5893501015706972,-2.5780731194166657,-1.5544957568416837,0.5625
8,18,0.2,6.0,1,-8.276993607838746,-3.224921743615564,0.34015008060530005,-0.5637736067354157,0.5625
8,18,0.2,6.0,2,-8.362133697779802,-3.5970005991084917,-1.4740026543424012,-0.4197163460492866,0.5625
8,18,0.2,6.0,3,-8.320860414382445,-3.2633009376721427,-0.7386977167711987,-0.2971332184443334,0.5625
8,18,0.2,6.0,4,-8.287371223178454,-3.583750471603222,-3.643842129816656,1.6360729484346959,0.5625
8,18,0.2,6.0,5,-8.25181264640158,-3.639973488766034,-1.9996224585981939,-0.5921185157592614,0.5625
8,18,0.2,6.0,6,-8.206445283874547,-3.68849883127256,-1.6307856118526396,0.18386732857712657,0.5625
8,18,0.3,6.0,1,-8.483401449924438,-3.858366072647725,-2.1797832898180647,-1.7892563661037535,0.5625
8,18,0.3,6.0,2,-8.443674599009972,-3.424285596064069,-1.668370333127169,-0.03190543922646758,0.5625
8,18,0.3,6.0,3,-8.356970716976704,-4.381585409452503,-0.3511476542258736,-1.46249918654242,0.5625
8,18,0.3,6.0,4,-8.501464385006637,-4.009594993034529,-1.3496268832181166,-3.0506174342948205,0.5625
8,18,0.3,6.0,5,-8.44734579974712,-4.003037896410933,-0.30582703128735983,-0.4189746398105806,0.5625
8,18,0.3,6.0,6,-8.492695392748555,-3.6963687380498067,-4.464526706149371,-0.9649474749329972,0.5625
8,18,0.4,6.0,1,-8.37109648899089,-2.969486577443508,-1.3925139996168614,-3.966103845831924,0.5625
8,18,0.4,6.0,2,-8.499827852406312,-3.592341116375825,-4.070343744718998,-3.2572207414151544,0.5625
8,18,0.4,6.0,3,-8.276044433202406,-3.5115039265547034,-1.4187594247060893,-2.033078762286876,0.5625
8,18,0.4,6.0,4,-8.443286010639127,-2.973377573928098,-2.5605554169742666,-2.0169419445224555,0.5625
8,18,0.4,6.0,5,-8.53997227668297,-3.870199287026891,-3.398716541422664,-0.978286085707903,0.5625
8,18,0.4,6.0,6,-8.430256715495632,-4.089128408688349,-3.1899524039500875,-2.001703917947741,0.5625
8,21,0.0,6.0,1,-5.056853758546787,-1.642004118823813,-0.46600797890325785,-3.3385657060850704,0.65625
8,21,0.0,6.0,2,-4.985560757436251,-1.7614507065565355,-1.4831488191967905,-0.8597544333504995,0.65625
8,21,0.0,6.0,3,-5.069203455752202,-1.7619829506467894,-0.0676546085038761,-0.08047368304034883,0.65625
8,21,0.0,6.0,4,-4.995096446729079,-1.967772854709826,1.5909874407496682,-0.806275751397358,0.65625
8,21,0.0,6.0,5,-4.967770814228734,-1.9184175139000608,-0.6454629726859061,-1.4357631535957491,0.65625
8,21,0.0,6.0,6,-5.022627530507616,-1.6817290459168965,-0.001387555988054756,-2.014301947132565,0.65625
8,21,0.1,6.0,1,-5.00198625644518,-0.46634040588837633,-0.17905062459673227,0.3253399685035782,0.65625
8,21,0.1,6.0,2,-4.995481372810657,-0.41868530857745834,-0.6224520571366299,-0.3062910696814794,0.65625
8,21,0.1,6.0,3,-4.8984700433028845,-0.5382722263929326,0.0027642841781051696,-0.40156154580831604,0.65625
8,21,0.1,6.0,4,-4.902084166657948,-0.7978356584608266,-1.9005760749313185,-0.1571454771626267,0.65625
8,21,0.1,6.0,5,-4.938857398794362,-0.8716405258614046,1.139705358100584,-0.10321545326375345,0.65625
8,21,0.1,6.0,6,-4.947123968036921,-0.5042204982360898,-0.38726567596053457,0.16317580368227153,0.65625
8,21,0.2,6.0,1,-4.910547165895924,-0.49459909236222865,-1.0889416877281364,-1.5683600116610572,0.65625
8,21,0.2,6.0,2,-4.9254004006880026,-0.5273190484468442,-0.6296010036078729,-0.7995336790622773,0.65625
8,21,0.2,6.0,3,-4.995735671718221,-0.6035371115337061,-0.3817983203781387,-0.7018220355191482,0.65625
8,21,0.2,6.0,4,-4.957708531199996,-0.6682331656495135,-2.8429135610097958,-0.995949791337605,0.65625
8,21,0.2,6.0,5,-4.795784267973599,-0.5106980662787951,0.33516747796635044,0.6696596108271095,0.65625
8,21,0.2,6.0,6,-4.891743444540152,-0.5521192554416228,0.41457987074177327,-1.5080410762384175,0.65625
8,21,0.3,6.0,1,-4.893018173330114,-0.4505664924888528,-1.5641355357612876,-0.7320471363390111,0.65625
8,21,0.3,6.0,2,-5.044508245897944,-0.6298440666127568,-0.05944423631137301,-1.7185648084040994,0.65625
8,21,0.3,6.0,3,-5.013033710395701,-0.6064392290001572,-0.5391979033362672,-0.41239303056316584,0.65625
8,21,0.3,6.0,4,-4.972058807587301,-0.6729888728720739,-1.7581936224299486,-2.087334675373106,0.65625
8,21,0.3,6.0,5,-5.07062390607678,-0.361009128868434,-1.956682453291314,-2.3545589786620202,0.65625
8,21,0.3,6.0,6,-4.977747567417312,-0.43305016222135106,-1.5460621181668794,-1.0065403764400123,0.65625
8,21,0.4,6.0,1,-4.979763717206607,-0.14738205393672782,-0.49688980011202066,-2.9489415306251514,0.65625
8,21,0.4,6.0,2,-5.007425891016163,-0.6560858235302034,-1.8398144886859877,-3.730386749259053,0.65625
8,21,0.4,6.0,3,-4.975990148931711,-0.7244804348016024,-1.8593239735914628,-3.4330845921272313,0.65625
8,21,0.4,6.0,4,-5.174975275623592,-0.7912352939078167,-2.511840161050378,-3.1269264762267577,0.65625
8,21,0.4,6.0,5,-4.990677971785169,-0.6509249150857748,-0.8965835433178249,-3.609134174634859,0.65625
8,21,0.4,6.0,6,-5.042477346735227,-0.7274440868338683,0.22702102009755523,-4.17615259050204,0.65625
8,25,0.0,6.0,1,-2.7303302065910486,1.393496888907728,0.9739939559112291,-0.8936673078899275,0.78125
8,25,0.0,6.0,2,-2.8995403171881193,1.5531161784127814,2.1437603859244603,-0.7811536251752516,0.78125
8,25,0.0,6.0,3,-2.7771022940229035,1.5282649119186804,2.2410043892165143,-0.8950448999568452,0.78125
8,25,0.0,6.0,4,-2.7159646876237398,1.4356014752739763,0.5407504793017714,-0.6686134512659556,0.78125
8,25,0.0,6.0,5,-2.755266097018116,1.5751039948309062,1.475621625075143,-0.9635014665592834,0.78125
8,25,0.0,6.0,6,-2.7627065637055095,1.6026329990787886,1.117301580343785,-0.5810742875513029,0.78125
8,25,0.1,6.0,1,-2.7910472688426564,1.3964940146179734,1.4038036073138396,-0.5632645642993811,0.78125
8,25,0.1,6.0,2,-2.7261706179155096,1.5107363385046457,0.7032085652517299,-0.8098974646607833,0.78125
8,25,0.1,6.0,3,-2.7772200340127036,1.1922535905077463,1.035451909214277,-1.084021642623258,0.78125
8,25,0.1,6.0,4,-2.7607535048722753,1.6341433566368468,0.8154014080481998,-0.6272964038330592,0.78125
8,25,0.1,6.0,5,-2.824227136636844,1.5353091557034708,1.5384501866586036,-0.47862444373094065,0.78125
8,25,0.1,6.0,6,-2.7426168688820907,1.5465700248498884,0.7936711586878346,-0.5566456126038846,0.78125
8,25,0.2,6.0,1,-2.6592843643460684,1.3450424505599283,1.485078473241479,-1.0640762089043887,0.78125
8,25,0.2,6.0,2,-2.7744477355644874,1.5267910258890196,2.2756545920939493,-1.3136245196787475,0.78125
8,25,0.2,6.0,3,-2.688639181255877,1.4311472542288477,1.5168062838689038,-1.5504682592695258,0.78125
8,25,0.2,6.0,4,-2.697163344193025,1.5575459215851424,0.8908985818328045,-1.4689628187561543,0.78125
