L,nup,delta,seed,chi_d,chi_dxy,n
8,7,0.0,1,-3.4117059366862876,4.0497916096011455,0.21875
8,7,0.0,2,-4.9663073106128675,4.10305710562754,0.21875
8,7,0.1,1,-3.9262680370207876,-1.1022284979370098,0.21875
8,7,0.1,2,-2.7415407731318595,1.2276107738888438,0.21875
8,7,0.2,1,-3.417231835366883,-5.07130660310195,0.21875
8,7,0.2,2,-3.1515407436156635,-4.623045401271996,0.21875
8,7,0.3,1,-2.8521611471004666,-10.834979298036991,0.21875
8,7,0.3,2,-2.4536969112607427,-11.035009340613467,0.21875
8,7,0.4,1,-4.652105691914045,-25.208876676895873,0.21875
8,7,0.4,2,-3.1500295526479456,-24.305709003441812,0.21875
8,11,0.0,1,-0.9328608280322769,3.2478659197676025,0.34375
8,11,0.0,2,-0.5947816444799207,2.366856597112334,0.34375
8,11,0.1,1,-1.8044008869239339,2.2004486216916095,0.34375
8,11,0.1,2,-0.06726868550560132,0.8495402129547548,0.34375
8,11,0.2,1,-1.907559961556212,-1.9899181957200143,0.34375
8,11,0.2,2,-1.9582299373615313,-2.207321293514364,0.34375
8,11,0.3,1,-1.4610363723535351,-7.98188647066128,0.34375
8,11,0.3,2,-2.1426090764952614,-9.304234012641228,0.34375
8,11,0.4,1,-2.2869866403838124,-17.158617399290563,0.34375
8,11,0.4,2,-3.0003613860275715,-18.393847280799342,0.34375
8,14,0.0,1,-1.0005724900171145,2.2389309743726087,0.4375
8,14,0.0,2,-1.5394618564189433,2.308450107704264,0.4375
8,14,0.1,1,-0.15802401181788897,0.1755994451165357,0.4375
8,14,0.1,2,-1.2580294193376365,0.028472849134194966,0.4375
8,14,0.2,1,-1.5144274846943349,-0.8278301109630715,0.4375
8,14,0.2,2,-0.8959928923261717,-1.8187192476147573,0.4375
8,14,0.3,1,-1.4623471450135948,-5.338956404817547,0.4375
8,14,0.3,2,-0.8451182660547772,-6.454621067124032,0.4375
8,14,0.4,1,-2.228838366127499,-10.709501459659624,0.4375
8,14,0.4,2,-3.026480811875021,-10.579349160094498,0.4375
8,18,0.0,1,0.0783898084912094,-0.76842870537321,0.5625
8,18,0.0,2,0.15761164360826826,-0.18031332661393487,0.5625
8,18,0.1,1,-0.4218333257074828,0.9786654797007115,0.5625
8,18,0.1,2,0.23476960652454784,0.5218251400648869,0.5625
8,18,0.2,1,0.08472668929465788,-0.18905234581724212,0.5625
8,18,0.2,2,0.15414208682642583,-0.5221397162219121,0.5625
8,18,0.3,1,-1.1030411821957438,-2.5990032417432354,0.5625
8,18,0.3,2,0.45034658407972944,-1.3224186722187672,0.5625
8,18,0.4,1,0.156230478113402,-3.943941563113138,0.5625
8,18,0.4,2,-1.1661209721421355,-4.281706972860295,0.5625
8,21,0.0,1,1.4915198127183547,-0.0960980930716027,0.65625
8,21,0.0,2,-0.30380245140740314,0.643201999483761,0.65625
8,21,0.1,1,1.437777614572343,0.09266301410135107,0.65625
8,21,0.1,2,1.1407980631804455,0.6773450385929367,0.65625
8,21,0.2,1,1.5963092858175023,-1.0742352970946853,0.65625
8,21,0.2,2,2.307293446444766,-0.4363900712690684,0.65625
8,21,0.3,1,1.6947700443102698,-3.573768748722736,0.65625
8,21,0.3,2,0.6294638162349676,-3.8326403142491072,0.65625
8,21,0.4,1,-0.511522418350534,-6.333005934506978,0.65625
8,21,0.4,2,-0.17254646181901237,-6.296021658409349,0.65625
8,25,0.0,1,2.7432449202089835,-0.7912308765392684,0.78125
8,25,0.0,2,4.022391632094134,-0.4386728827668082,0.78125
8,25,0.1,1,2.9063356460690075,-1.1101992153906177,0.78125
8,25,0.1,2,2.2419967385971424,-0.9891029851707118,0.78125
8,25,0.2,1,2.529326283442768,-1.9475125954324803,0.78125
8,25,0.2,2,2.4142446230605783,-1.8306479642009017,0.78125
8,25,0.3,1,2.1158007091443194,-4.161549704139136,0.78125
8,25,0.3,2,1.7721759109619366,-4.1853892094087355,0.78125
8,25,0.4,1,0.8813744695074641,-3.0881729793035677,0.78125
8,25,0.4,2,0.5640683512926385,-3.0805448116317633,0.78125
8,28,0.0,1,2.3204264814943225,-0.8370654823254637,0.875
8,28,0.0,2,1.7271299619854097,-0.7451459640272915,0.875
8,28,0.1,1,2.275225123395431,-1.2529562327740897,0.875
8,28,0.1,2,2.2177988018309023,-1.178020804337065,0.875
8,28,0.2,1,1.9199518541880516,-2.2344716605653847,0.875
8,28,0.2,2,2.4449904356037977,-1.8304966234814917,0.875
8,28,0.3,1,1.1312908692376022,-1.6293335038433479,0.875
8,28,0.3,2,1.1554290570600334,-1.668928433640356,0.875
8,28,0.4,1,1.4712078585329178,-1.0452940465891836,0.875
8,28,0.4,2,1.5687955804565163,-0.88012349748,0.875
8,32,0.0,1,2.159426094434443,-0.6819765431827653,1.0
8,32,0.0,2,2.0534785201691363,-0.8143176750450252,1.0
8,32,0.1,1,1.642658683382188,0.25585156989493407,1.0
8,32,0.1,2,1.6712695097093793,0.11072375018348493,1.0
8,32,0.2,1,1.246453848512007,1.2316078632331176,1.0
8,32,0.2,2,1.0576870223600747,1.3234538069321955,1.0
8,32,0.3,1,0.8297426539837923,1.5504789770977652,1.0
8,32,0.3,2,0.8848560232050054,1.5983792066501983,1.0
8,32,0.4,1,0.5809342472280825,2.4667118117780715,1.0
8,32,0.4,2,0.6851491114100476,2.5357585606935977,1.0
