L,nup,delta,U,seed,Spipi,m,M_raw,mdelta,Psi_dxy,Psi_dx2y2,chi_pipi,chi_pipi_err,n
8,16,0.0,2.0,1,0.13423770506876162,0.04579808010931681,0.3663846408745345,0.0,5.0185274137067005e-05,0.0014558464937843227,0.03587476413300312,0.0002621213278309979,0.5
8,16,0.0,2.0,2,0.13443077553920108,0.04583100334707955,0.3666480267766364,0.0,-0.00014991570380778292,0.001197020004142275,0.03617937846813586,0.0002744642155972711,0.5
8,16,0.0,2.0,3,0.1348996513906102,0.04591085985884259,0.36728687887074074,0.0,-3.785665536355624e-05,0.0011608643276192088,0.036367917465353825,0.00027666355247446447,0.5
8,16,0.0,2.0,4,0.13437807026849444,0.045822018156615775,0.3665761452529262,0.0,-7.315380585873647e-05,0.0016310470998544702,0.03598206472297098,0.0002928713707490357,0.5
8,16,0.0,2.0,5,0.13445010190262063,0.04583429766265048,0.36667438130120383,0.0,7.433709167747719e-05,0.0011041984672804737,0.0359002341545725,0.0002763210187623508,0.5
8,16,0.0,2.0,6,0.1335956242915636,0.045688418987262856,0.36550735189810285,0.0,-1.8879197877763295e-06,0.0013323678666919882,0.035810015107703416,0.0003279869133016733,0.5
8,18,0.0,2.0,1,0.1538712998169151,0.04903304048944241,0.3922643239155393,0.0,-0.0005013499172105337,-0.00067153791718297,0.044971897251087106,0.00037407017507866777,0.5625
8,18,0.0,2.0,2,0.15553430233029683,0.04929729682153868,0.39437837457230945,0.0,-0.00038871902522372604,-0.0005255113913026233,0.045972342054929255,0.000505866186178177,0.5625
8,18,0.0,2.0,3,0.15429634982354687,0.04910071757105918,0.39280574056847345,0.0,-0.00031535561756357126,-0.0005591724574220639,0.045083608548667206,0.00037322438186271215,0.5625
8,18,0.0,2.0,4,0.155057227710173,0.04922163328224139,0.3937730662579311,0.0,-0.0006135326067226921,-0.0006533180972277432,0.04545020582798479,0.0003409780295341913,0.5625
8,18,0.0,2.0,5,0.1563917006978093,0.04943298821033653,0.39546390568269224,0.0,-0.0005203577133990848,-0.00046412867071117005,0.046246614572983645,0.0004767311338028273,0.5625
8,18,0.0,2.0,6,0.15518881417353014,0.049242514369814715,0.3939401149585177,0.0,-0.00040831270040190485,-0.0004568012980196018,0.04588216887789693,0.0003740813454970167,0.5625
8,21,0.0,2.0,1,0.185456480830474,0.05383082307541058,0.43064658460328464,0.0,0.0006015366741458161,-0.0006822208297139441,0.05762791907638245,0.0006263774558554733,0.65625
8,21,0.0,2.0,2,0.1864641040496458,0.05397686194820625,0.43181489558565,0.0,0.0005993285253158214,-0.0010114121067199694,0.05881012522214377,0.0007086216867689673,0.65625
8,21,0.0,2.0,3,0.1872608309556198,0.054092055642964425,0.4327364451437154,0.0,0.0006892257289636673,-0.0008256858251274417,0.058804812656536753,0.000516911253025331,0.65625
8,21,0.0,2.0,4,0.18734072705033095,0.05410359378231192,0.4328287502584954,0.0,0.0006997865451283022,-0.00047449740326218487,0.059132760923880104,0.0005426573181359942,0.65625
8,21,0.0,2.0,5,0.18895344195160144,0.05433596903059494,0.43468775224475953,0.0,0.000597132605336205,-0.0006945142323014665,0.0593394832163016,0.0008471573578099409,0.65625
