L,nup,delta,U,seed,chi_son,chi_sext,chi_d,chi_dxy,n
12,36,0.5,8.0,1,-20.498250035402336,-11.006975424530035,-8.02392193374108,-0.6023161120050154,0.5
12,36,0.5,8.0,2,-20.197972578856664,-12.025269922919096,-11.31733821969153,-0.8771310213178832,0.5
12,36,0.5,8.0,3,-20.102535550805406,-11.077666699889093,-3.9070475880418187,0.07448033278472507,0.5
12,36,0.5,8.0,4,-19.488906170136637,-10.060911650755244,-18.522490816846112,-17.194865901935746,0.5
12,36,0.5,8.0,5,-19.90773307802776,-10.24979185181779,-13.701441357058656,0.4473972676481818,0.5
12,36,0.5,8.0,6,-19.616983324827448,-9.116766381185217,-6.511473190936371,-8.338062535848866,0.5
12,40,0.5,8.0,1,-13.403802763248535,-8.581294332054242,-12.688540367214525,-8.71621975179239,0.5555555555555556
12,40,0.5,8.0,2,-13.332504436617842,-8.148008174942667,-3.4062255836475663,-5.456032740599866,0.5555555555555556
12,40,0.5,8.0,3,-12.918692540289863,-7.801909442926698,-8.227592808868426,-1.9582954807397477,0.5555555555555556
12,40,0.5,8.0,4,-13.76604229276044,-7.823185298899193,-2.9133462916402793,0.25999462664088346,0.5555555555555556
12,40,0.5,8.0,5,-13.731635294722276,-9.843582584398627,-15.614680737525251,-11.440355841067323,0.5555555555555556
12,40,0.5,8.0,6,-13.162013804510703,-8.311839770393863,-9.929025990089979,-7.678060869935839,0.5555555555555556
12,48,0.5,8.0,1,-6.899413156574715,-2.8454745820842198,-5.522353875065103,-8.191535650330854,0.6666666666666666
12,48,0.5,8.0,2,-6.853998364819039,-1.8926103169036537,-8.30363062658053,-3.138069729649691,0.6666666666666666
12,48,0.5,8.0,3,-6.910998500332189,-3.140272488062357,-4.6952601849153,-4.1910155665354205,0.6666666666666666
12,48,0.5,8.0,4,-6.819063258873692,-1.7358898168755061,-5.600834546562825,-0.6190395628752334,0.6666666666666666
12,48,0.5,8.0,5,-6.797929716744546,-3.2323972465132917,-3.1596175230575065,-3.76370107847902,0.6666666666666666
12,48,0.5,8.0,6,-6.227947922930021,-3.087707991704163,-10.33685217184511,-2.9875939424512827,0.6666666666666666
12,56,0.5,8.0,1,-3.5989807527474214,1.040958983384746,-2.656815260652155,-1.1720136554687322,0.7777777777777778
12,56,0.5,8.0,2,-3.257527366255908,1.9945494142554268,-3.1225323469298143,-0.7506979195339485,0.7777777777777778
12,56,0.5,8.0,3,-3.6009348571056803,1.3725402597024219,0.35768615649734353,0.2676769804412284,0.7777777777777778
12,56,0.5,8.0,4,-3.363198216541947,0.9074292385066576,1.1698777767262243,0.09636971366266511,0.7777777777777778
12,56,0.5,8.0,5,-3.6939525087792773,1.2625896807358994,-0.4433803462840139,-0.3026776203482921,0.7777777777777778
12,56,0.5,8.0,6,-3.2407864086299534,0.6893016471814872,0.5366097920004321,-0.11550699601438978,0.7777777777777778
12,64,0.5,8.0,1,-1.857896316329556,2.4169969355127825,-0.25032321176342814,3.2847423824875506,0.8888888888888888
12,64,0.5,8.0,2,-1.9042935173550588,2.8409882585185677,1.6068965355903255,3.3215678936338096,0.8888888888888888
12,64,0.5,8.0,3,-2.0125417199947537,2.927679230744329,1.4052638172307805,3.084440733155783,0.8888888888888888
12,64,0.5,8.0,4,-2.0783872639541263,3.0053982549649936,2.3873884555020153,2.649171486934192,0.8888888888888888
12,64,0.5,8.0,5,-2.030684425389307,2.618661985027604,2.469526084225392,3.006385549469903,0.8888888888888888
12,64,0.5,8.0,6,-2.003940143288438,2.486713326068133,0.5861240881612051,2.4871114339552767,0.8888888888888888
