lx ly nup ndn U delta seed chi_s chi_s_err chi_s_vtx chi_s_vtx_err chi_d chi_d_err chi_d_vtx chi_d_vtx_err chi_dxy chi_dxy_err chi_dxy_vtx chi_dxy_vtx_err
6 6 4 4 4 0.4 1 81.650358 0.934685 -44.982396 1.039083 189.506599 0.787319 -2.415859 0.560677 228.386345 1.236809 -16.978410 0.636140
6 6 6 6 4 0.4 1 29.804742 0.429579 -16.514576 0.449657 151.615137 1.049103 -2.823793 0.755811 130.532116 0.850498 -7.737534 0.814873
6 6 8 8 4 0.4 1 14.102594 0.245342 -7.776408 0.253126 117.482592 0.779401 -1.046294 0.566706 63.688282 0.593100 -3.647545 0.521103
6 6 10 10 4 0.4 1 9.395868 0.063889 -2.297768 0.072151 72.201121 0.605956 -1.597499 0.538665 44.141113 0.443298 -4.555055 0.351804
6 6 12 12 4 0.4 1 8.643255 0.045851 0.044636 0.044660 39.820574 0.406997 0.440775 0.296158 29.723369 0.491413 -3.683990 0.469135
6 6 14 14 4 0.4 1 8.227520 0.023570 1.085018 0.026629 26.636730 0.328771 1.132798 0.271690 17.552860 0.330128 -3.095302 0.324446
6 6 16 16 4 0.4 1 7.516276 0.015146 1.056029 0.010734 18.101276 0.206898 0.843115 0.166849 10.389586 0.065199 0.137782 0.053891
6 6 18 18 4 0.4 1 7.050215 0.011765 1.028694 0.007612 7.060775 0.049099 0.281258 0.045582 10.214375 0.020899 1.375513 0.014707
NSCAN_DONE
6 6 4 4 4 0.4 3 82.352514 1.604124 -44.383617 1.569567 190.581215 1.135018 -1.719103 0.735944 228.711051 1.263839 -15.859812 0.875686
6 6 4 4 4 0.4 2 82.201535 1.234506 -42.872159 0.925361 193.121394 1.619417 -0.570557 1.177657 228.294733 1.159275 -17.153942 1.150680
6 6 6 6 4 0.4 3 29.340493 0.493168 -17.409041 0.501198 153.197213 0.813737 -1.391464 0.654654 130.772190 1.021017 -8.150478 0.923621
6 6 6 6 4 0.4 2 28.443780 0.401660 -18.075357 0.415013 153.346126 1.047481 -2.349147 0.743534 130.808742 0.971579 -7.316386 0.687478
6 6 8 8 4 0.4 2 14.464219 0.255268 -7.601572 0.263267 117.491594 0.804599 -1.661007 0.572204 62.913540 1.183490 -4.962504 1.135017
6 6 8 8 4 0.4 3 14.284533 0.291125 -7.739918 0.297828 116.581971 0.843413 -2.043823 0.597964 64.602975 0.471811 -2.841546 0.435514
6 6 10 10 4 0.4 2 9.301304 0.095519 -2.353302 0.094708 72.300095 0.611778 -1.062979 0.426612 44.245562 0.526750 -4.416493 0.497607
6 6 10 10 4 0.4 3 9.542961 0.084466 -2.096562 0.082013 72.073744 0.805504 -0.917752 0.697372 44.951435 0.482137 -3.906577 0.415656
6 6 12 12 4 0.4 2 8.642029 0.049524 0.036513 0.049153 40.001153 0.378633 0.667797 0.287620 29.528662 0.267167 -3.661970 0.252119
6 6 12 12 4 0.4 3 7.663072 0.958147 -0.907473 0.953277 41.780400 2.148821 2.232897 2.025024 27.897956 1.505574 -5.778007 1.541279
6 6 14 14 4 0.4 2 8.216653 0.021310 1.079091 0.023002 26.333025 0.233076 0.725499 0.179722 17.735240 0.191365 -2.627493 0.191875
6 6 14 14 4 0.4 3 8.237665 0.024125 1.090428 0.026777 26.304156 0.272791 0.739190 0.193080 17.569115 0.217440 -3.072213 0.251776
6 6 16 16 4 0.4 2 7.561294 0.012880 1.099715 0.011101 17.977856 0.148314 0.570106 0.136739 10.317750 0.063535 0.157631 0.045968
6 6 16 16 4 0.4 3 7.532022 0.017416 1.062695 0.016752 18.055952 0.204572 0.652567 0.132827 10.326495 0.049438 0.111038 0.045105
6 6 18 18 4 0.4 2 7.064331 0.012611 1.048671 0.008607 7.123365 0.046458 0.331161 0.037278 10.262077 0.025210 1.424133 0.017625
6 6 18 18 4 0.4 3 7.046932 0.008954 1.026596 0.007495 7.026021 0.060228 0.242057 0.053296 10.187577 0.023993 1.363615 0.015176
