            k_x            k_y          value          error
    0.000000000    0.000000000    0.045587121    0.001414502
    0.000000000    0.448798954    0.014835404    0.000360826
    0.000000000    0.897597909   -0.001265898    0.000493360
    0.000000000    1.346396923   -0.006158964    0.000083826
    0.000000000    1.795195818    0.031955092    0.000160018
    0.000000000    2.243994713    0.061153646    0.000068114
    0.000000000    2.692793846    0.081076185    0.000069998
    0.000000000    3.141592741    0.088393410    0.000077225
    0.000000000   -3.141592741    0.088393410    0.000077225
    0.000000000   -2.692793846    0.081076196    0.000069998
    0.000000000   -2.243994713    0.061153644    0.000068114
    0.000000000   -1.795195818    0.031955093    0.000160018
    0.000000000   -1.346396923   -0.006158954    0.000083826
    0.000000000   -0.897597909   -0.001265894    0.000493361
    0.000000000   -0.448798954    0.014835393    0.000360826
    0.448798954    0.000000000    0.015116145    0.000215545
    0.448798954    0.448798954    0.014578954    0.000088468
    0.448798954    0.897597909    0.005197096    0.000132424
    0.448798954    1.346396923    0.002480725    0.000083017
    0.448798954    1.795195818    0.027170339    0.000074149
    0.448798954    2.243994713    0.054939577    0.000095019
    0.448798954    2.692793846    0.074556450    0.000064253
    0.448798954    3.141592741    0.081335847    0.000085378
    0.448798954   -3.141592741    0.081335847    0.000085378
    0.448798954   -2.692793846    0.074631528    0.000071552
    0.448798954   -2.243994713    0.055023104    0.000104863
    0.448798954   -1.795195818    0.027257940    0.000091696
    0.448798954   -1.346396923    0.002345650    0.000098045
    0.448798954   -0.897597909    0.005824217    0.000198134
    0.448798954   -0.448798954    0.014910497    0.000151420
    0.897597909    0.000000000   -0.001454833    0.000335628
    0.897597909    0.448798954    0.005819888    0.000160419
    0.897597909    0.897597909    0.006918771    0.000088401
    0.897597909    1.346396923    0.005744710    0.000173848
    0.897597909    1.795195818    0.018887364    0.000104099
    0.897597909    2.243994713    0.039149745    0.000097064
    0.897597909    2.692793846    0.056161676    0.000077928
    0.897597909    3.141592741    0.063136578    0.000060401
    0.897597909   -3.141592741    0.063136578    0.000060401
    0.897597909   -2.692793846    0.056273502    0.000116339
    0.897597909   -2.243994713    0.039334193    0.000099869
    0.897597909   -1.795195818    0.018983300    0.000113675
    0.897597909   -1.346396923    0.005584664    0.000177372
    0.897597909   -0.897597909    0.007069967    0.000121360
    0.897597909   -0.448798954    0.006126367    0.000213073
    1.346396923    0.000000000   -0.006377264    0.000112236
    1.346396923    0.448798954    0.002112621    0.000096853
    1.346396923    0.897597909    0.005237577    0.000217671
    1.346396923    1.346396923    0.003082055    0.000131391
    1.346396923    1.795195818    0.007282913    0.000160064
    1.346396923    2.243994713    0.019994983    0.000154385
    1.346396923    2.692793846    0.033132440    0.000124156
    1.346396923    3.141592741    0.037695726    0.000166485
    1.346396923   -3.141592741    0.037695726    0.000166485
    1.346396923   -2.692793846    0.033084633    0.000105615
