            k_x            k_y          value          error
    0.000000000    0.000000000   -0.125411068    0.000044090
    0.000000000    0.448798954   -0.094735332    0.000030504
    0.000000000    0.897597909   -0.073767547    0.000030590
    0.000000000    1.346396923   -0.056567293    0.000027056
    0.000000000    1.795195818   -0.050463293    0.000025747
    0.000000000    2.243994713   -0.043455531    0.000029489
    0.000000000    2.692793846   -0.042026542    0.000027533
    0.000000000    3.141592741   -0.039680562    0.000030817
    0.000000000   -3.141592741   -0.039680562    0.000030817
    0.000000000   -2.692793846   -0.042026545    0.000027533
    0.000000000   -2.243994713   -0.043455528    0.000029489
    0.000000000   -1.795195818   -0.050463285    0.000025747
    0.000000000   -1.346396923   -0.056567289    0.000027056
    0.000000000   -0.897597909   -0.073767542    0.000030590
    0.000000000   -0.448798954   -0.094735325    0.000030504
    0.448798954    0.000000000   -0.094664995    0.000026813
    0.448798954    0.448798954   -0.089055125    0.000023699
    0.448798954    0.897597909   -0.068424438    0.000020475
    0.448798954    1.346396923   -0.053310088    0.000032223
    0.448798954    1.795195818   -0.048039988    0.000028233
    0.448798954    2.243994713   -0.044641351    0.000026812
    0.448798954    2.692793846   -0.040180737    0.000028710
    0.448798954    3.141592741   -0.040669550    0.000025020
    0.448798954   -3.141592741   -0.040669550    0.000025020
    0.448798954   -2.692793846   -0.040180433    0.000027330
    0.448798954   -2.243994713   -0.044628357    0.000026195
    0.448798954   -1.795195818   -0.048034105    0.000023054
    0.448798954   -1.346396923   -0.053317067    0.000028148
    0.448798954   -0.897597909   -0.068443462    0.000023625
    0.448798954   -0.448798954   -0.089065635    0.000025222
    0.897597909    0.000000000   -0.073729241    0.000020999
    0.897597909    0.448798954   -0.068435714    0.000020825
    0.897597909    0.897597909   -0.062247720    0.000021054
    0.897597909    1.346396923   -0.050054948    0.000027584
    0.897597909    1.795195818   -0.043885828    0.000030565
    0.897597909    2.243994713   -0.041538246    0.000025755
    0.897597909    2.692793846   -0.040423434    0.000025497
    0.897597909    3.141592741   -0.037969881    0.000026327
    0.897597909   -3.141592741   -0.037969881    0.000026327
    0.897597909   -2.692793846   -0.040417024    0.000024471
    0.897597909   -2.243994713   -0.041546687    0.000022357
    0.897597909   -1.795195818   -0.043892971    0.000024575
    0.897597909   -1.346396923   -0.050055373    0.000029198
    0.897597909   -0.897597909   -0.062267461    0.000022036
    0.897597909   -0.448798954   -0.068451486    0.000020533
    1.346396923    0.000000000   -0.056510260    0.000023905
    1.346396923    0.448798954   -0.053242013    0.000025999
    1.346396923    0.897597909   -0.050029328    0.000025372
    1.346396923    1.346396923   -0.043688196    0.000023622
    1.346396923    1.795195818   -0.039638163    0.000025028
    1.346396923    2.243994713   -0.036474943    0.000029038
    1.346396923    2.692793846   -0.036304803    0.000025600
    1.346396923    3.141592741   -0.037228245    0.000020899
    1.346396923   -3.141592741   -0.037228245    0.000020899
    1.346396923   -2.692793846   -0.036311931    0.000023305
    1.346396923   -2.243994713   -0.036474058    0.000024677
    1.346396923   -1.795195818   -0.039640780    0.000025809
    1.346396923   -1.346396923   -0.043717531    0.000021907
    1.346396923   -0.897597909   -0.050043410    0.000020196
    1.346396923   -0.448798954   -0.053242453    0.000026626
    1.795195818    0.000000000   -0.050413851    0.000025788
    1.795195818    0.448798954   -0.047988892    0.000024523
    1.795195818    0.897597909   -0.043835067    0.000027029
    1.795195818    1.346396923   -0.039633067    0.000027532
    1.795195818    1.795195818   -0.033352427    0.000027636
    1.795195818    2.243994713   -0.030838098    0.000033334
    1.795195818    2.692793846   -0.029852315    0.000032761
    1.795195818    3.141592741   -0.031335769    0.000027148
    1.795195818   -3.141592741   -0.031335769    0.000027148
    1.795195818   -2.692793846   -0.029860003    0.000027690
    1.795195818   -2.243994713   -0.030857378    0.000030948
    1.795195818   -1.795195818   -0.033387199    0.000023232
    1.795195818   -1.346396923   -0.039633169    0.000021749
    1.795195818   -0.897597909   -0.043842884    0.000026807
    1.795195818   -0.448798954   -0.047983205    0.000024702
    2.243994713    0.000000000   -0.043422075    0.000026299
    2.243994713    0.448798954   -0.044604731    0.000023730
    2.243994713    0.897597909   -0.041499410    0.000024028
    2.243994713    1.346396923   -0.036432495    0.000027905
    2.243994713    1.795195818   -0.030830122    0.000028299
    2.243994713    2.243994713   -0.027671923    0.000028390
    2.243994713    2.692793846   -0.025006614    0.000035909
    2.243994713    3.141592741   -0.026557313    0.000035921
    2.243994713   -3.141592741   -0.026557313    0.000035921
    2.243994713   -2.692793846   -0.024990480    0.000027637
    2.243994713   -2.243994713   -0.027679263    0.000027034
    2.243994713   -1.795195818   -0.030828615    0.000025517
    2.243994713   -1.346396923   -0.036440101    0.000026007
    2.243994713   -0.897597909   -0.041508731    0.000021722
    2.243994713   -0.448798954   -0.044599554    0.000024199
    2.692793846    0.000000000   -0.042004271    0.000024240
    2.692793846    0.448798954   -0.040162131    0.000024560
    2.692793846    0.897597909   -0.040388264    0.000022196
    2.692793846    1.346396923   -0.036284159    0.000023720
    2.692793846    1.795195818   -0.029822340    0.000026338
    2.692793846    2.243994713   -0.024930269    0.000036510
    2.692793846    2.692793846   -0.023047988    0.000037152
    2.692793846    3.141592741   -0.020092135    0.000036051
    2.692793846   -3.141592741   -0.020092135    0.000036051
    2.692793846   -2.692793846   -0.023033101    0.000032540
    2.692793846   -2.243994713   -0.024920678    0.000036194
    2.692793846   -1.795195818   -0.029821247    0.000029026
    2.692793846   -1.346396923   -0.036280648    0.000023654
    2.692793846   -0.897597909   -0.040401113    0.000023798
    2.692793846   -0.448798954   -0.040157387    0.000025423
    3.141592741    0.000000000   -0.039659704    0.000024319
   -3.141592741    0.000000000   -0.039659704    0.000024319
    3.141592741    0.448798954   -0.040660301    0.000024845
   -3.141592741    0.448798954   -0.040660301    0.000024845
    3.141592741    0.897597909   -0.037952140    0.000024259
   -3.141592741    0.897597909   -0.037952140    0.000024259
    3.141592741    1.346396923   -0.037207443    0.000026369
   -3.141592741    1.346396923   -0.037207443    0.000026369
    3.141592741    1.795195818   -0.031297939    0.000028209
   -3.141592741    1.795195818   -0.031297939    0.000028209
    3.141592741    2.243994713   -0.026505237    0.000036632
   -3.141592741    2.243994713   -0.026505237    0.000036632
    3.141592741    2.692793846   -0.020093588    0.000037345
   -3.141592741    2.692793846   -0.020093588    0.000037345
    3.141592741    3.141592741   -0.026250289    0.000034647
   -3.141592741    3.141592741   -0.026250289    0.000034647
    3.141592741   -3.141592741   -0.026250289    0.000034647
   -3.141592741   -3.141592741   -0.026250289    0.000034647
    3.141592741   -2.692793846   -0.020093590    0.000037345
   -3.141592741   -2.692793846   -0.020093590    0.000037345
    3.141592741   -2.243994713   -0.026505240    0.000036632
   -3.141592741   -2.243994713   -0.026505240    0.000036632
    3.141592741   -1.795195818   -0.031297941    0.000028209
   -3.141592741   -1.795195818   -0.031297941    0.000028209
    3.141592741   -1.346396923   -0.037207444    0.000026369
   -3.141592741   -1.346396923   -0.037207444    0.000026369
    3.141592741   -0.897597909   -0.037952141    0.000024259
   -3.141592741   -0.897597909   -0.037952141    0.000024259
    3.141592741   -0.448798954   -0.040660301    0.000024845
   -3.141592741   -0.448798954   -0.040660301    0.000024845
   -2.692793846    0.000000000   -0.042004274    0.000024240
   -2.692793846    0.448798954   -0.040157387    0.000025423
   -2.692793846    0.897597909   -0.040401114    0.000023798
   -2.692793846    1.346396923   -0.036280648    0.000023654
   -2.692793846    1.795195818   -0.029821249    0.000029026
   -2.692793846    2.243994713   -0.024920675    0.000036194
   -2.692793846    2.692793846   -0.023033101    0.000032540
   -2.692793846    3.141592741   -0.020092138    0.000036051
   -2.692793846   -3.141592741   -0.020092138    0.000036051
   -2.692793846   -2.692793846   -0.023047991    0.000037152
   -2.692793846   -2.243994713   -0.024930270    0.000036511
   -2.692793846   -1.795195818   -0.029822340    0.000026338
   -2.692793846   -1.346396923   -0.036284158    0.000023720
   -2.692793846   -0.897597909   -0.040388263    0.000022196
   -2.692793846   -0.448798954   -0.040162132    0.000024560
   -2.243994713    0.000000000   -0.043422072    0.000026299
