            k_x            k_y          value          error
    0.000000000    0.000000000    0.285953420    0.000090305
    0.000000000    0.448798954    0.272105849    0.000087375
    0.000000000    0.897597909    0.235070184    0.000092944
    0.000000000    1.346396923    0.188050498    0.000082872
    0.000000000    1.795195818    0.145042438    0.000069167
    0.000000000    2.243994713    0.113642040    0.000061502
    0.000000000    2.692793846    0.094466931    0.000066996
    0.000000000    3.141592741    0.088393418    0.000077225
    0.000000000   -3.141592741    0.088393418    0.000077225
    0.000000000   -2.692793846    0.094466930    0.000066996
    0.000000000   -2.243994713    0.113642041    0.000061502
    0.000000000   -1.795195818    0.145042430    0.000069167
    0.000000000   -1.346396923    0.188050482    0.000082872
    0.000000000   -0.897597909    0.235070174    0.000092944
    0.000000000   -0.448798954    0.272105841    0.000087375
    0.448798954    0.000000000    0.272045382    0.000088225
    0.448798954    0.448798954    0.257683168    0.000087256
    0.448798954    0.897597909    0.222659889    0.000082360
    0.448798954    1.346396923    0.177822260    0.000080752
    0.448798954    1.795195818    0.136554408    0.000063018
    0.448798954    2.243994713    0.105124852    0.000063624
    0.448798954    2.692793846    0.086837746    0.000055896
    0.448798954    3.141592741    0.080530755    0.000078624
    0.448798954   -3.141592741    0.080530755    0.000078624
    0.448798954   -2.692793846    0.086823280    0.000067559
    0.448798954   -2.243994713    0.105087104    0.000066303
    0.448798954   -1.795195818    0.136493452    0.000078498
    0.448798954   -1.346396923    0.177759100    0.000081828
    0.448798954   -0.897597909    0.222613232    0.000079915
    0.448798954   -0.448798954    0.257660260    0.000087845
    0.897597909    0.000000000    0.234949341    0.000080693
    0.897597909    0.448798954    0.222590270    0.000081465
    0.897597909    0.897597909    0.190840621    0.000072948
    0.897597909    1.346396923    0.150261097    0.000066013
    0.897597909    1.795195818    0.111984343    0.000060507
    0.897597909    2.243994713    0.082997566    0.000053542
    0.897597909    2.692793846    0.065434517    0.000057485
    0.897597909    3.141592741    0.059973823    0.000054119
    0.897597909   -3.141592741    0.059973823    0.000054119
    0.897597909   -2.692793846    0.065417126    0.000058692
    0.897597909   -2.243994713    0.082963763    0.000063556
    0.897597909   -1.795195818    0.111924284    0.000064087
    0.897597909   -1.346396923    0.150185373    0.000077048
    0.897597909   -0.897597909    0.190778985    0.000076501
    0.897597909   -0.448798954    0.222552140    0.000082022
    1.346396923    0.000000000    0.187864764    0.000079266
    1.346396923    0.448798954    0.177649754    0.000079872
    1.346396923    0.897597909    0.150186151    0.000071186
    1.346396923    1.346396923    0.113440292    0.000060557
    1.346396923    1.795195818    0.078578712    0.000060344
    1.346396923    2.243994713    0.052560233    0.000057303
    1.346396923    2.692793846    0.037368159    0.000053142
    1.346396923    3.141592741    0.032143019    0.000056856
    1.346396923   -3.141592741    0.032143019    0.000056856
    1.346396923   -2.692793846    0.037306374    0.000049238
    1.346396923   -2.243994713    0.052484569    0.000055436
    1.346396923   -1.795195818    0.078520892    0.000066065
    1.346396923   -1.346396923    0.113369338    0.000072321
    1.346396923   -0.897597909    0.150120375    0.000070696
    1.346396923   -0.448798954    0.177613973    0.000074991
    1.795195818    0.000000000    0.144831510    0.000083398
    1.795195818    0.448798954    0.136372073    0.000071856
