            k_x            k_y          value          error
    0.000000000    0.000000000    0.989511622    0.000052892
    0.000000000    0.448798954    0.988991106    0.000079018
    0.000000000    0.897597909    0.988221266    0.000053822
    0.000000000    1.346396923    0.987028017    0.000049809
    0.000000000    1.795195818    0.985189005    0.000108939
    0.000000000    2.243994713    0.983164159    0.000143041
    0.000000000    2.692793846    0.981349859    0.000192266
    0.000000000    3.141592741    0.981129827    0.000215950
    0.000000000   -3.141592741    0.981129827    0.000215950
    0.000000000   -2.692793846    0.981349859    0.000192266
    0.000000000   -2.243994713    0.983164159    0.000143041
    0.000000000   -1.795195818    0.985189004    0.000108939
    0.000000000   -1.346396923    0.987028016    0.000049809
    0.000000000   -0.897597909    0.988221265    0.000053822
    0.000000000   -0.448798954    0.988991106    0.000079018
    0.448798954    0.000000000    0.989158624    0.000071941
    0.448798954    0.448798954    0.988711081    0.000067413
    0.448798954    0.897597909    0.987388857    0.000108270
    0.448798954    1.346396923    0.984902578    0.000127497
    0.448798954    1.795195818    0.980110737    0.000128222
    0.448798954    2.243994713    0.967587578    0.000210957
    0.448798954    2.692793846    0.974768461    0.000524635
    0.448798954    3.141592741    0.763966410    0.002961570
    0.448798954   -3.141592741    0.763966410    0.002961570
    0.448798954   -2.692793846    0.975854790    0.000368337
    0.448798954   -2.243994713    0.968153720    0.000289256
    0.448798954   -1.795195818    0.980137268    0.000140382
    0.448798954   -1.346396923    0.984849934    0.000150534
    0.448798954   -0.897597909    0.987377406    0.000056756
    0.448798954   -0.448798954    0.988709303    0.000105994
    0.897597909    0.000000000    0.988298886    0.000060531
    0.897597909    0.448798954    0.987260461    0.000091362
    0.897597909    0.897597909    0.984041135    0.000135602
    0.897597909    1.346396923    0.976208322    0.000124230
    0.897597909    1.795195818    0.947537320    0.000378497
    0.897597909    2.243994713    0.032415056    0.000373305
    0.897597909    2.692793846    0.039256824    0.000224464
    0.897597909    3.141592741    0.024796882    0.000139509
    0.897597909   -3.141592741    0.024796882    0.000139509
    0.897597909   -2.692793846    0.038798258    0.000263864
    0.897597909   -2.243994713    0.032612868    0.000306614
    0.897597909   -1.795195818    0.948371621    0.000308824
    0.897597909   -1.346396923    0.976133612    0.000184760
    0.897597909   -0.897597909    0.983962746    0.000123769
    0.897597909   -0.448798954    0.987323704    0.000109147
    1.346396923    0.000000000    0.987136789    0.000106324
    1.346396923    0.448798954    0.984735619    0.000068727
    1.346396923    0.897597909    0.975913593    0.000125240
    1.346396923    1.346396923    0.939251119    0.000306516
    1.346396923    1.795195818    0.024999963    0.000196309
    1.346396923    2.243994713    0.049061093    0.000160752
    1.346396923    2.692793846    0.019490149    0.000115761
    1.346396923    3.141592741    0.015197539    0.000071032
    1.346396923   -3.141592741    0.015197539    0.000071032
    1.346396923   -2.692793846    0.019522325    0.000077544
    1.346396923   -2.243994713    0.048602539    0.000168849
    1.346396923   -1.795195818    0.024927982    0.000181428
    1.346396923   -1.346396923    0.939328843    0.000284175
    1.346396923   -0.897597909    0.975993159    0.000102521
    1.346396923   -0.448798954    0.984762762    0.000080482
    1.795195818    0.000000000    0.985027517    0.000114200
    1.795195818    0.448798954    0.979971864    0.000161937
    1.795195818    0.897597909    0.947612130    0.000242797
    1.795195818    1.346396923    0.024866930    0.000214056
    1.795195818    1.795195818    0.054048391    0.000188047
    1.795195818    2.243994713    0.020259243    0.000113727
    1.795195818    2.692793846    0.012105784    0.000081468
    1.795195818    3.141592741    0.010168294    0.000069958
    1.795195818   -3.141592741    0.010168294    0.000069958
    1.795195818   -2.692793846    0.012071296    0.000067785
    1.795195818   -2.243994713    0.020078791    0.000079991
    1.795195818   -1.795195818    0.053829297    0.000109653
    1.795195818   -1.346396923    0.024914107    0.000208001
    1.795195818   -0.897597909    0.948068016    0.000367917
    1.795195818   -0.448798954    0.980324319    0.000196376
    2.243994713    0.000000000    0.982908354    0.000165207
    2.243994713    0.448798954    0.967799295    0.000224698
    2.243994713    0.897597909    0.032549408    0.000228198
    2.243994713    1.346396923    0.049041197    0.000242860
    2.243994713    1.795195818    0.020297456    0.000088330
    2.243994713    2.243994713    0.011894121    0.000080929
    2.243994713    2.692793846    0.008564573    0.000054728
    2.243994713    3.141592741    0.007581844    0.000054243
    2.243994713   -3.141592741    0.007581844    0.000054243
    2.243994713   -2.692793846    0.008560258    0.000045712
    2.243994713   -2.243994713    0.011818274    0.000047996
    2.243994713   -1.795195818    0.020112145    0.000093394
    2.243994713   -1.346396923    0.048812473    0.000193388
    2.243994713   -0.897597909    0.032554115    0.000407718
    2.243994713   -0.448798954    0.968125635    0.000278817
    2.692793846    0.000000000    0.981031300    0.000218085
    2.692793846    0.448798954    0.975972404    0.000322463
    2.692793846    0.897597909    0.039261269    0.000298924
    2.692793846    1.346396923    0.019654641    0.000103250
    2.692793846    1.795195818    0.012142323    0.000069344
    2.692793846    2.243994713    0.008572814    0.000076673
    2.692793846    2.692793846    0.006887390    0.000048799
    2.692793846    3.141592741    0.006363436    0.000045554
    2.692793846   -3.141592741    0.006363436    0.000045554
    2.692793846   -2.692793846    0.006856866    0.000044271
    2.692793846   -2.243994713    0.008494069    0.000033539
    2.692793846   -1.795195818    0.012161086    0.000049867
    2.692793846   -1.346396923    0.019530743    0.000131281
    2.692793846   -0.897597909    0.038893461    0.000193020
    2.692793846   -0.448798954    0.975081404    0.000353730
    3.141592741    0.000000000    0.980694515    0.000376043
   -3.141592741    0.000000000    0.980694515    0.000376043
    3.141592741    0.448798954    0.730613952    0.003409924
   -3.141592741    0.448798954    0.730613952    0.003409924
    3.141592741    0.897597909    0.024677740    0.000118726
   -3.141592741    0.897597909    0.024677740    0.000118726
    3.141592741    1.346396923    0.015243642    0.000101719
   -3.141592741    1.346396923    0.015243642    0.000101719
    3.141592741    1.795195818    0.010271111    0.000071448
   -3.141592741    1.795195818    0.010271111    0.000071448
    3.141592741    2.243994713    0.007638222    0.000046360
   -3.141592741    2.243994713    0.007638222    0.000046360
    3.141592741    2.692793846    0.006427400    0.000047429
   -3.141592741    2.692793846    0.006427400    0.000047429
    3.141592741    3.141592741    0.006059397    0.000053613
   -3.141592741    3.141592741    0.006059397    0.000053613
    3.141592741   -3.141592741    0.006059397    0.000053613
   -3.141592741   -3.141592741    0.006059397    0.000053613
    3.141592741   -2.692793846    0.006427323    0.000047429
   -3.141592741   -2.692793846    0.006427323    0.000047429
    3.141592741   -2.243994713    0.007638011    0.000046360
   -3.141592741   -2.243994713    0.007638011    0.000046360
    3.141592741   -1.795195818    0.010271007    0.000071449
   -3.141592741   -1.795195818    0.010271007    0.000071449
    3.141592741   -1.346396923    0.015243385    0.000101720
   -3.141592741   -1.346396923    0.015243385    0.000101720
    3.141592741   -0.897597909    0.024677674    0.000118726
   -3.141592741   -0.897597909    0.024677674    0.000118726
    3.141592741   -0.448798954    0.730613884    0.003409925
   -3.141592741   -0.448798954    0.730613884    0.003409925
   -2.692793846    0.000000000    0.981031300    0.000218085
   -2.692793846    0.448798954    0.975081656    0.000353730
   -2.692793846    0.897597909    0.038893556    0.000193020
   -2.692793846    1.346396923    0.019530938    0.000131281
   -2.692793846    1.795195818    0.012160893    0.000049866
   -2.692793846    2.243994713    0.008494200    0.000033540
   -2.692793846    2.692793846    0.006856868    0.000044271
   -2.692793846    3.141592741    0.006363360    0.000045554
   -2.692793846   -3.141592741    0.006363360    0.000045554
   -2.692793846   -2.692793846    0.006887194    0.000048799
   -2.692793846   -2.243994713    0.008572791    0.000076673
   -2.692793846   -1.795195818    0.012142381    0.000069345
   -2.692793846   -1.346396923    0.019654618    0.000103250
   -2.692793846   -0.897597909    0.039261247    0.000298924
   -2.692793846   -0.448798954    0.975972379    0.000322464
   -2.243994713    0.000000000    0.982908354    0.000165207
   -2.243994713    0.448798954    0.968125944    0.000278816
   -2.243994713    0.897597909    0.032554126    0.000407717
   -2.243994713    1.346396923    0.048812548    0.000193388
   -2.243994713    1.795195818    0.020112308    0.000093394
   -2.243994713    2.243994713    0.011818272    0.000047996
   -2.243994713    2.692793846    0.008560123    0.000045712
   -2.243994713    3.141592741    0.007581635    0.000054243
   -2.243994713   -3.141592741    0.007581635    0.000054243
   -2.243994713   -2.692793846    0.008564551    0.000054728
   -2.243994713   -2.243994713    0.011894002    0.000080929
   -2.243994713   -1.795195818    0.020297345    0.000088330
   -2.243994713   -1.346396923    0.049040947    0.000242860
   -2.243994713   -0.897597909    0.032549221    0.000228198
   -2.243994713   -0.448798954    0.967799023    0.000224698
   -1.795195818    0.000000000    0.985027516    0.000114201
   -1.795195818    0.448798954    0.980324401    0.000196376
   -1.795195818    0.897597909    0.948068094    0.000367917
   -1.795195818    1.346396923    0.024914185    0.000208000
   -1.795195818    1.795195818    0.053829299    0.000109652
   -1.795195818    2.243994713    0.020078627    0.000079990
   -1.795195818    2.692793846    0.012071494    0.000067786
   -1.795195818    3.141592741    0.010168194    0.000069959
   -1.795195818   -3.141592741    0.010168194    0.000069959
   -1.795195818   -2.692793846    0.012105840    0.000081468
   -1.795195818   -2.243994713    0.020259131    0.000113727
   -1.795195818   -1.795195818    0.054048381    0.000188047
   -1.795195818   -1.346396923    0.024866735    0.000214057
   -1.795195818   -0.897597909    0.947612016    0.000242796
   -1.795195818   -0.448798954    0.979971782    0.000161938
   -1.346396923    0.000000000    0.987136788    0.000106324
   -1.346396923    0.448798954    0.984762892    0.000080482
   -1.346396923    0.897597909    0.975993034    0.000102522
   -1.346396923    1.346396923    0.939328844    0.000284175
   -1.346396923    1.795195818    0.024927906    0.000181428
   -1.346396923    2.243994713    0.048602464    0.000168849
   -1.346396923    2.692793846    0.019522127    0.000077544
   -1.346396923    3.141592741    0.015197287    0.000071032
   -1.346396923   -3.141592741    0.015197287    0.000071032
   -1.346396923   -2.692793846    0.019490132    0.000115761
   -1.346396923   -2.243994713    0.049060845    0.000160752
