            k_x            k_y          value          error
    0.000000000    0.000000000    0.989272544    0.000101685
    0.000000000    0.448798954    0.989036556    0.000096273
    0.000000000    0.897597909    0.988220266    0.000073909
    0.000000000    1.346396923    0.987005727    0.000098208
    0.000000000    1.795195818    0.984934291    0.000165555
    0.000000000    2.243994713    0.983062485    0.000143610
    0.000000000    2.692793846    0.981515567    0.000146535
    0.000000000    3.141592741    0.980903715    0.000263622
    0.000000000   -3.141592741    0.980903715    0.000263622
    0.000000000   -2.692793846    0.981515566    0.000146535
    0.000000000   -2.243994713    0.983062486    0.000143610
    0.000000000   -1.795195818    0.984934291    0.000165555
    0.000000000   -1.346396923    0.987005727    0.000098208
    0.000000000   -0.897597909    0.988220265    0.000073909
    0.000000000   -0.448798954    0.989036556    0.000096273
    0.448798954    0.000000000    0.988910113    0.000063467
    0.448798954    0.448798954    0.988515928    0.000078963
    0.448798954    0.897597909    0.987380199    0.000112231
    0.448798954    1.346396923    0.984715904    0.000114092
    0.448798954    1.795195818    0.980425588    0.000140832
    0.448798954    2.243994713    0.968182200    0.000310203
    0.448798954    2.692793846    0.975919965    0.000785111
    0.448798954    3.141592741    0.739579441    0.004848448
    0.448798954   -3.141592741    0.739579441    0.004848448
    0.448798954   -2.692793846    0.975171187    0.000912195
    0.448798954   -2.243994713    0.967341578    0.000230148
    0.448798954   -1.795195818    0.980097441    0.000201617
    0.448798954   -1.346396923    0.985016193    0.000123783
    0.448798954   -0.897597909    0.987412792    0.000091620
    0.448798954   -0.448798954    0.988633055    0.000057616
    0.897597909    0.000000000    0.988211553    0.000104210
    0.897597909    0.448798954    0.987425305    0.000146465
    0.897597909    0.897597909    0.984046702    0.000158249
    0.897597909    1.346396923    0.976459409    0.000167466
    0.897597909    1.795195818    0.947771677    0.000383312
    0.897597909    2.243994713    0.032741357    0.000538396
    0.897597909    2.692793846    0.039030375    0.000198591
    0.897597909    3.141592741    0.024995241    0.000203789
    0.897597909   -3.141592741    0.024995241    0.000203789
    0.897597909   -2.692793846    0.039037317    0.000275520
    0.897597909   -2.243994713    0.032360119    0.000473735
    0.897597909   -1.795195818    0.948550446    0.000284088
    0.897597909   -1.346396923    0.976013856    0.000111242
    0.897597909   -0.897597909    0.984051968    0.000104963
    0.897597909   -0.448798954    0.987334997    0.000113646
    1.346396923    0.000000000    0.986929499    0.000090674
    1.346396923    0.448798954    0.984806871    0.000081766
    1.346396923    0.897597909    0.976301903    0.000093809
    1.346396923    1.346396923    0.939085102    0.000308243
    1.346396923    1.795195818    0.025388681    0.000226431
    1.346396923    2.243994713    0.048845558    0.000163334
    1.346396923    2.692793846    0.019648323    0.000103046
    1.346396923    3.141592741    0.015338003    0.000054781
    1.346396923   -3.141592741    0.015338003    0.000054781
    1.346396923   -2.692793846    0.019576356    0.000085442
    1.346396923   -2.243994713    0.049068440    0.000220831
    1.346396923   -1.795195818    0.024517722    0.000190526
    1.346396923   -1.346396923    0.938654231    0.000381367
    1.346396923   -0.897597909    0.976132709    0.000220099
