            k_x            k_y          value          error
    0.000000000    0.000000000    0.167924849    0.000233038
    0.000000000    0.448798954    0.144801948    0.000219829
    0.000000000    0.897597909    0.094698041    0.000141715
    0.000000000    1.346396923    0.046362548    0.000089420
    0.000000000    1.795195818    0.013495814    0.000087510
    0.000000000    2.243994713   -0.003139153    0.000096005
    0.000000000    2.692793846   -0.009089788    0.000122467
    0.000000000    3.141592741   -0.010253320    0.000148289
    0.000000000   -3.141592741   -0.010253320    0.000148289
    0.000000000   -2.692793846   -0.009089784    0.000122467
    0.000000000   -2.243994713   -0.003139153    0.000096005
    0.000000000   -1.795195818    0.013495810    0.000087510
    0.000000000   -1.346396923    0.046362537    0.000089420
    0.000000000   -0.897597909    0.094698032    0.000141715
    0.000000000   -0.448798954    0.144801931    0.000219829
    0.448798954    0.000000000    0.144866483    0.000206051
    0.448798954    0.448798954    0.121584270    0.000197172
    0.448798954    0.897597909    0.078812042    0.000141414
    0.448798954    1.346396923    0.040894355    0.000095081
    0.448798954    1.795195818    0.013981720    0.000068970
    0.448798954    2.243994713   -0.001382732    0.000098505
    0.448798954    2.692793846   -0.007729027    0.000107949
    0.448798954    3.141592741   -0.009176274    0.000126271
    0.448798954   -3.141592741   -0.009176274    0.000126271
    0.448798954   -2.692793846   -0.007735351    0.000098489
    0.448798954   -2.243994713   -0.001403219    0.000088701
    0.448798954   -1.795195818    0.013980778    0.000086844
    0.448798954   -1.346396923    0.040902242    0.000087176
    0.448798954   -0.897597909    0.078711363    0.000121959
    0.448798954   -0.448798954    0.121429510    0.000180876
    0.897597909    0.000000000    0.094799948    0.000165077
    0.897597909    0.448798954    0.078945391    0.000157945
    0.897597909    0.897597909    0.049868386    0.000138806
    0.897597909    1.346396923    0.030290335    0.000116355
    0.897597909    1.795195818    0.016560261    0.000095813
    0.897597909    2.243994713    0.005230905    0.000091401
    0.897597909    2.692793846   -0.001571643    0.000104027
    0.897597909    3.141592741   -0.003473213    0.000094852
    0.897597909   -3.141592741   -0.003473213    0.000094852
    0.897597909   -2.692793846   -0.001539462    0.000101098
    0.897597909   -2.243994713    0.005221581    0.000085375
    0.897597909   -1.795195818    0.016595382    0.000093236
    0.897597909   -1.346396923    0.030294699    0.000093925
    0.897597909   -0.897597909    0.049794691    0.000114108
    0.897597909   -0.448798954    0.078818403    0.000133386
    1.346396923    0.000000000    0.046477437    0.000110764
    1.346396923    0.448798954    0.041046936    0.000102585
    1.346396923    0.897597909    0.030404585    0.000108045
    1.346396923    1.346396923    0.025191973    0.000102071
    1.346396923    1.795195818    0.023711280    0.000121663
    1.346396923    2.243994713    0.019136588    0.000098265
    1.346396923    2.692793846    0.014205520    0.000081697
    1.346396923    3.141592741    0.012425048    0.000077165
    1.346396923   -3.141592741    0.012425048    0.000077165
    1.346396923   -2.692793846    0.014229013    0.000091272
    1.346396923   -2.243994713    0.019231955    0.000097705
    1.346396923   -1.795195818    0.023830540    0.000113909
    1.346396923   -1.346396923    0.025156488    0.000119954
    1.346396923   -0.897597909    0.030344843    0.000098784
    1.346396923   -0.448798954    0.040975647    0.000111049
    1.795195818    0.000000000    0.013601880    0.000095805
    1.795195818    0.448798954    0.014066641    0.000092789
    1.795195818    0.897597909    0.016680044    0.000101882
    1.795195818    1.346396923    0.023828563    0.000115135
    1.795195818    1.795195818    0.033994360    0.000102968
    1.795195818    2.243994713    0.040582420    0.000116729
    1.795195818    2.692793846    0.042714362    0.000104814
    1.795195818    3.141592741    0.043275343    0.000093473
    1.795195818   -3.141592741    0.043275343    0.000093473
    1.795195818   -2.692793846    0.042765610    0.000090457
    1.795195818   -2.243994713    0.040612505    0.000098860
    1.795195818   -1.795195818    0.033943342    0.000091677
    1.795195818   -1.346396923    0.023710888    0.000107587
    1.795195818   -0.897597909    0.016690442    0.000111167
    1.795195818   -0.448798954    0.014072173    0.000108366
    2.243994713    0.000000000   -0.003099094    0.000127396
    2.243994713    0.448798954   -0.001366779    0.000112827
    2.243994713    0.897597909    0.005250234    0.000081759
    2.243994713    1.346396923    0.019197926    0.000089336
    2.243994713    1.795195818    0.040663422    0.000122587
    2.243994713    2.243994713    0.063636270    0.000120208
    2.243994713    2.692793846    0.080690720    0.000131926
    2.243994713    3.141592741    0.087026173    0.000128053
    2.243994713   -3.141592741    0.087026173    0.000128053
    2.243994713   -2.692793846    0.080667419    0.000123290
    2.243994713   -2.243994713    0.063566729    0.000104185
    2.243994713   -1.795195818    0.040552331    0.000098663
    2.243994713   -1.346396923    0.019063950    0.000106173
    2.243994713   -0.897597909    0.005210087    0.000116197
    2.243994713   -0.448798954   -0.001365246    0.000120216
    2.692793846    0.000000000   -0.009114408    0.000139450
    2.692793846    0.448798954   -0.007732319    0.000125185
    2.692793846    0.897597909   -0.001533701    0.000098039
    2.692793846    1.346396923    0.014199258    0.000083446
    2.692793846    1.795195818    0.042686361    0.000104660
    2.692793846    2.243994713    0.080612971    0.000129673
    2.692793846    2.692793846    0.114807962    0.000148675
    2.692793846    3.141592741    0.129916365    0.000160193
    2.692793846   -3.141592741    0.129916365    0.000160193
    2.692793846   -2.692793846    0.114746355    0.000141237
    2.692793846   -2.243994713    0.080597962    0.000111457
    2.692793846   -1.795195818    0.042702280    0.000078970
    2.692793846   -1.346396923    0.014178111    0.000100166
    2.692793846   -0.897597909   -0.001560764    0.000102836
    2.692793846   -0.448798954   -0.007765453    0.000132169
    3.141592741    0.000000000   -0.010284111    0.000152526
   -3.141592741    0.000000000   -0.010284111    0.000152526
    3.141592741    0.448798954   -0.009219174    0.000137714
   -3.141592741    0.448798954   -0.009219174    0.000137714
    3.141592741    0.897597909   -0.003510462    0.000105215
   -3.141592741    0.897597909   -0.003510462    0.000105215
    3.141592741    1.346396923    0.012397219    0.000084134
   -3.141592741    1.346396923    0.012397219    0.000084134
    3.141592741    1.795195818    0.043235556    0.000094824
   -3.141592741    1.795195818    0.043235556    0.000094824
    3.141592741    2.243994713    0.086920393    0.000130480
   -3.141592741    2.243994713    0.086920393    0.000130480
    3.141592741    2.692793846    0.129958307    0.000126972
   -3.141592741    2.692793846    0.129958307    0.000126972
    3.141592741    3.141592741    0.149262870    0.000151775
   -3.141592741    3.141592741    0.149262870    0.000151775
    3.141592741   -3.141592741    0.149262870    0.000151775
   -3.141592741   -3.141592741    0.149262870    0.000151775
    3.141592741   -2.692793846    0.129958304    0.000126972
   -3.141592741   -2.692793846    0.129958304    0.000126972
    3.141592741   -2.243994713    0.086920387    0.000130480
   -3.141592741   -2.243994713    0.086920387    0.000130480
    3.141592741   -1.795195818    0.043235565    0.000094824
   -3.141592741   -1.795195818    0.043235565    0.000094824
    3.141592741   -1.346396923    0.012397223    0.000084134
   -3.141592741   -1.346396923    0.012397223    0.000084134
    3.141592741   -0.897597909   -0.003510470    0.000105215
   -3.141592741   -0.897597909   -0.003510470    0.000105215
    3.141592741   -0.448798954   -0.009219178    0.000137714
   -3.141592741   -0.448798954   -0.009219178    0.000137714
