apx,U,delta,seed,chi_d,chi_dxy,M,n
1,0.0,0.0,1,-5.195843755245732e-15,-1.776356839400251e-15,0.44269133559607915,1.0
1,0.0,0.0,2,-5.195843755245732e-15,-1.776356839400251e-15,0.44269133559607915,1.0
1,0.0,0.0,3,-5.195843755245732e-15,-1.776356839400251e-15,0.44269133559607915,1.0
1,0.0,0.1,1,2.19557705349871e-14,7.269740365245524e-15,0.438325694329067,1.0
1,0.0,0.1,2,2.19557705349871e-14,7.269740365245524e-15,0.438325694329067,1.0
1,0.0,0.1,3,2.19557705349871e-14,7.269740365245524e-15,0.438325694329067,1.0
1,0.0,0.2,1,-5.8553162318730766e-15,-1.034283769740796e-14,0.4289350169497801,1.0
1,0.0,0.2,2,-5.8553162318730766e-15,-1.034283769740796e-14,0.4289350169497801,1.0
1,0.0,0.2,3,-5.8553162318730766e-15,-1.034283769740796e-14,0.4289350169497801,1.0
1,0.0,0.3,1,3.3972824553529796e-15,7.684963776455333e-15,0.42325535637134837,1.0
1,0.0,0.3,2,3.3972824553529796e-15,7.684963776455333e-15,0.42325535637134837,1.0
1,0.0,0.3,3,3.3972824553529796e-15,7.684963776455333e-15,0.42325535637134837,1.0
1,0.0,0.4,1,-1.1963763313360686e-14,-3.0053737276602988e-15,0.40724645265811,1.0
1,0.0,0.4,2,-1.1963763313360686e-14,-3.0053737276602988e-15,0.40724645265811,1.0
1,0.0,0.4,3,-1.1963763313360686e-14,-3.0053737276602988e-15,0.40724645265811,1.0
1,2.0,0.0,1,0.3510773419536644,1.9072045351557627,0.5195487427839417,1.0
1,2.0,0.0,2,0.39076857681812976,1.8037799585436673,0.5147380426958675,1.0
1,2.0,0.0,3,0.6319641729646858,2.0595837667296886,0.5119302472234062,1.0
1,2.0,0.1,1,0.13388873162572204,1.165470645875849,0.4977268498270106,1.0
1,2.0,0.1,2,0.04721868343009455,1.2187899530146804,0.4997471987472554,1.0
1,2.0,0.1,3,0.09127199539127843,1.092015298814238,0.5048318866148501,1.0
1,2.0,0.2,1,0.1259517787867645,0.32963325624755446,0.48259013723316646,1.0
1,2.0,0.2,2,0.12842980882867844,0.45047706303599344,0.48820675572517286,1.0
1,2.0,0.2,3,0.11459709126221693,0.4025568288590214,0.48726263872601594,1.0
