L,nup,delta,U,seed,n,eq_son_full,eq_son_vertex,chi_son_full,chi_son_vertex,eq_sext_full,eq_sext_vertex,chi_sext_full,chi_sext_vertex,eq_d_full,eq_d_vertex,chi_d_full,chi_d_vertex,eq_dxy_full,eq_dxy_vertex,chi_dxy_full,chi_dxy_vertex,taus,Ctau_son_vertex,Ctau_sext_vertex,Ctau_d_vertex,Ctau_dxy_vertex,beta_proj,tau_max,nw
12,72,0.1,4.0,1,1.0,35.394302394867104,-24.244000237827464,3.8509222001104413,-4.6327817838405165,343.95435761868026,77.77893650852435,30.434199336241896,5.3139974266233425,194.1242015026731,26.496137203887578,35.09600356358699,4.484171513137727,275.3827718802218,-6.444525795004891,45.012840673957655,-1.9585079132691152,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-24.244;-18.2471;-13.8735;-10.6283;-8.21823;-6.41028;-5.03974;-3.98287;-3.18012;-2.55737;-2.06872;-1.68745;-1.38443;-1.14488;-0.957273;-0.80841;-0.689913,77.7789;38.083;18.4132;8.56538;3.71242;1.39132;0.256348;-0.185529;-0.364985;-0.410941;-0.37851;-0.350668;-0.333521;-0.308884;-0.286448;-0.275385;-0.272662,26.4961;18.7655;13.8444;10.0221;7.66371;5.72729;4.3929;3.38174;2.60412;2.15406;1.70251;1.50228;1.2601;1.16242;0.991484;0.859485;0.80246,-6.44453;-5.35001;-4.43733;-3.94373;-3.52722;-3.07204;-2.80415;-2.34952;-2.10035;-1.74118;-1.56544;-1.32151;-1.10505;-0.918077;-0.767293;-0.655818;-0.578366,32.0,0.8,500
12,72,0.1,4.0,2,1.0,35.385236976470594,-24.175056141846476,3.844162229194315,-4.617743526090979,344.8310253288764,77.8443672433647,30.487791877384826,5.29252525698422,194.11893644203465,26.386254588913413,35.44048392189328,4.7549802080120305,276.8536752472115,-5.614628574125152,45.279551458925184,-1.6771065307993365,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-24.1751;-18.1761;-13.8163;-10.5959;-8.19795;-6.38456;-5.01744;-3.97572;-3.1701;-2.54928;-2.06521;-1.68241;-1.38316;-1.14499;-0.957281;-0.807133;-0.687807,77.8444;38.0505;18.359;8.48398;3.60744;1.30899;0.230444;-0.226481;-0.365769;-0.395252;-0.399735;-0.37629;-0.341644;-0.301895;-0.285105;-0.282216;-0.275278,26.3863;18.8065;13.8299;10.3235;8.42165;6.58484;4.92495;3.9306;3.25535;2.6503;2.02793;1.73075;1.50426;1.31846;1.10798;1.02915;0.920729,-5.61463;-4.71288;-3.82297;-3.28029;-2.86147;-2.68843;-2.23824;-1.98655;-1.68671;-1.50069;-1.29989;-1.18372;-0.939407;-0.786969;-0.76203;-0.680932;-0.607302,32.0,0.8,500
12,72,0.1,4.0,3,1.0,35.458276088653875,-24.258821809575316,3.861397866630237,-4.627848274717618,345.34676362520486,78.30457001503518,30.491602380726363,5.2957665025215945,192.18543657471224,24.100791240929983,34.58716533858118,3.897299901090509,276.91978595901594,-6.312954399179203,45.4904454800614,-1.666425408346725,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-24.2588;-18.2498;-13.8565;-10.6192;-8.19507;-6.3822;-5.02196;-3.9784;-3.17486;-2.55268;-2.06471;-1.68324;-1.38401;-1.14653;-0.960866;-0.811694;-0.691712,78.3046;38.331;18.3114;8.37374;3.57855;1.29026;0.23712;-0.258011;-0.412632;-0.437144;-0.435463;-0.389963;-0.355186;-0.325214;-0.304951;-0.295168;-0.290685,24.1008;17.3852;12.6278;8.80873;6.81998;5.09641;3.59013;2.37673;1.88362;1.69187;1.39948;1.13375;0.866316;0.788834;0.636723;0.560441;0.459159,-6.31295;-5.53105;-4.16383;-3.24571;-2.75406;-2.34575;-2.14968;-1.77239;-1.60583;-1.39149;-1.20543;-1.05022;-0.802688;-0.701964;-0.591016;-0.595724;-0.530394,32.0,0.8,500
12,72,0.1,4.0,4,1.0,35.41055279560227,-24.216865132811012,3.85237842966565,-4.62468218366777,344.7223365955623,77.98248052233399,30.468851081894094,5.298708674434489,192.31928349581625,24.4561216170468,34.7729110505767,4.113361322802931,276.93711788166894,-5.704070174458454,45.49016690998542,-1.6027373387372783,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-24.2169;-18.215;-13.8545;-10.6353;-8.20859;-6.39606;-5.02649;-3.97447;-3.16771;-2.53966;-2.05116;-1.6802;-1.3823;-1.14455;-0.957427;-0.807231;-0.689279,77.9825;38.1202;18.342;8.36417;3.56303;1.31232;0.237419;-0.176596;-0.332096;-0.386538;-0.369674;-0.365359;-0.327606;-0.308772;-0.281696;-0.272259;-0.271182,24.4561;17.7744;12.8786;9.29364;6.96023;5.09535;3.97168;3.10167;2.56757;1.99033;1.65226;1.26573;1.01312;0.821347;0.729637;0.624456;0.59832,-5.70407;-4.15753;-3.70051;-3.14513;-2.60328;-2.4715;-2.2263;-1.92649;-1.64431;-1.37682;-1.25592;-1.16532;-1.03235;-0.870649;-0.740205;-0.61504;-0.542721,32.0,0.8,500
12,72,0.1,4.0,5,1.0,35.449915114918994,-24.301724784464135,3.8578395053766728,-4.650865158669243,344.86525483624916,78.12423473210305,30.51467731704031,5.316842335882805,192.82306812228757,24.66757144600921,35.00171015709774,4.197112792434082,277.95184500132837,-5.148388948397832,45.54552687209294,-1.624691445005552,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-24.3017;-18.3427;-13.9493;-10.6943;-8.24131;-6.41177;-5.04313;-3.98604;-3.18949;-2.5641;-2.08131;-1.69473;-1.3912;-1.15311;-0.963435;-0.813582;-0.694089,78.1242;38.3981;18.3423;8.43889;3.64561;1.31132;0.232321;-0.211855;-0.373201;-0.411927;-0.380909;-0.364243;-0.333399;-0.307661;-0.290383;-0.282472;-0.275605,24.6676;17.1543;11.7819;9.42987;7.27317;5.45433;4.11948;3.37347;2.81079;2.35;1.80998;1.57902;1.37945;1.03286;0.928161;0.775439;0.712377,-5.14839;-4.1934;-3.58813;-3.25765;-2.75634;-2.55382;-2.38106;-2.01226;-1.799;-1.55866;-1.25719;-1.1109;-0.993724;-0.843091;-0.705089;-0.620778;-0.577083,32.0,0.8,500
12,72,0.1,4.0,6,1.0,35.4075304977697,-24.286524365005892,3.8496245132653515,-4.641774703254471,345.14308410239374,78.05168452186155,30.49580535208755,5.305163730407023,192.59551952133415,24.720512656552973,34.732853026259,4.042172443833644,276.89002869746133,-6.212456922593118,45.37342605266059,-1.8030018182489336,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-24.2865;-18.2731;-13.8794;-10.664;-8.23192;-6.4223;-5.04156;-3.99065;-3.18564;-2.56622;-2.07534;-1.69259;-1.392;-1.15215;-0.963443;-0.814257;-0.695298,78.0517;38.2363;18.2436;8.4095;3.66408;1.39286;0.295014;-0.18101;-0.354792;-0.396557;-0.408135;-0.401807;-0.363561;-0.326538;-0.305678;-0.286748;-0.278144,24.7205;16.982;12.4645;9.15675;6.6788;5.44548;4.10142;3.00622;2.41277;1.81131;1.47012;1.20148;1.01361;0.874177;0.772846;0.733003;0.717421,-6.21246;-5.11928;-4.01622;-3.52722;-3.29032;-2.94863;-2.73265;-2.31183;-1.94774;-1.64727;-1.2584;-1.06021;-0.829246;-0.783415;-0.660548;-0.575852;-0.489912,32.0,0.8,500
12,72,0.2,4.0,1,1.0,36.539055414773514,-23.86972184748201,3.9480508894110535,-4.603699168345194,338.88946758113536,74.14538457567028,29.822423254281752,4.979402220719867,184.82066686206608,19.124902805987027,33.15087298781584,2.6675153020803952,293.82206400957205,32.81735032149395,43.36805961964571,3.974789140889127,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-23.8697;-18.031;-13.7203;-10.5447;-8.15664;-6.35788;-5.01292;-3.98449;-3.1983;-2.57177;-2.09283;-1.7077;-1.40979;-1.17244;-0.984151;-0.835796;-0.716946,74.1454;36.1784;17.1004;7.82593;3.26539;1.08433;0.113496;-0.287076;-0.385367;-0.410961;-0.376054;-0.329368;-0.309911;-0.284827;-0.267101;-0.268018;-0.267868,19.1249;12.826;8.70245;6.18807;4.06374;3.09389;2.25531;1.7435;1.19944;0.864183;0.697605;0.562296;0.45307;0.36787;0.317738;0.317806;0.269755,32.8174;22.7264;15.764;10.5201;6.97361;4.43507;2.76518;1.56967;0.739816;0.242484;-0.0636565;-0.27696;-0.417246;-0.481181;-0.512222;-0.600353;-0.595126,32.0,0.8,500
12,72,0.2,4.0,2,1.0,36.62564478591496,-24.269660616097365,3.9612641905240467,-4.694378298768702,338.88733967337964,74.68699876781712,29.79563909055314,4.9951659577142635,186.1790151423875,20.381294390610083,33.87487551072984,3.2868307692974357,295.8785928531448,34.178928722503755,43.56557758804921,3.955076886587375,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-24.2697;-18.3037;-13.9624;-10.7405;-8.33248;-6.50843;-5.13188;-4.07724;-3.25815;-2.63474;-2.13943;-1.75514;-1.45025;-1.20846;-1.01697;-0.862209;-0.741369,74.687;36.1894;17.0961;7.70779;3.18347;1.11539;0.149378;-0.220469;-0.351132;-0.374784;-0.366719;-0.319655;-0.292359;-0.273381;-0.275565;-0.27133;-0.272661,20.3813;14.2912;9.92218;7.26437;5.15281;4.27123;3.12737;2.47852;1.94726;1.50095;1.32878;1.14244;0.874863;0.74189;0.69548;0.573368;0.466625,34.1789;23.0495;15.8261;10.6179;6.90387;4.44243;2.69457;1.57668;0.687719;0.121732;-0.284129;-0.472363;-0.613569;-0.692249;-0.747224;-0.738281;-0.721165,32.0,0.8,500
12,72,0.2,4.0,3,1.0,36.680420432711294,-24.33856244312668,3.967816095779996,-4.720329087998233,339.10870703314635,74.75281574879604,29.85489044104034,5.027660268370164,185.0861392447096,19.02298038053907,33.63668646891881,2.9652095129374483,295.79516824087364,34.3457952359682,43.58988217979748,3.995208244685044,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-24.3386;-18.4144;-14.0447;-10.8015;-8.37908;-6.54716;-5.1618;-4.09826;-3.27777;-2.64936;-2.15435;-1.76571;-1.46057;-1.21524;-1.02277;-0.870688;-0.747984,74.7528;36.225;17.2238;7.80048;3.28065;1.17849;0.229661;-0.170133;-0.309666;-0.355024;-0.345682;-0.323494;-0.30112;-0.278366;-0.272685;-0.26786;-0.274455,19.023;13.0092;9.33207;6.67147;4.93775;3.60838;2.76879;2.13368;1.71879;1.39115;1.01611;0.83663;0.599847;0.574254;0.495813;0.475666;0.44626,34.3458;23.605;16.2829;10.8675;7.14572;4.34679;2.59447;1.37534;0.591467;0.0728783;-0.299915;-0.571797;-0.675408;-0.743938;-0.759511;-0.735855;-0.728916,32.0,0.8,500
12,72,0.2,4.0,4,1.0,36.629131441839064,-24.177449595339194,3.969215844054949,-4.676754814274158,338.25059400511526,74.20995253216134,29.75369331670924,4.955775048280769,187.87613176117682,21.543331198282804,34.1132031322506,3.3882165702557026,292.431056649329,31.19613547720117,42.90695363408901,3.402379463172596,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-24.1774;-18.2581;-13.9092;-10.7011;-8.29571;-6.48272;-5.10902;-4.06124;-3.25243;-2.62239;-2.13124;-1.74614;-1.44248;-1.20168;-1.00886;-0.856357;-0.735508,74.21;35.9257;16.9435;7.70503;3.16478;1.10596;0.139542;-0.219298;-0.380855;-0.389946;-0.386943;-0.337959;-0.303607;-0.288551;-0.262838;-0.26855;-0.270956,21.5433;14.6489;11.0622;7.70311;5.53202;4.06819;3.22953;2.59028;1.94689;1.61138;1.23426;0.952017;0.715831;0.48628;0.503557;0.504744;0.406977,31.1961;21.1158;14.479;9.58802;6.12075;3.61977;2.07591;0.809858;0.114869;-0.291391;-0.571834;-0.66294;-0.807166;-0.890137;-0.924079;-0.896031;-0.861609,32.0,0.8,500
