lx ly nup ndn U delta seed chi_s chi_s_err chi_s_vtx chi_s_vtx_err chi_d chi_d_err chi_d_vtx chi_d_vtx_err chi_dxy chi_dxy_err chi_dxy_vtx chi_dxy_vtx_err
6 6 14 14 4 0.1 1 8.502380 0.013568 0.941914 0.014467 19.151664 0.115138 0.672277 0.101383 24.912841 0.172469 -0.635886 0.129678
6 6 14 14 4 0 1 8.563573 0.018646 0.944827 0.015542 19.060213 0.102931 0.398755 0.114809 25.141861 0.150398 -0.338469 0.139993
6 6 14 14 4 0 2 8.583288 0.017250 0.973634 0.014863 19.112236 0.104556 0.510339 0.103266 25.135232 0.087566 -0.360474 0.080121
6 6 14 14 4 0.1 2 8.571123 0.018142 1.000033 0.017236 19.002864 0.157092 0.446392 0.139511 25.186514 0.152627 -0.396138 0.107954
6 6 14 14 4 0.2 1 8.421143 0.013079 0.972158 0.011865 18.679510 0.134511 0.445641 0.111538 23.911763 0.128072 -1.135330 0.101713
6 6 14 14 4 0.4 1 8.227520 0.023570 1.085018 0.026629 26.636730 0.328771 1.132798 0.271690 17.552860 0.330128 -3.095302 0.324446
6 6 14 14 4 0.2 2 8.432807 0.014631 0.991809 0.017122 18.771899 0.125335 0.511459 0.108705 23.900558 0.128456 -1.095286 0.120436
6 6 14 14 4 0.3 1 8.298639 0.019331 1.023818 0.017453 26.895823 0.267538 0.799579 0.235342 18.142033 0.151512 -1.465562 0.150564
6 6 14 14 4 0.4 2 8.216653 0.021310 1.079091 0.023002 26.333025 0.233076 0.725499 0.179722 17.735240 0.191365 -2.627493 0.191875
6 6 14 14 4 0.3 2 8.313772 0.025899 1.006247 0.020499 26.814552 0.300856 0.793086 0.248569 18.208888 0.167354 -1.375419 0.144829
N078_DONE
6 6 14 14 4 0 6 8.564514 0.014718 0.949380 0.012580 19.033223 0.123902 0.465206 0.125601 25.050402 0.140231 -0.382557 0.098123
6 6 14 14 4 0 5 8.558770 0.015538 0.934934 0.015443 19.039156 0.107193 0.473850 0.095635 25.110291 0.110109 -0.316701 0.085906
6 6 14 14 4 0 4 8.539381 0.014858 0.927846 0.014839 19.066731 0.132423 0.560823 0.115013 24.904731 0.094851 -0.483574 0.086326
6 6 14 14 4 0.1 4 8.435865 0.064512 0.940962 0.013831 18.323197 0.654866 0.043466 0.477914 25.031285 0.280417 -0.947923 0.467489
6 6 14 14 4 0 3 8.536608 0.014303 0.930451 0.013970 18.866640 0.121745 0.380521 0.118126 25.012648 0.125929 -0.442183 0.100011
6 6 14 14 4 0.1 3 8.504350 0.012898 0.935846 0.011289 19.005967 0.146017 0.416562 0.136382 24.813811 0.100652 -0.709802 0.090679
6 6 14 14 4 0.1 5 8.483393 0.014618 0.922408 0.016398 18.916300 0.154501 0.451387 0.136836 24.832697 0.117150 -0.504864 0.101007
6 6 14 14 4 0.2 6 8.456928 0.022550 1.015414 0.021229 18.403687 0.143932 0.264513 0.139494 23.810572 0.147297 -1.195317 0.126412
6 6 14 14 4 0.2 4 8.420374 0.016275 0.967914 0.018888 18.623213 0.153681 0.281135 0.135083 23.789369 0.163435 -1.276057 0.132440
6 6 14 14 4 0.1 6 8.530027 0.017351 0.971660 0.016118 18.793752 0.149968 0.379787 0.128645 24.804334 0.167365 -0.646081 0.177026
6 6 14 14 4 0.2 3 8.458561 0.017901 1.020769 0.017494 18.873054 0.155981 0.661577 0.141808 24.282395 0.203755 -0.953633 0.155089
6 6 14 14 4 0.2 5 8.431249 0.015613 0.978038 0.016852 18.844907 0.141164 0.552998 0.121826 24.122720 0.152523 -1.015807 0.157670
6 6 14 14 4 0.3 5 8.317033 0.029825 1.037348 0.026692 27.797793 0.456513 1.426550 0.325894 17.504149 0.292111 -1.975194 0.334265
6 6 14 14 4 0.3 3 8.303891 0.022307 1.009438 0.024139 26.641820 0.283741 0.673129 0.304562 18.010743 0.183024 -1.483150 0.141779
6 6 14 14 4 0.3 4 8.355876 0.027072 1.066506 0.024331 26.877695 0.303038 0.569381 0.233003 17.743023 0.162065 -1.721799 0.144285
6 6 14 14 4 0.3 6 8.290103 0.023474 1.007104 0.021322 27.006658 0.209303 1.023883 0.162166 18.013362 0.202389 -1.619814 0.168064
6 6 14 14 4 0.4 4 8.203123 0.024900 1.075620 0.025171 26.829685 0.234617 1.140586 0.192156 17.620736 0.145436 -2.809662 0.133639
6 6 14 14 4 0.4 3 8.237665 0.024125 1.090428 0.026777 26.304156 0.272791 0.739190 0.193080 17.569115 0.217440 -3.072213 0.251776
6 6 14 14 4 0.4 5 8.199384 0.024349 1.049153 0.024318 25.735986 0.325437 0.318960 0.269020 17.850737 0.285037 -2.425688 0.257886
6 6 14 14 4 0.4 6 8.246737 0.026750 1.099253 0.025530 26.726289 0.305175 1.076841 0.262548 17.962889 0.239395 -2.575585 0.227159
N078_6SEED_DONE
