L,nup,delta,U,seed,n,eq_son_full,eq_son_vertex,chi_son_full,chi_son_vertex,eq_sext_full,eq_sext_vertex,chi_sext_full,chi_sext_vertex,eq_d_full,eq_d_vertex,chi_d_full,chi_d_vertex,eq_dxy_full,eq_dxy_vertex,chi_dxy_full,chi_dxy_vertex,taus,Ctau_son_vertex,Ctau_sext_vertex,Ctau_d_vertex,Ctau_dxy_vertex,beta_proj,tau_max,nw
8,32,0.1,0.0,1,1.0,32.0,1.3855583347321953e-14,15.387361395102891,3.5929037522919316e-14,127.2254114045151,-8.970602038971265e-13,21.80467013191009,2.294719969597736e-14,79.3846153846163,1.071143174158351e-12,55.19405594554528,1.0548895090778388e-13,145.66849632671727,1.1830536550405668e-12,79.0014830532092,3.2134295224750524e-14,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,1.38556e-14;2.66187e-13;1.91225e-13;2.5171e-13;-1.62803e-13;4.64517e-14;-2.39808e-14;1.03473e-13;9.32587e-14;5.16032e-14;-1.76836e-13;2.09344e-13;-2.04103e-13;-1.24345e-14;8.90843e-14;-3.32179e-14;4.53859e-14,-8.9706e-13;7.10187e-13;4.68958e-13;-2.8777e-13;1.5099e-13;-2.51177e-13;-3.98792e-14;-3.14415e-14;-3.88134e-14;-6.60805e-14;7.27418e-14;7.11653e-14;3.79252e-14;4.70513e-14;5.9841e-14;-7.12763e-15;2.18048e-14,1.07114e-12;-7.99361e-13;2.1565e-13;9.61364e-13;4.08917e-13;3.79075e-13;7.99716e-13;-2.58282e-13;-6.98819e-13;2.01439e-13;-5.80869e-13;4.1922e-13;7.10543e-15;-9.00613e-13;8.2423e-13;5.81224e-13;2.84217e-14,1.18305e-12;-4.53326e-13;2.44071e-13;3.61666e-13;6.44462e-13;-6.52278e-13;-5.05196e-13;-2.30571e-13;2.8777e-14;4.29523e-13;-4.95248e-13;3.94351e-13;2.09965e-13;2.63256e-13;-3.65574e-13;3.89022e-13;-4.23483e-13,32.0,0.8,500
8,32,0.1,0.0,2,1.0,32.0,1.3855583347321953e-14,15.387361395102891,3.5929037522919316e-14,127.2254114045151,-8.970602038971265e-13,21.80467013191009,2.294719969597736e-14,79.3846153846163,1.071143174158351e-12,55.19405594554528,1.0548895090778388e-13,145.66849632671727,1.1830536550405668e-12,79.0014830532092,3.2134295224750524e-14,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,1.38556e-14;2.66187e-13;1.91225e-13;2.5171e-13;-1.62803e-13;4.64517e-14;-2.39808e-14;1.03473e-13;9.32587e-14;5.16032e-14;-1.76836e-13;2.09344e-13;-2.04103e-13;-1.24345e-14;8.90843e-14;-3.32179e-14;4.53859e-14,-8.9706e-13;7.10187e-13;4.68958e-13;-2.8777e-13;1.5099e-13;-2.51177e-13;-3.98792e-14;-3.14415e-14;-3.88134e-14;-6.60805e-14;7.27418e-14;7.11653e-14;3.79252e-14;4.70513e-14;5.9841e-14;-7.12763e-15;2.18048e-14,1.07114e-12;-7.99361e-13;2.1565e-13;9.61364e-13;4.08917e-13;3.79075e-13;7.99716e-13;-2.58282e-13;-6.98819e-13;2.01439e-13;-5.80869e-13;4.1922e-13;7.10543e-15;-9.00613e-13;8.2423e-13;5.81224e-13;2.84217e-14,1.18305e-12;-4.53326e-13;2.44071e-13;3.61666e-13;6.44462e-13;-6.52278e-13;-5.05196e-13;-2.30571e-13;2.8777e-14;4.29523e-13;-4.95248e-13;3.94351e-13;2.09965e-13;2.63256e-13;-3.65574e-13;3.89022e-13;-4.23483e-13,32.0,0.8,500
8,32,0.1,0.0,3,1.0,32.0,1.3855583347321953e-14,15.387361395102891,3.5929037522919316e-14,127.2254114045151,-8.970602038971265e-13,21.80467013191009,2.294719969597736e-14,79.3846153846163,1.071143174158351e-12,55.19405594554528,1.0548895090778388e-13,145.66849632671727,1.1830536550405668e-12,79.0014830532092,3.2134295224750524e-14,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,1.38556e-14;2.66187e-13;1.91225e-13;2.5171e-13;-1.62803e-13;4.64517e-14;-2.39808e-14;1.03473e-13;9.32587e-14;5.16032e-14;-1.76836e-13;2.09344e-13;-2.04103e-13;-1.24345e-14;8.90843e-14;-3.32179e-14;4.53859e-14,-8.9706e-13;7.10187e-13;4.68958e-13;-2.8777e-13;1.5099e-13;-2.51177e-13;-3.98792e-14;-3.14415e-14;-3.88134e-14;-6.60805e-14;7.27418e-14;7.11653e-14;3.79252e-14;4.70513e-14;5.9841e-14;-7.12763e-15;2.18048e-14,1.07114e-12;-7.99361e-13;2.1565e-13;9.61364e-13;4.08917e-13;3.79075e-13;7.99716e-13;-2.58282e-13;-6.98819e-13;2.01439e-13;-5.80869e-13;4.1922e-13;7.10543e-15;-9.00613e-13;8.2423e-13;5.81224e-13;2.84217e-14,1.18305e-12;-4.53326e-13;2.44071e-13;3.61666e-13;6.44462e-13;-6.52278e-13;-5.05196e-13;-2.30571e-13;2.8777e-14;4.29523e-13;-4.95248e-13;3.94351e-13;2.09965e-13;2.63256e-13;-3.65574e-13;3.89022e-13;-4.23483e-13,32.0,0.8,500
8,32,0.1,0.0,4,1.0,32.0,1.3855583347321953e-14,15.387361395102891,3.5929037522919316e-14,127.2254114045151,-8.970602038971265e-13,21.80467013191009,2.294719969597736e-14,79.3846153846163,1.071143174158351e-12,55.19405594554528,1.0548895090778388e-13,145.66849632671727,1.1830536550405668e-12,79.0014830532092,3.2134295224750524e-14,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,1.38556e-14;2.66187e-13;1.91225e-13;2.5171e-13;-1.62803e-13;4.64517e-14;-2.39808e-14;1.03473e-13;9.32587e-14;5.16032e-14;-1.76836e-13;2.09344e-13;-2.04103e-13;-1.24345e-14;8.90843e-14;-3.32179e-14;4.53859e-14,-8.9706e-13;7.10187e-13;4.68958e-13;-2.8777e-13;1.5099e-13;-2.51177e-13;-3.98792e-14;-3.14415e-14;-3.88134e-14;-6.60805e-14;7.27418e-14;7.11653e-14;3.79252e-14;4.70513e-14;5.9841e-14;-7.12763e-15;2.18048e-14,1.07114e-12;-7.99361e-13;2.1565e-13;9.61364e-13;4.08917e-13;3.79075e-13;7.99716e-13;-2.58282e-13;-6.98819e-13;2.01439e-13;-5.80869e-13;4.1922e-13;7.10543e-15;-9.00613e-13;8.2423e-13;5.81224e-13;2.84217e-14,1.18305e-12;-4.53326e-13;2.44071e-13;3.61666e-13;6.44462e-13;-6.52278e-13;-5.05196e-13;-2.30571e-13;2.8777e-14;4.29523e-13;-4.95248e-13;3.94351e-13;2.09965e-13;2.63256e-13;-3.65574e-13;3.89022e-13;-4.23483e-13,32.0,0.8,500
8,32,0.1,0.0,5,1.0,32.0,1.3855583347321953e-14,15.387361395102891,3.5929037522919316e-14,127.2254114045151,-8.970602038971265e-13,21.80467013191009,2.294719969597736e-14,79.3846153846163,1.071143174158351e-12,55.19405594554528,1.0548895090778388e-13,145.66849632671727,1.1830536550405668e-12,79.0014830532092,3.2134295224750524e-14,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,1.38556e-14;2.66187e-13;1.91225e-13;2.5171e-13;-1.62803e-13;4.64517e-14;-2.39808e-14;1.03473e-13;9.32587e-14;5.16032e-14;-1.76836e-13;2.09344e-13;-2.04103e-13;-1.24345e-14;8.90843e-14;-3.32179e-14;4.53859e-14,-8.9706e-13;7.10187e-13;4.68958e-13;-2.8777e-13;1.5099e-13;-2.51177e-13;-3.98792e-14;-3.14415e-14;-3.88134e-14;-6.60805e-14;7.27418e-14;7.11653e-14;3.79252e-14;4.70513e-14;5.9841e-14;-7.12763e-15;2.18048e-14,1.07114e-12;-7.99361e-13;2.1565e-13;9.61364e-13;4.08917e-13;3.79075e-13;7.99716e-13;-2.58282e-13;-6.98819e-13;2.01439e-13;-5.80869e-13;4.1922e-13;7.10543e-15;-9.00613e-13;8.2423e-13;5.81224e-13;2.84217e-14,1.18305e-12;-4.53326e-13;2.44071e-13;3.61666e-13;6.44462e-13;-6.52278e-13;-5.05196e-13;-2.30571e-13;2.8777e-14;4.29523e-13;-4.95248e-13;3.94351e-13;2.09965e-13;2.63256e-13;-3.65574e-13;3.89022e-13;-4.23483e-13,32.0,0.8,500
8,32,0.1,0.0,6,1.0,32.0,1.3855583347321953e-14,15.387361395102891,3.5929037522919316e-14,127.2254114045151,-8.970602038971265e-13,21.80467013191009,2.294719969597736e-14,79.3846153846163,1.071143174158351e-12,55.19405594554528,1.0548895090778388e-13,145.66849632671727,1.1830536550405668e-12,79.0014830532092,3.2134295224750524e-14,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,1.38556e-14;2.66187e-13;1.91225e-13;2.5171e-13;-1.62803e-13;4.64517e-14;-2.39808e-14;1.03473e-13;9.32587e-14;5.16032e-14;-1.76836e-13;2.09344e-13;-2.04103e-13;-1.24345e-14;8.90843e-14;-3.32179e-14;4.53859e-14,-8.9706e-13;7.10187e-13;4.68958e-13;-2.8777e-13;1.5099e-13;-2.51177e-13;-3.98792e-14;-3.14415e-14;-3.88134e-14;-6.60805e-14;7.27418e-14;7.11653e-14;3.79252e-14;4.70513e-14;5.9841e-14;-7.12763e-15;2.18048e-14,1.07114e-12;-7.99361e-13;2.1565e-13;9.61364e-13;4.08917e-13;3.79075e-13;7.99716e-13;-2.58282e-13;-6.98819e-13;2.01439e-13;-5.80869e-13;4.1922e-13;7.10543e-15;-9.00613e-13;8.2423e-13;5.81224e-13;2.84217e-14,1.18305e-12;-4.53326e-13;2.44071e-13;3.61666e-13;6.44462e-13;-6.52278e-13;-5.05196e-13;-2.30571e-13;2.8777e-14;4.29523e-13;-4.95248e-13;3.94351e-13;2.09965e-13;2.63256e-13;-3.65574e-13;3.89022e-13;-4.23483e-13,32.0,0.8,500
8,32,0.1,2.0,1,1.0,21.94672432905777,-8.666560933525405,4.191917568340015,-3.4315589385778393,142.81067977199484,17.97040879029799,16.804994623904772,1.3794765183240065,78.32605843788127,1.8727429222431575,26.116735030022436,0.5813602715204119,143.18456345316164,2.450867467982909,39.837693181331574,0.19751348653214276,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-8.66656;-7.79128;-6.99763;-6.28095;-5.65138;-5.10146;-4.61589;-4.18393;-3.80211;-3.46601;-3.16865;-2.89883;-2.65851;-2.4395;-2.23942;-2.05681;-1.89106,17.9704;9.97907;5.45142;2.88945;1.4561;0.66179;0.23134;-0.00406911;-0.128939;-0.187367;-0.217261;-0.234152;-0.250214;-0.267397;-0.28738;-0.313801;-0.348527,1.87274;1.5128;1.28216;1.109;0.936533;0.838558;0.747735;0.671338;0.614464;0.546398;0.467845;0.42087;0.382786;0.352748;0.331683;0.324588;0.302659,2.45087;1.8113;1.3146;0.925838;0.58641;0.332343;0.14998;0.0237568;-0.0840505;-0.163818;-0.236533;-0.292813;-0.318119;-0.354591;-0.379585;-0.39055;-0.39866,32.0,0.8,500
8,32,0.1,2.0,2,1.0,21.923825111208487,-8.685378696502095,4.1846915131432585,-3.4344344436931054,142.8534492777642,18.004239194029203,16.80274391101559,1.3806284955439982,78.37788113932903,2.038863279798737,26.13806706683807,0.6770522815842638,143.28885926493672,2.1245032805079034,39.96619260116931,0.12131984669819329,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-8.68538;-7.81068;-7.00505;-6.28909;-5.65997;-5.10278;-4.61448;-4.18311;-3.80571;-3.47046;-3.17077;-2.90112;-2.65717;-2.43549;-2.2371;-2.05723;-1.89159,18.0042;10.0006;5.44929;2.88328;1.45078;0.663134;0.228716;-0.00524277;-0.124013;-0.188982;-0.21758;-0.236079;-0.250976;-0.265814;-0.286844;-0.314826;-0.350056,2.03886;1.64502;1.38154;1.22157;1.08512;0.959066;0.892873;0.835867;0.725674;0.632814;0.566673;0.546983;0.513155;0.455507;0.440808;0.415289;0.407285,2.1245;1.59154;1.12405;0.734792;0.433881;0.212853;0.053505;-0.0554904;-0.166099;-0.252693;-0.31336;-0.331759;-0.348407;-0.353915;-0.372164;-0.389242;-0.406697,32.0,0.8,500
8,32,0.1,2.0,3,1.0,21.934407855006757,-8.681287416563597,4.18841563336077,-3.433390727224881,142.8487485722842,17.99639876853076,16.80320804693561,1.3844425623612833,78.61066870523804,2.087963932812582,26.186982424081936,0.6639243851880624,143.34774998441827,2.314671950474782,39.95987995909547,0.17370604388217475,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-8.68129;-7.8012;-6.9995;-6.28626;-5.65331;-5.10128;-4.61422;-4.18333;-3.80237;-3.46915;-3.16867;-2.90133;-2.65845;-2.43887;-2.24108;-2.06083;-1.89461,17.9964;10.0007;5.46289;2.90097;1.46639;0.669987;0.23242;-8.19263e-05;-0.120247;-0.18697;-0.215462;-0.233415;-0.247567;-0.264211;-0.2864;-0.314544;-0.347606,2.08796;1.71462;1.44368;1.21062;1.05379;0.930809;0.813763;0.745802;0.686068;0.610102;0.554159;0.50377;0.474862;0.453653;0.433423;0.408575;0.393605,2.31467;1.6792;1.22969;0.903578;0.623847;0.379336;0.134253;0.00620019;-0.106642;-0.205152;-0.283111;-0.308875;-0.352056;-0.368674;-0.392169;-0.4097;-0.425874,32.0,0.8,500
8,32,0.1,2.0,4,1.0,21.926498049875942,-8.67627997096152,4.188985029982019,-3.4315164151504076,142.7849506230177,17.976787518929367,16.795798318282664,1.382074379498993,78.45910328532867,2.0390401377577567,26.106365080055742,0.6138505798907048,143.2525482405888,2.2314805008725536,39.98074891667882,0.1553347746424954,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-8.67628;-7.79274;-6.9942;-6.28592;-5.65213;-5.09507;-4.6096;-4.18233;-3.80157;-3.46767;-3.1672;-2.90038;-2.65751;-2.43777;-2.24045;-2.06039;-1.89448,17.9768;9.98082;5.44156;2.89509;1.466;0.672686;0.235915;-0.000127358;-0.121701;-0.183645;-0.21707;-0.232219;-0.247487;-0.264034;-0.285822;-0.313453;-0.346841,2.03904;1.65938;1.37529;1.14405;0.988897;0.869314;0.773901;0.6767;0.621277;0.568981;0.501978;0.453593;0.419333;0.375239;0.35443;0.318582;0.313092,2.23148;1.65478;1.1849;0.772821;0.476775;0.293426;0.109023;-0.0163659;-0.107051;-0.207166;-0.268339;-0.305743;-0.335829;-0.346013;-0.357709;-0.371261;-0.370593,32.0,0.8,500
