L,nup,delta,U,seed,n,eq_son_full,eq_son_vertex,chi_son_full,chi_son_vertex,eq_sext_full,eq_sext_vertex,chi_sext_full,chi_sext_vertex,eq_d_full,eq_d_vertex,chi_d_full,chi_d_vertex,eq_dxy_full,eq_dxy_vertex,chi_dxy_full,chi_dxy_vertex,taus,Ctau_son_vertex,Ctau_sext_vertex,Ctau_d_vertex,Ctau_dxy_vertex,beta_proj,tau_max,nw
8,32,0.1,4.0,1,1.0,15.583989735863344,-11.040224713018217,1.698321396685722,-2.1178360997730374,152.37357345214124,34.33254493749034,13.452380400021386,2.328067533378929,79.2509500369386,10.477435928867806,13.68321198242894,1.534759105538815,123.85577160419152,2.1764120390687927,19.925136332417743,0.12779184281604655,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-11.0402;-8.29111;-6.30262;-4.82779;-3.73674;-2.92515;-2.30548;-1.83198;-1.46772;-1.18578;-0.965019;-0.790443;-0.65442;-0.545428;-0.456427;-0.385832;-0.329325,34.3325;16.7891;8.04894;3.66212;1.5473;0.55496;0.0942634;-0.0813728;-0.150506;-0.172748;-0.1683;-0.157543;-0.1446;-0.130616;-0.123306;-0.115684;-0.113908,10.4774;7.18581;5.1274;3.59747;2.59132;1.87686;1.3283;0.971762;0.706317;0.520582;0.396685;0.31876;0.259234;0.205756;0.162406;0.146678;0.122235,2.17641;1.59578;1.0986;0.72557;0.396769;0.0596192;-0.102471;-0.172559;-0.221244;-0.252133;-0.271232;-0.274018;-0.293235;-0.258056;-0.245917;-0.213751;-0.208192,32.0,0.8,500
8,32,0.1,4.0,2,1.0,15.56554300966813,-11.038737309735277,1.6947243981851927,-2.115396997508788,152.63707510533953,34.41888052307023,13.483354839342251,2.3359902875420744,78.78934219599634,9.90799567243684,13.73496667177763,1.5431359899953079,123.75869753481447,2.3084821195563587,19.86220114325619,0.13708987594854138,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-11.0387;-8.3052;-6.29755;-4.83216;-3.73318;-2.92028;-2.30399;-1.82747;-1.46549;-1.18139;-0.957434;-0.784817;-0.647493;-0.537282;-0.450327;-0.38129;-0.326421,34.4189;16.8321;8.0322;3.69685;1.58528;0.574862;0.11801;-0.082601;-0.162765;-0.179822;-0.170942;-0.155521;-0.14452;-0.133114;-0.124237;-0.117771;-0.115222,9.908;6.9837;4.81991;3.57533;2.56958;1.87749;1.55622;1.20828;0.89205;0.619561;0.490266;0.400895;0.309861;0.216904;0.189689;0.147162;0.10365,2.30848;1.58647;1.05017;0.661261;0.403325;0.10064;-0.0428163;-0.137879;-0.171788;-0.22787;-0.280366;-0.261182;-0.249509;-0.254581;-0.243795;-0.237021;-0.215009,32.0,0.8,500
8,32,0.1,4.0,3,1.0,15.533660734401929,-11.030488638995921,1.691990302191933,-2.109074888944188,152.28773001317157,34.340192437616345,13.458724773041393,2.350761242043391,79.67336607872222,10.86771227362792,13.67667017540264,1.5310442996581197,123.81726511653642,2.678512112429283,19.8440423419794,0.19914133727353991,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-11.0305;-8.28416;-6.28661;-4.81365;-3.72689;-2.90535;-2.29402;-1.81996;-1.4544;-1.17447;-0.95368;-0.780218;-0.643892;-0.535325;-0.449741;-0.381103;-0.325562,34.3402;16.8129;8.10966;3.78168;1.63423;0.608128;0.140571;-0.0727973;-0.144432;-0.167276;-0.157419;-0.147635;-0.134318;-0.126829;-0.11806;-0.115652;-0.115301,10.8677;7.38553;5.07;3.55992;2.48217;1.74916;1.34324;0.898299;0.719061;0.506035;0.404992;0.301972;0.222202;0.210443;0.149182;0.127211;0.115231,2.67851;1.79989;1.20978;0.829359;0.466153;0.196676;0.0199618;-0.0325173;-0.116337;-0.208209;-0.268183;-0.234512;-0.224199;-0.221999;-0.232251;-0.22939;-0.221298,32.0,0.8,500
8,32,0.1,4.0,4,1.0,15.563392484646652,-11.050467326586157,1.6946495648243818,-2.118902870610685,152.45559100547615,34.44918503322283,13.467801170380175,2.3483464440666277,79.875189319241,10.727330406275604,13.850944937592129,1.6474125301175029,123.0234552429059,1.421148935644196,19.754716728780846,0.0068468793141442715,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-11.0505;-8.30438;-6.30199;-4.82888;-3.73842;-2.92333;-2.30436;-1.83085;-1.46429;-1.1849;-0.966564;-0.793701;-0.656299;-0.545806;-0.45727;-0.386424;-0.330709,34.4492;16.879;8.05888;3.75224;1.62232;0.60794;0.120869;-0.0778304;-0.157633;-0.166011;-0.172232;-0.154746;-0.139643;-0.131477;-0.122345;-0.119054;-0.11592,10.7273;7.60668;5.23666;3.889;2.85723;2.02559;1.50111;1.19462;0.872206;0.628673;0.466946;0.386302;0.294746;0.229791;0.177553;0.149311;0.136359,1.42115;1.05223;0.626403;0.22994;-0.0141163;-0.00333389;-0.144945;-0.258561;-0.252723;-0.285972;-0.294375;-0.260404;-0.248006;-0.219329;-0.210983;-0.193289;-0.192338,32.0,0.8,500
8,32,0.1,4.0,5,1.0,15.530887596398198,-11.019014351028012,1.6893809859964322,-2.1116657400921417,152.26156732810128,34.24842341858768,13.437370092122455,2.3199861893982785,79.75746099604471,10.841608004379799,13.818212444210952,1.6543153366347716,123.92775169279562,2.8466367212911443,19.894511481023347,0.23943719841316408,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-11.019;-8.2677;-6.28798;-4.8158;-3.73768;-2.9183;-2.29686;-1.82637;-1.45862;-1.18137;-0.960928;-0.785648;-0.648629;-0.540078;-0.452414;-0.38249;-0.325867,34.2484;16.6912;7.99358;3.64745;1.55713;0.565056;0.133782;-0.0908592;-0.161763;-0.176307;-0.169039;-0.15413;-0.137634;-0.126907;-0.123211;-0.115679;-0.114406,10.8416;7.50808;5.30915;3.75797;2.75932;2.02799;1.53069;1.17856;0.953192;0.721202;0.530463;0.439202;0.292764;0.223779;0.191801;0.172095;0.138494,2.84664;2.00511;1.25118;0.763763;0.420079;0.152807;0.050949;-0.0270028;-0.0611865;-0.0983881;-0.158257;-0.178853;-0.184143;-0.18017;-0.15259;-0.163388;-0.14898,32.0,0.8,500
8,32,0.1,4.0,6,1.0,15.49409430283734,-10.980599896161523,1.6822357021169811,-2.0890069862400713,152.24482750212877,34.202405893122695,13.435530495739425,2.323888983332643,80.19238084220073,11.63857806818052,13.85316297984017,1.8026125271897218,124.4827374093574,3.225761462897475,19.88509791092297,0.29993310420750496,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-10.9806;-8.22843;-6.23142;-4.77548;-3.69141;-2.87984;-2.26263;-1.79089;-1.43225;-1.15547;-0.936877;-0.768229;-0.633838;-0.526225;-0.441773;-0.374995;-0.320136,34.2024;16.6912;8.00266;3.68102;1.57364;0.576021;0.105136;-0.0817463;-0.147007;-0.164551;-0.163401;-0.146791;-0.134224;-0.125884;-0.11684;-0.115949;-0.113368,11.6386;8.05545;5.7479;4.0834;3.03198;2.29967;1.67613;1.2855;1.00123;0.724324;0.596251;0.475961;0.36905;0.312009;0.268884;0.217609;0.175222,3.22576;2.32938;1.58865;1.00629;0.590778;0.351482;0.156223;-0.0577042;-0.131393;-0.175773;-0.166106;-0.199246;-0.192869;-0.206552;-0.213524;-0.200759;-0.186192,32.0,0.8,500
8,32,0.1,4.5,1,1.0,14.084672666490272,-11.06333195716502,1.3782937946138822,-1.791050498954887,152.96640938693062,37.11819841549335,12.67071167429359,2.431343921874203,80.91747442319969,13.911021200684516,11.923074898287755,1.6930923357199308,116.61869714495587,2.217141150564959,16.46373418514153,0.14043449639211938,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-11.0633;-7.86294;-5.67734;-4.13366;-3.06;-2.29108;-1.73463;-1.32466;-1.01834;-0.790446;-0.620095;-0.491849;-0.39464;-0.320213;-0.261572;-0.216807;-0.182142,37.1182;17.5394;8.04771;3.53085;1.44336;0.482459;0.0849906;-0.0725557;-0.150754;-0.164533;-0.149128;-0.125718;-0.10512;-0.0935268;-0.0842284;-0.0781537;-0.0745492,13.911;9.15729;6.03009;3.9099;2.57968;1.81202;1.2365;0.774596;0.517824;0.327499;0.17466;0.159012;0.0711316;0.0784729;0.0344688;0.0261353;0.0341269,2.21714;1.78762;0.973449;0.487163;0.259536;0.0234878;-0.101349;-0.0866526;-0.180652;-0.211091;-0.188336;-0.194723;-0.209496;-0.192663;-0.197417;-0.185465;-0.166578,32.0,0.8,500
8,32,0.1,4.5,2,1.0,14.090653899123845,-11.145804734712142,1.381859259907617,-1.804315826043598,153.56966991610636,37.8167952554374,12.721065166449108,2.490923813702545,81.83852828990233,14.829570029833624,12.207363863141207,1.9817415242319876,116.2076441388881,1.5498676526780202,16.52736152604691,0.11862358230592362,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-11.1458;-7.92607;-5.72361;-4.17267;-3.08787;-2.30215;-1.736;-1.32827;-1.02233;-0.798387;-0.628236;-0.496307;-0.397627;-0.321753;-0.263258;-0.217572;-0.182597,37.8168;17.898;8.27749;3.60926;1.48142;0.532433;0.090481;-0.0630859;-0.129561;-0.14223;-0.128629;-0.118638;-0.102508;-0.0918122;-0.0835938;-0.079781;-0.0782975,14.8296;9.63638;6.56736;4.70455;3.35583;2.26147;1.58184;1.15924;0.851194;0.610986;0.389902;0.313586;0.269342;0.201319;0.148596;0.119572;0.0977459,1.54987;1.32224;0.83007;0.639381;0.470361;0.0811692;-0.00654439;-0.0636194;-0.197586;-0.219043;-0.25676;-0.221257;-0.187757;-0.168887;-0.182166;-0.162509;-0.159117,32.0,0.8,500
8,32,0.1,4.5,3,1.0,14.181348180099807,-11.188517991650619,1.3910147594146889,-1.8229350039560568,153.7293414070552,37.755307081746224,12.742109679005335,2.47952681179635,81.46848029571053,14.290805397280419,12.111218053184382,1.8103307610447334,116.23026104261237,1.4740060368680923,16.54220956636005,0.08513066443386223,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-11.1885;-7.98399;-5.76018;-4.22288;-3.12171;-2.33489;-1.77159;-1.34975;-1.03752;-0.811089;-0.636308;-0.506029;-0.407035;-0.329663;-0.2715;-0.225494;-0.189611,37.7553;17.8296;8.2603;3.64588;1.51471;0.503131;0.0827147;-0.107111;-0.148566;-0.166223;-0.152032;-0.129826;-0.111613;-0.0958655;-0.0878685;-0.0852972;-0.0781867,14.2908;9.14951;6.10529;4.33126;2.90225;2.03599;1.30649;0.887988;0.6235;0.44483;0.365797;0.298623;0.22467;0.155931;0.111777;0.0820193;0.0705577,1.47401;0.973281;0.674468;0.566204;0.149057;0.197886;0.0148848;-0.113891;-0.179096;-0.194806;-0.169107;-0.182994;-0.196101;-0.177726;-0.175034;-0.151359;-0.14011,32.0,0.8,500
8,32,0.1,4.5,4,1.0,14.088486223068339,-11.080928833155973,1.3813027767908415,-1.7947161616761875,152.9510750659766,37.281502727029775,12.676147466885121,2.449200985228671,81.20273605739229,14.23229400392746,12.026592166451772,1.7855856557923233,115.5135034449102,1.3996410439166815,16.357252963257835,0.06345851579467461,0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,-11.0809;-7.87361;-5.6783;-4.146;-3.06959;-2.28749;-1.73256;-1.32586;-1.02502;-0.797657;-0.625541;-0.496016;-0.398694;-0.322999;-0.263921;-0.218831;-0.18352,37.2815;17.6249;8.09174;3.56758;1.48132;0.505315;0.0679345;-0.0803726;-0.132617;-0.1411;-0.128736;-0.116872;-0.101088;-0.0913941;-0.0843485;-0.0806377;-0.076722,14.2323;9.22361;6.00493;4.21945;2.80676;1.95737;1.2805;0.859901;0.573327;0.436359;0.330929;0.239388;0.213202;0.153674;0.130388;0.115465;0.100646,1.39964;1.09132;0.745002;0.401545;0.226167;-0.0299377;-0.147551;-0.26789;-0.266205;-0.224523;-0.181818;-0.146686;-0.152993;-0.139458;-0.146743;-0.129841;-0.12207,32.0,0.8,500
