L,U,delta,nk,A_odd,M_odd
1.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+02,nan,nan
1.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000000e+02,nan,nan
1.000000000000000000e+01,0.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+02,nan,nan
1.000000000000000000e+01,0.000000000000000000e+00,4.000000000000000222e-01,1.000000000000000000e+02,nan,nan
1.000000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+02,nan,nan
1.000000000000000000e+01,0.000000000000000000e+00,5.999999999999999778e-01,1.000000000000000000e+02,nan,nan
1.000000000000000000e+01,0.000000000000000000e+00,6.999999999999999556e-01,1.000000000000000000e+02,nan,nan
1.000000000000000000e+01,2.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+02,2.172903709117432122e-02,1.998147764839150797e+00
1.000000000000000000e+01,2.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000000e+02,2.399780163884771694e-02,1.986354154185419052e+00
1.000000000000000000e+01,2.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+02,5.517988602174554724e-02,1.998472473497959090e+00
1.000000000000000000e+01,2.000000000000000000e+00,4.000000000000000222e-01,1.000000000000000000e+02,4.888984732216803547e-02,1.552791920531360281e+00
1.000000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+02,3.039595590938651976e-02,1.580555354206812479e+00
1.000000000000000000e+01,2.000000000000000000e+00,5.999999999999999778e-01,1.000000000000000000e+02,3.889225148613355970e-02,1.691018341000085190e+00
1.000000000000000000e+01,2.000000000000000000e+00,6.999999999999999556e-01,1.000000000000000000e+02,3.713259879478635755e-02,1.774893159058601455e+00
1.000000000000000000e+01,3.500000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+02,5.376694501760494876e-02,1.983252148421244643e+00
1.000000000000000000e+01,3.500000000000000000e+00,2.000000000000000111e-01,1.000000000000000000e+02,2.966188761536632176e-02,1.941203104282178904e+00
1.000000000000000000e+01,3.500000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+02,4.371013410522270326e-02,1.996785891533173762e+00
1.000000000000000000e+01,3.500000000000000000e+00,4.000000000000000222e-01,1.000000000000000000e+02,2.484137536901263182e-02,1.860198376021862554e+00
1.000000000000000000e+01,3.500000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+02,5.833842733651343343e-02,1.939145970460349311e+00
1.000000000000000000e+01,3.500000000000000000e+00,5.999999999999999778e-01,1.000000000000000000e+02,4.235888742245622757e-02,1.907004271699438869e+00
1.000000000000000000e+01,3.500000000000000000e+00,6.999999999999999556e-01,1.000000000000000000e+02,4.412698936021036689e-02,1.909884278538049207e+00
