L,n,U,delta,nk,A_odd,M_odd
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,1.440000000000000000e+02,nan,nan
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000111e-01,1.440000000000000000e+02,nan,nan
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,1.440000000000000000e+02,nan,nan
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,1.440000000000000000e+02,nan,nan
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,1.440000000000000000e+02,nan,nan
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,5.999999999999999778e-01,1.440000000000000000e+02,nan,nan
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,1.440000000000000000e+02,nan,nan
1.200000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000056e-01,1.440000000000000000e+02,1.061963237477610636e-02,1.985260526863055208e+00
1.200000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000111e-01,1.440000000000000000e+02,8.072914168834505882e-03,1.999906379732805828e+00
1.200000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,2.999999999999999889e-01,1.440000000000000000e+02,1.605255597686292002e-01,1.998976842359071915e+00
1.200000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01,1.440000000000000000e+02,4.432939958914598050e-02,1.742461824522484548e+00
1.200000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e-01,1.440000000000000000e+02,4.905141114245512718e-02,1.975956691059594039e+00
1.200000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,5.999999999999999778e-01,1.440000000000000000e+02,3.657585015823079655e-02,1.541549739645209138e+00
1.200000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,6.999999999999999556e-01,1.440000000000000000e+02,3.591309414889171797e-02,1.884954113444020418e+00
1.200000000000000000e+01,1.000000000000000000e+00,3.500000000000000000e+00,1.000000000000000056e-01,1.440000000000000000e+02,3.801700256712163550e-02,1.983512650721114046e+00
1.200000000000000000e+01,1.000000000000000000e+00,3.500000000000000000e+00,2.000000000000000111e-01,1.440000000000000000e+02,6.617985603234409486e-02,1.963893122444541062e+00
1.200000000000000000e+01,1.000000000000000000e+00,3.500000000000000000e+00,2.999999999999999889e-01,1.440000000000000000e+02,5.167027894138614963e-02,1.990981385967238504e+00
1.200000000000000000e+01,1.000000000000000000e+00,3.500000000000000000e+00,4.000000000000000222e-01,1.440000000000000000e+02,4.596988523942336508e-02,1.973973899408774102e+00
1.200000000000000000e+01,1.000000000000000000e+00,3.500000000000000000e+00,5.000000000000000000e-01,1.440000000000000000e+02,7.041019608815134168e-02,1.927438378790499618e+00
1.200000000000000000e+01,1.000000000000000000e+00,3.500000000000000000e+00,5.999999999999999778e-01,1.440000000000000000e+02,5.170511772221073749e-02,1.965553524661452611e+00
1.200000000000000000e+01,1.000000000000000000e+00,3.500000000000000000e+00,6.999999999999999556e-01,1.440000000000000000e+02,4.804559582743164747e-02,1.921165639004722481e+00
1.200000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000056e-01,1.440000000000000000e+02,2.768498859078429020e-02,1.984615823067173102e+00
1.200000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000111e-01,1.440000000000000000e+02,1.261837547469730515e-02,1.991125798614788556e+00
1.200000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,2.999999999999999889e-01,1.440000000000000000e+02,3.594013187399638237e-02,1.987869833186221458e+00
1.200000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000222e-01,1.440000000000000000e+02,6.855007624791185916e-02,1.924059529515983025e+00
1.200000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01,1.440000000000000000e+02,4.144960356360062603e-02,1.861814435129349521e+00
1.200000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,5.999999999999999778e-01,1.440000000000000000e+02,4.770337410788604016e-02,1.957313303601568633e+00
1.200000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,6.999999999999999556e-01,1.440000000000000000e+02,5.193887832548427924e-02,1.876234580515106165e+00
1.200000000000000000e+01,1.000000000000000000e+00,4.500000000000000000e+00,1.000000000000000056e-01,1.440000000000000000e+02,2.328366494905250578e-02,1.978959300799370435e+00
1.200000000000000000e+01,1.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000111e-01,1.440000000000000000e+02,2.839561263903474242e-02,1.988759178424283958e+00
1.200000000000000000e+01,1.000000000000000000e+00,4.500000000000000000e+00,2.999999999999999889e-01,1.440000000000000000e+02,6.805846727209220737e-02,1.951268982331224366e+00
1.200000000000000000e+01,1.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000222e-01,1.440000000000000000e+02,4.977432459204091802e-02,1.948294162733464896e+00
1.200000000000000000e+01,1.000000000000000000e+00,4.500000000000000000e+00,5.000000000000000000e-01,1.440000000000000000e+02,1.205469444436206850e-01,1.944242485210981863e+00
1.200000000000000000e+01,1.000000000000000000e+00,4.500000000000000000e+00,5.999999999999999778e-01,1.440000000000000000e+02,1.662967160879034456e-01,1.893644010703248615e+00
1.200000000000000000e+01,1.000000000000000000e+00,4.500000000000000000e+00,6.999999999999999556e-01,1.440000000000000000e+02,6.474638227920852251e-02,1.980919380100897076e+00
1.200000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000056e-01,1.440000000000000000e+02,2.854856429098299314e-02,1.969726663781302012e+00
1.200000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000111e-01,1.440000000000000000e+02,4.616042413666379685e-02,1.956956353473178645e+00
1.200000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,2.999999999999999889e-01,1.440000000000000000e+02,3.029806419554911465e-02,1.986833095830399243e+00
1.200000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000222e-01,1.440000000000000000e+02,2.766050882078424297e-02,1.999150295108732101e+00
1.200000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01,1.440000000000000000e+02,1.033908023986882946e-01,1.950002282327584213e+00
1.200000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,5.999999999999999778e-01,1.440000000000000000e+02,5.112869430725062309e-02,1.977229050928010823e+00
1.200000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,6.999999999999999556e-01,1.440000000000000000e+02,6.000240372873349298e-02,1.968154412544267151e+00
1.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000056e-01,1.440000000000000000e+02,3.985061045008866931e-02,1.973963625666058874e+00
1.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.440000000000000000e+02,6.575560648368457273e-02,1.967270414782951837e+00
1.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,2.999999999999999889e-01,1.440000000000000000e+02,3.285601269042600497e-02,1.983784430195584036e+00
1.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000222e-01,1.440000000000000000e+02,8.540433306207034780e-02,1.934388348804241708e+00
1.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e-01,1.440000000000000000e+02,3.147067757117666398e-02,1.980697590973027555e+00
1.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,5.999999999999999778e-01,1.440000000000000000e+02,1.144975116082843358e-01,1.954585399613774088e+00
1.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,6.999999999999999556e-01,1.440000000000000000e+02,6.097876749001670399e-02,1.971894014640102277e+00
