U,nup,delta,mm,m0,chi_d,chi_dxy,dm,mAM,n
0.0,36,0.0,0.0294627825494394,0.0294627825494394,-8.532907713743042e-13,1.051247977557068e-13,0.0,0.0,0.5
0.0,36,0.1,0.029386935469142495,0.029386935469142495,8.725464795134032e-14,2.9377389410001346e-13,0.0,0.0,0.5
0.0,36,0.2,0.0291349980717828,0.0291349980717828,-1.5639045614079806e-13,-1.3812950783176349e-13,0.0,0.0,0.5
0.0,36,0.3,0.0287761939629325,0.0287761939629325,-6.008349373587407e-13,1.3439915846902294e-13,0.0,0.0,0.5
0.0,36,0.4,0.0283303679781198,0.0283303679781198,-3.54631879417866e-13,1.2182255204606917e-13,0.0,0.0,0.5
0.0,40,0.0,0.031056499687497,0.031056499687497,2.021494083237485e-13,-2.4567015088905466e-13,0.0,0.0,0.5555555555555556
0.0,40,0.1,0.0309676136091056,0.0309676136091056,-1.7418955167158856e-13,2.149391775674304e-13,0.0,0.0,0.5555555555555556
0.0,40,0.2,0.030714859295012203,0.030714859295012203,2.373923280174495e-13,3.1892710694592106e-13,0.0,0.0,0.5555555555555556
0.0,40,0.3,0.0303338711713847,0.0303338711713847,-2.159694645342825e-13,-2.9572788662335373e-13,0.0,0.0,0.5555555555555556
0.0,40,0.4,0.0295312657142231,0.0295312657142231,3.75592890122789e-13,7.57545137730631e-13,0.0,0.0,0.5555555555555556
0.0,48,0.0,0.0340206908719885,0.0340206908719885,-3.678124471662159e-13,-7.972289495228327e-14,0.0,0.0,0.6666666666666666
0.0,48,0.1,0.0339154269959452,0.0339154269959452,3.9364067561109563e-14,-1.934097326738994e-13,0.0,0.0,0.6666666666666666
0.0,48,0.2,0.0333133456474967,0.0333133456474967,-7.538858426414665e-14,-3.286970695626225e-13,0.0,0.0,0.6666666666666666
0.0,48,0.3,0.0321157904505505,0.0321157904505505,1.6974865957308796e-13,-1.9539925233402804e-15,0.0,0.0,0.6666666666666666
0.0,48,0.4,0.0307744154819389,0.0307744154819389,9.62785406954936e-14,9.524825372864145e-14,0.0,0.0,0.6666666666666666
0.0,56,0.0,0.0360843918243516,0.0360843918243516,6.046718681318455e-14,4.526157226791839e-14,0.0,0.0,0.7777777777777778
0.0,56,0.1,0.0358651129078462,0.0358651129078462,2.519939812373196e-13,1.5379697515527368e-13,0.0,0.0,0.7777777777777778
0.0,56,0.2,0.0358614000822791,0.0358614000822791,6.430411758628906e-15,-9.013234603116872e-14,0.0,0.0,0.7777777777777778
0.0,56,0.3,0.0339169757981854,0.0339169757981854,-3.9069192325769113e-13,-5.38591393706156e-14,0.0,0.0,0.7777777777777778
0.0,56,0.4,0.0325837812268567,0.0325837812268567,-1.3184120462028661e-13,1.9504398096614748e-14,0.0,0.0,0.7777777777777778
0.0,64,0.0,0.0385246883486812,0.0385246883486812,-1.4825474181634494e-13,-4.2099657093785935e-14,0.0,0.0,0.8888888888888888
0.0,64,0.1,0.038153117216331,0.038153117216331,2.05595540592185e-13,-1.5379697515527368e-13,0.0,0.0,0.8888888888888888
0.0,64,0.2,0.0369562316081898,0.0369562316081898,5.24060794759862e-13,4.106937012693379e-14,0.0,0.0,0.8888888888888888
0.0,64,0.3,0.0362770355696942,0.0362770355696942,-5.2473581035883416e-14,-2.6503244043851743e-14,0.0,0.0,0.8888888888888888
0.0,64,0.4,0.0332893207711791,0.0332893207711791,2.6254554086335694e-14,-2.2000179455972102e-14,0.0,0.0,0.8888888888888888
0.0,72,0.0,0.0380362887156365,0.0380362887156365,-1.4280132631938616e-13,-8.764544645600835e-14,0.0,0.0,1.0
0.0,72,0.1,0.037554652263564,0.037554652263564,-1.0313527809557858e-13,1.021938089706964e-13,0.0,0.0,1.0
0.0,72,0.2,0.0367683761087647,0.0367683761087647,-7.322142892007832e-14,7.425171588693046e-14,0.0,0.0,1.0
0.0,72,0.3,0.0356748742287585,0.0356748742287585,2.1707080577471068e-14,-2.720490499541484e-14,0.0,0.0,1.0
0.0,72,0.4,0.034358650153483,0.034358650153483,1.6285639503621497e-13,-7.240430477395423e-14,0.0,0.0,1.0
2.0,36,0.0,0.030328525904658784,0.0294627825494394,1.9264494124869354,2.601946427802649,0.0008657433552193838,0.0,0.5
2.0,36,0.1,0.03020421007084807,0.029386935469142495,1.9817375190911675,0.8746877476525189,0.000817274601705574,8.17274601705574e-05,0.5
2.0,36,0.2,0.02995905111366898,0.0291349980717828,2.6897324272764673,-4.611254766561825,0.0008240530418861802,0.00016481060837723606,0.5
2.0,36,0.3,0.029514729281885282,0.0287761939629325,1.6750108337438492,-14.807123089117155,0.0007385353189527828,0.00022156059568583485,0.5
2.0,36,0.4,0.0290422542367237,0.0283303679781198,1.433533800941535,-34.33593219988782,0.0007118862586039006,0.0002847545034415602,0.5
2.0,40,0.0,0.03223955523918375,0.031056499687497,3.731486617261906,1.657306449441309,0.0011830555516867507,0.0,0.5555555555555556
2.0,40,0.1,0.0321549305432216,0.0309676136091056,2.749191955940796,-0.20862705106079596,0.0011873169341159971,0.00011873169341159972,0.5555555555555556
2.0,40,0.2,0.031837106810713646,0.030714859295012203,3.2852091157367727,-5.368026289702063,0.0011222475157014432,0.00022444950314028865,0.5555555555555556
2.0,40,0.3,0.03136607592541195,0.0303338711713847,2.827738172221087,-16.066214485365364,0.0010322047540272487,0.00030966142620817463,0.5555555555555556
2.0,40,0.4,0.030354738609755152,0.0295312657142231,1.5985233455704024,-29.033422246424152,0.0008234728955320535,0.0003293891582128214,0.5555555555555556
2.0,48,0.0,0.036582194490135764,0.0340206908719885,3.839842040704076,0.131265944742374,0.0025615036181472622,0.0,0.6666666666666666
2.0,48,0.1,0.03639311665326172,0.0339154269959452,4.709682800073052,-1.1698877809000887,0.002477689657316519,0.0002477689657316519,0.6666666666666666
2.0,48,0.2,0.0353880824743382,0.0333133456474967,4.905154201775052,-7.431616826872125,0.0020747368268414987,0.0004149473653682998,0.6666666666666666
