U,nup,delta,Spipi,M,chi_son,chi_sext,chi_d,chi_dxy,n,Mdelta,M0,dM,dMdelta
0.0,4,0.0,0.0555555555555555,0.2357022603955159,5.304645611658998e-15,-2.7897684162780943e-14,-1.9433343823038742e-14,1.664446358518035e-13,0.2222222222222222,0.0,0.2357022603955159,0.0,0.0
0.0,4,0.1,0.0555555555555555,0.2357022603955159,-4.9107384825219936e-14,-1.3786305430585346e-13,9.547918011776346e-14,-2.681233013390738e-13,0.2222222222222222,0.0235702260395515,0.2357022603955159,0.0,0.0
0.0,4,0.2,0.0555555555555555,0.2357022603955158,6.554756737386924e-14,-2.442046564965494e-13,1.958611051122717e-13,-1.1432632618380012e-13,0.2222222222222222,0.0471404520791031,0.2357022603955158,0.0,0.0
0.0,4,0.3,0.0555555555555555,0.2357022603955158,7.0632388826652464e-15,-9.447553850350233e-14,-1.8809842572409257e-13,2.495781359357352e-13,0.2222222222222222,0.0707106781186547,0.2357022603955158,0.0,0.0
0.0,4,0.4,0.0555555555555555,0.2357022603955158,1.1240119945910014e-13,-3.281996896475903e-13,6.533440455314124e-14,-2.953903788238678e-13,0.2222222222222222,0.0942809041582063,0.2357022603955158,0.0,0.0
0.0,6,0.0,0.0833333333333333,0.2886751345948129,-3.728573005901126e-14,6.974865129905086e-14,-9.952927371159602e-14,-6.44639897018351e-14,0.3333333333333333,0.0,0.2886751345948129,0.0,0.0
0.0,6,0.1,0.0832356223429212,0.2885058445559141,2.505329277369128e-14,4.6593839897468564e-14,2.7977620220553945e-14,1.4761525335416082e-14,0.3333333333333333,0.0288505844555914,0.2885058445559141,0.0,0.0
0.0,6,0.2,0.0832386443340907,0.2885110818219826,1.0957901253050295e-14,-8.322231792590175e-14,-7.860379014346108e-14,7.0752292913312e-14,0.3333333333333333,0.0577022163643965,0.2885110818219826,0.0,0.0
0.0,6,0.3,0.0832781831048889,0.2885795957875209,2.400302179239589e-15,-3.518074720432196e-14,3.329247988403949e-13,5.5520033015454845e-14,0.3333333333333333,0.0865738787362562,0.2885795957875209,0.0,0.0
0.0,6,0.4,0.0829880887127909,0.2880765327352975,2.440936341940869e-14,-3.5704772471945043e-14,-2.8544278052322624e-13,3.7445602174557296e-14,0.3333333333333333,0.115230613094119,0.2880765327352975,0.0,0.0
0.0,8,0.0,0.111111111111111,0.3333333333333332,1.5885071036336738e-14,3.1299407510232415e-14,-8.251177519014165e-14,1.3615775174002921e-14,0.4444444444444444,0.0,0.3333333333333332,0.0,0.0
0.0,8,0.1,0.1103293041547602,0.3321585527346244,-1.4712675522332582e-14,-4.4924064468432345e-14,-6.554756737386924e-15,-6.8123284790999605e-15,0.4444444444444444,0.0332158552734624,0.3321585527346244,0.0,0.0
0.0,8,0.2,0.1086212300875211,0.3295773506895175,-2.0572432646304155e-14,6.9011463210699735e-15,-5.4800608495497736e-14,-2.0872192862952948e-15,0.4444444444444444,0.0659154701379035,0.3295773506895175,0.0,0.0
0.0,8,0.3,0.1060394893952342,0.3256370516314664,2.8865798640254065e-17,3.1095126473701395e-14,3.017497363089206e-13,-1.0489387136658476e-14,0.4444444444444444,0.0976911154894399,0.3256370516314664,0.0,0.0
0.0,8,0.4,0.1011188947270577,0.3179919727399699,2.9727331707363197e-14,2.3492319201068312e-14,-2.927968978383433e-13,-1.91171523056255e-13,0.4444444444444444,0.1271967890959879,0.3179919727399699,0.0,0.0
0.0,10,0.0,0.1388888888888888,0.3726779962499648,-5.5000448639930254e-15,1.9872992140790302e-14,5.2384763193913383e-14,-1.4308554341369017e-14,0.5555555555555556,0.0,0.3726779962499648,0.0,0.0
0.0,10,0.1,0.1376663950013582,0.3710342234907155,-7.416289804496045e-15,4.8094861426761805e-15,4.9737991503207e-15,2.247091401841317e-15,0.5555555555555556,0.0371034223490715,0.3710342234907155,0.0,0.0
0.0,10,0.2,0.1343017329255861,0.3664720083793387,-1.070477040343576e-14,-3.468336728928989e-15,2.646771690706378e-15,1.7497114868092466e-14,0.5555555555555556,0.0732944016758677,0.3664720083793387,0.0,0.0
0.0,10,0.3,0.1295333795333794,0.3599074596800952,5.890843368661081e-15,-6.6524563635539366e-15,1.0878409284487137e-13,3.6113334545007095e-14,0.5555555555555556,0.1079722379040285,0.3599074596800952,0.0,0.0
0.0,10,0.4,0.1241830065359477,0.3523960932472829,1.8451906669270103e-15,3.774758283725532e-15,-1.6048495865561565e-13,1.000799443318101e-13,0.5555555555555556,0.1409584372989131,0.3523960932472829,0.0,0.0
0.0,12,0.0,0.1666666666666667,0.4082482904638631,-5.397904345727511e-15,1.9245716131877088e-14,5.1709747594941296e-14,-1.744382416291046e-14,0.6666666666666666,0.0,0.4082482904638631,0.0,0.0
0.0,12,0.1,0.1654441727791359,0.4067482916732852,-1.2116974090758962e-14,1.343924971308752e-14,4.671818487622657e-15,3.277378368693462e-15,0.6666666666666666,0.0406748291673285,0.4067482916732852,0.0,0.0
0.0,12,0.2,0.1620795107033637,0.4025909967986911,1.5629719740672957e-14,6.845635169838716e-15,1.072031352578051e-14,6.616929226765933e-15,0.6666666666666666,0.0805181993597382,0.4025909967986911,0.0,0.0
0.0,12,0.3,0.1573111573111572,0.3966247058759164,1.774802527165775e-14,-2.0861090632706702e-15,-1.2434497875801836e-16,3.882227872509247e-14,0.6666666666666666,0.1189874117627749,0.3966247058759164,0.0,0.0
0.0,12,0.4,0.1519607843137256,0.3898214774915892,-1.2716494524056544e-14,-4.979350265443827e-15,1.174615960053416e-13,9.659828492658565e-14,0.6666666666666666,0.1559285909966357,0.3898214774915892,0.0,0.0
0.0,14,0.0,0.1805555555555554,0.4249182927993986,5.706546346573305e-16,4.7967185778929894e-15,4.3822723228004176e-14,-5.639932965095794e-15,0.7777777777777778,0.0,0.4249182927993986,0.0,0.0
0.0,14,0.1,0.179333061668025,0.4234773449288935,5.941913627793838e-15,7.427392034742299e-16,2.584599201327365e-15,4.067857162226574e-15,0.7777777777777778,0.0423477344928893,0.4234773449288935,0.0,0.0
0.0,14,0.2,0.1759683995922528,0.4194858753191253,1.294520046712933e-15,2.8760327452914677e-15,-2.4602542225693468e-14,3.6344260934129126e-14,0.7777777777777778,0.083897175063825,0.4194858753191253,0.0,0.0
0.0,14,0.3,0.1816046127109033,0.4261509271501159,1.5898393712632244e-15,-1.9195756095768956e-15,2.0294876890147863e-14,4.7961634663806766e-15,0.7777777777777778,0.1278452781450347,0.4261509271501159,0.0,0.0
0.0,14,0.4,0.1761266193424905,0.4196744206435395,-1.652455949852083e-14,8.796297024105116e-15,-1.2656542480726785e-13,4.0589753780295726e-15,0.7777777777777778,0.1678697682574158,0.4196744206435395,0.0,0.0
0.0,16,0.0,0.1855216391784418,0.430722229724032,1.2226886170196852e-14,3.502476086936213e-15,5.1025850211772196e-15,2.065903004222491e-14,0.8888888888888888,0.0,0.430722229724032,0.0,0.0
0.0,16,0.1,0.179333061668025,0.4234773449288935,-1.9562129693895255e-15,-3.955724636739433e-15,-2.293720768875573e-14,-2.4567015088905474e-14,0.8888888888888888,0.0423477344928893,0.4234773449288935,0.0,0.0
0.0,16,0.2,0.1766731594374205,0.4203250640128667,2.4713564528155986e-15,-4.146682996974961e-15,-8.522071937022704e-15,-8.260059303211167e-16,0.8888888888888888,0.0840650128025733,0.4203250640128667,0.0,0.0
0.0,16,0.3,0.1899644169052622,0.4358490758338971,3.339550858072471e-15,-1.535715998812748e-15,3.694822225952521e-15,2.9665159217984178e-15,0.8888888888888888,0.1307547227501691,0.4358490758338971,0.0,0.0
0.0,16,0.4,0.1658496732026142,0.40724645265811,7.01882996168024e-15,1.0260958749341851e-14,-4.5217163346933385e-14,2.8270719099054988e-14,0.8888888888888888,0.162898581063244,0.40724645265811,0.0,0.0
0.0,18,0.0,0.1959756186118403,0.4426913355960791,-2.049471703458039e-15,8.842926391139374e-16,-5.1958437552457315e-15,-1.776356839400251e-15,1.0,0.0,0.4426913355960791,0.0,0.0
0.0,18,0.1,0.1921294143090586,0.438325694329067,-6.772360450213454e-17,-4.5197179332490116e-15,2.1955770534987104e-14,7.269740365245524e-15,1.0,0.0438325694329067,0.438325694329067,0.0,0.0
0.0,18,0.2,0.1839852487657081,0.4289350169497801,-5.159206395433103e-15,-1.128819260287628e-15,-5.8553162318730766e-15,-1.034283769740796e-14,1.0,0.085787003389956,0.4289350169497801,0.0,0.0
0.0,18,0.3,0.179145096697037,0.4232553563713483,6.556977183436175e-15,1.2020939799128885e-15,3.3972824553529796e-15,7.684963776455333e-15,1.0,0.1269766069114045,0.4232553563713483,0.0,0.0
0.0,18,0.4,0.1658496732026142,0.40724645265811,-4.616307336391401e-15,3.666233983068423e-15,-1.1963763313360686e-14,-3.0053737276602988e-15,1.0,0.162898581063244,0.40724645265811,0.0,0.0
2.0,4,0.0,0.0563147971210761,0.2373073882055665,-25.13480597348573,-52.49732514944454,-0.3207350676002375,0.8665070307466346,0.2222222222222222,0.0,0.2357022603955159,0.001605127810050594,0.0
2.0,4,0.1,0.0562414857708781,0.2371528676836281,-25.524852899945575,-52.950034464285686,-0.1628805382784514,0.2704521453485805,0.2222222222222222,0.0237152867683628,0.2357022603955159,0.0014506072881121934,0.00014506072881121935
2.0,4,0.2,0.0561911400441286,0.2370466422690882,-26.279498982965773,-50.82150114930713,-0.2844936841529344,-1.972737742414843,0.2222222222222222,0.0474093284538176,0.2357022603955158,0.0013443818735723867,0.00026887637471447736
2.0,4,0.3,0.056156314834959,0.2369732303360301,-28.02370612131043,-51.54060144444386,-0.3402594406663806,-6.2403805548825,0.2222222222222222,0.071091969100809,0.2357022603955158,0.0012709699405142882,0.00038129098215428645
2.0,4,0.4,0.0559722860366392,0.2365846218482231,-30.940287775453555,-55.43419908859523,-0.4188393702109927,-13.109171512745329,0.2222222222222222,0.0946338487392892,0.2357022603955158,0.0008823614527072865,0.00035294458108291464
2.0,6,0.0,0.0852566772841011,0.291987422781808,-16.434437244718385,-14.90886363921754,-0.1074606522915025,-0.2982261971138698,0.3333333333333333,0.0,0.2886751345948129,0.0033122881869950827,0.0
2.0,6,0.1,0.0850842863699775,0.2916920906703227,-16.752718850769025,-15.724746838376532,-0.158499553609869,1.669864951760761,0.3333333333333333,0.0291692090670322,0.2885058445559141,0.0031862461144085974,0.00031862461144085974
2.0,6,0.2,0.0851361926966714,0.2917808822117108,-17.4539226055069,-15.96666722001448,-0.0979356008158938,-1.26882250514198,0.3333333333333333,0.0583561764423421,0.2885110818219826,0.0032698003897281835,0.0006539600779456368
2.0,6,0.3,0.085562685307039,0.2925109944496105,-18.884863223122675,-17.686160836569975,-0.1195889943523803,-3.5582707009073453,0.3333333333333333,0.0877532983348831,0.2885795957875209,0.00393139866208958,0.0011794195986268741
2.0,6,0.4,0.0854848503542776,0.2923777213707256,-21.109910652684334,-20.90235797261199,-0.0821130072329023,-6.861648700162306,0.3333333333333333,0.1169510885482902,0.2880765327352975,0.00430118863542811,0.0017204754541712442
2.0,8,0.0,0.1152255197362285,0.3394476652185097,-12.06284286817784,-11.15572575549766,0.1868254914814242,1.2076657067488858,0.4444444444444444,0.0,0.3333333333333332,0.006114331885176516,0.0
2.0,8,0.1,0.1139922174930071,0.3376272464523988,-12.268507099157269,-11.404124479036165,0.1113015555231882,3.007798785617346,0.4444444444444444,0.0337627246452398,0.3321585527346244,0.005468693717774364,0.0005468693717774365
2.0,8,0.2,0.1127382426078304,0.3357649933444926,-12.667414330111754,-10.69337090475272,0.1800338315183412,0.4336780772994479,0.4444444444444444,0.0671529986688985,0.3295773506895175,0.006187642654975123,0.0012375285309950248
2.0,8,0.3,0.1101696536123767,0.331918101567178,-13.482371169530184,-10.719577592790694,0.2748473788492626,-1.5876757310660905,0.4444444444444444,0.0995754304701534,0.3256370516314664,0.006281049935711602,0.0018843149807134807
2.0,8,0.4,0.1049985461848074,0.324034542144245,-14.810040917836972,-10.939425409881308,0.1523096813133455,-3.351244715124483,0.4444444444444444,0.129613816857698,0.3179919727399699,0.006042569404275111,0.0024170277617100444
2.0,10,0.0,0.148350872501275,0.3851634280301381,-8.578055505432678,-5.642106501058472,1.595279713842985,0.3237799287278211,0.5555555555555556,0.0,0.3726779962499648,0.012485431780173306,0.0
2.0,10,0.1,0.1468091208397034,0.3831562482999913,-8.60640106264816,-5.292486466687624,0.0800903727509702,0.0125619754661494,0.5555555555555556,0.0383156248299991,0.3710342234907155,0.012122024809275767,0.0012122024809275767
2.0,10,0.2,0.1430927992195217,0.3782760729358441,-8.878462201976822,-4.637119206172118,3.047619160012985,-0.9155029133824676,0.5555555555555556,0.0756552145871688,0.3664720083793387,0.0118040645565054,0.00236081291130108
2.0,10,0.3,0.1370038280474762,0.3701396485442521,-9.39304868636842,-3.896967105331683,4.676928168228066,-2.929989396878387,0.5555555555555556,0.1110418945632756,0.3599074596800952,0.010232188864156888,0.0030696566592470663
2.0,10,0.4,0.1306240931273169,0.3614193468253603,-10.195028811944889,-3.129022684095728,-0.017045338258321,-6.7902688920275125,0.5555555555555556,0.1445677387301441,0.3523960932472829,0.009023253578077428,0.0036093014312309716
2.0,12,0.0,0.18656256181446,0.4319287983458873,-5.635760978938845,-1.312939879257578,0.8779790429080315,0.1252415187891772,0.6666666666666666,0.0,0.4082482904638631,0.02368050788202425,0.0
2.0,12,0.1,0.185339312996756,0.4305100254120965,-5.7309700524286455,-1.2418184345455312,1.3574838524128214,-0.2090807930855927,0.6666666666666666,0.0430510025412096,0.4067482916732852,0.023761733738811297,0.0023761733738811297
2.0,12,0.2,0.1798646216625025,0.4241039737653621,-5.99411637492758,-1.0654422547021156,3.746191972692368,-1.1941929637180972,0.6666666666666666,0.0848207947530724,0.4025909967986911,0.021512976966670982,0.004302595393334197
2.0,12,0.3,0.173705589214909,0.4167794099120764,-6.4417018585636185,-0.7973873913010756,0.5879569144457826,-3.3653949913096675,0.6666666666666666,0.1250338229736229,0.3966247058759164,0.020154704036159987,0.006046411210847996
2.0,12,0.4,0.166182900995775,0.4076536437543876,-7.302518216397876,-0.4418314182040983,2.1033684439751186,-6.819127994770643,0.6666666666666666,0.163061457501755,0.3898214774915892,0.017832166262798432,0.007132866505119373
2.0,14,0.0,0.2104241982005303,0.4587195104365109,-3.490468661659347,0.6756764094749049,0.2492692705261018,-0.0609179696871627,0.7777777777777778,0.0,0.4249182927993986,0.0338012176371123,0.0
2.0,14,0.1,0.2086715703823342,0.4568054913702122,-3.5735752266102474,0.681178717726155,0.2863599073865928,-0.3789417107203021,0.7777777777777778,0.0456805491370212,0.4234773449288935,0.03332814644131871,0.003332814644131871
