L,U,delta_cross,delta_peak
8,2.0,0.141183174769385,0.1
8,3.0,0.2346269458891498,0.20752513110597706
8,3.5,0.3219972530201082,0.2856825871412071
8,4.0,0.41838735968277607,0.32546189090535116
8,4.5,0.5102445837140405,0.32985947967615725
8,5.0,0.6073044994901797,0.41167699863261087
10,2.0,0.12145704766589974,0.1
10,3.0,0.24448780511536827,0.226606834148761
10,3.5,0.24531051407336796,0.20109583329847572
10,4.0,0.37203188491358985,0.2957532402542604
10,4.5,0.4537350604246891,0.3742248842652921
10,5.0,0.4643729586004457,0.39214413856344826
12,2.0,0.1463836226653362,0.17335042368563466
12,3.0,0.19490669628820068,0.19636877724421417
12,3.5,0.2642776560747126,0.28154222977085347
12,4.0,0.3501253132031273,0.2886612484678044
12,4.5,0.41383195653953747,0.3609052399864159
12,5.0,0.44674940781440886,0.3879702861477942
