            k_x            k_y          value          error
    0.000000000    0.000000000    0.989084520    0.000116831
    0.000000000    0.523598790    0.988957094    0.000074640
    0.000000000    1.047197580    0.987826457    0.000114069
    0.000000000    1.570796371    0.985993499    0.000103137
    0.000000000    2.094395161    0.983671460    0.000188828
    0.000000000    2.617993832    0.981800449    0.000267551
    0.000000000    3.141592741    0.978681470    0.000209112
    0.000000000   -3.141592741    0.978681470    0.000209112
    0.000000000   -2.617993832    0.981800448    0.000267551
    0.000000000   -2.094395161    0.983671460    0.000188828
    0.000000000   -1.570796371    0.985993498    0.000103137
    0.000000000   -1.047197580    0.987826456    0.000114069
    0.000000000   -0.523598790    0.988957094    0.000074640
    0.523598790    0.000000000    0.988955048    0.000081878
    0.523598790    0.523598790    0.988434120    0.000109541
    0.523598790    1.047197580    0.987093220    0.000069040
    0.523598790    1.570796371    0.984543990    0.000179118
    0.523598790    2.094395161    0.980519821    0.000256981
    0.523598790    2.617993832    0.973409682    0.000657379
    0.523598790    3.141592741    0.296242978    0.004943324
    0.523598790   -3.141592741    0.296242978    0.004943324
    0.523598790   -2.617993832    0.973159056    0.000646825
    0.523598790   -2.094395161    0.980358655    0.000229486
    0.523598790   -1.570796371    0.984443626    0.000136382
    0.523598790   -1.047197580    0.987036006    0.000119768
    0.523598790   -0.523598790    0.988331141    0.000077450
    1.047197580    0.000000000    0.987865427    0.000107649
    1.047197580    0.523598790    0.987071927    0.000122095
    1.047197580    1.047197580    0.984793335    0.000121279
    1.047197580    1.570796371    0.978104784    0.000161418
    1.047197580    2.094395161    0.028416137    0.000286018
    1.047197580    2.617993832    0.022273647    0.000188611
    1.047197580    3.141592741    0.021382952    0.000132085
    1.047197580   -3.141592741    0.021382952    0.000132085
    1.047197580   -2.617993832    0.022621445    0.000220632
    1.047197580   -2.094395161    0.028797422    0.000203877
    1.047197580   -1.570796371    0.977882695    0.000268882
    1.047197580   -1.047197580    0.984472407    0.000152491
    1.047197580   -0.523598790    0.987037514    0.000107116
    1.570796371    0.000000000    0.985965439    0.000123008
    1.570796371    0.523598790    0.984710536    0.000160695
    1.570796371    1.047197580    0.977743977    0.000292426
    1.570796371    1.570796371    0.023984876    0.000155560
    1.570796371    2.094395161    0.016407992    0.000093357
    1.570796371    2.617993832    0.013333407    0.000063400
    1.570796371    3.141592741    0.012443334    0.000103292
    1.570796371   -3.141592741    0.012443334    0.000103292
    1.570796371   -2.617993832    0.013384581    0.000121864
    1.570796371   -2.094395161    0.016512243    0.000112255
    1.570796371   -1.570796371    0.023733211    0.000207170
    1.570796371   -1.047197580    0.978066408    0.000273146
    1.570796371   -0.523598790    0.984578415    0.000170027
    2.094395161    0.000000000    0.983693802    0.000161199
    2.094395161    0.523598790    0.980479111    0.000281886
    2.094395161    1.047197580    0.029104322    0.000160376
    2.094395161    1.570796371    0.016571271    0.000111483
    2.094395161    2.094395161    0.011351315    0.000094712
    2.094395161    2.617993832    0.008917356    0.000063342
    2.094395161    3.141592741    0.008296981    0.000070242
    2.094395161   -3.141592741    0.008296981    0.000070242
    2.094395161   -2.617993832    0.009076810    0.000054594
    2.094395161   -2.094395161    0.011402086    0.000072886
    2.094395161   -1.570796371    0.016258086    0.000096530
    2.094395161   -1.047197580    0.028385310    0.000307383
