            k_x            k_y          value          error
    0.000000000    0.000000000    0.970509294    0.000292562
    0.000000000    0.523598790    0.969056482    0.000335766
    0.000000000    1.047197580    0.962091985    0.000282181
    0.000000000    1.570796371    0.942702587    0.000300208
    0.000000000    2.094395161    0.873172594    0.000484428
    0.000000000    2.617993832    0.652312385    0.001424158
    0.000000000    3.141592741    0.500131024    0.003932136
    0.000000000   -3.141592741    0.500131024    0.003932136
    0.000000000   -2.617993832    0.652312369    0.001424158
    0.000000000   -2.094395161    0.873172620    0.000484428
    0.000000000   -1.570796371    0.942702568    0.000300208
    0.000000000   -1.047197580    0.962091963    0.000282181
    0.000000000   -0.523598790    0.969056494    0.000335766
    0.523598790    0.000000000    0.968652872    0.000237767
    0.523598790    0.523598790    0.966533572    0.000318470
    0.523598790    1.047197580    0.958205575    0.000302549
    0.523598790    1.570796371    0.931743778    0.000244929
    0.523598790    2.094395161    0.822130624    0.000733958
    0.523598790    2.617993832    0.500651897    0.001943229
    0.523598790    3.141592741    0.348875365    0.002015883
    0.523598790   -3.141592741    0.348875365    0.002015883
    0.523598790   -2.617993832    0.499765581    0.002930328
    0.523598790   -2.094395161    0.821287321    0.001010543
    0.523598790   -1.570796371    0.931778544    0.000288201
    0.523598790   -1.047197580    0.957963952    0.000296562
    0.523598790   -0.523598790    0.966532222    0.000164804
    1.047197580    0.000000000    0.961868816    0.000335317
    1.047197580    0.523598790    0.957731671    0.000233402
    1.047197580    1.047197580    0.940736811    0.000180444
    1.047197580    1.570796371    0.869425206    0.000622619
    1.047197580    2.094395161    0.502571029    0.001187482
    1.047197580    2.617993832    0.181993757    0.000885657
    1.047197580    3.141592741    0.133346952    0.000392413
    1.047197580   -3.141592741    0.133346952    0.000392413
    1.047197580   -2.617993832    0.181462267    0.000769520
    1.047197580   -2.094395161    0.498563711    0.002104006
    1.047197580   -1.570796371    0.869572686    0.000655683
    1.047197580   -1.047197580    0.941053860    0.000359719
    1.047197580   -0.523598790    0.958217457    0.000228437
    1.570796371    0.000000000    0.942333066    0.000198046
    1.570796371    0.523598790    0.931777180    0.000212149
    1.570796371    1.047197580    0.869175998    0.000456847
    1.570796371    1.570796371    0.498365524    0.000481823
    1.570796371    2.094395161    0.129318856    0.000407981
    1.570796371    2.617993832    0.068089501    0.000218352
    1.570796371    3.141592741    0.057600182    0.000204931
    1.570796371   -3.141592741    0.057600182    0.000204931
    1.570796371   -2.617993832    0.068252073    0.000207456
    1.570796371   -2.094395161    0.129309052    0.000817887
    1.570796371   -1.570796371    0.497442875    0.000374981
    1.570796371   -1.047197580    0.868598092    0.000745057
    1.570796371   -0.523598790    0.931588099    0.000197682
    2.094395161    0.000000000    0.873059333    0.000611568
    2.094395161    0.523598790    0.822213549    0.000974816
    2.094395161    1.047197580    0.497140086    0.001178950
    2.094395161    1.570796371    0.128762194    0.000658787
    2.094395161    2.094395161    0.055877080    0.000150831
    2.094395161    2.617993832    0.038055903    0.000145459
    2.094395161    3.141592741    0.033939674    0.000173745
    2.094395161   -3.141592741    0.033939674    0.000173745
    2.094395161   -2.617993832    0.038390439    0.000141196
    2.094395161   -2.094395161    0.056215829    0.000256303
    2.094395161   -1.570796371    0.128950616    0.000630866
    2.094395161   -1.047197580    0.500447846    0.002094557
    2.094395161   -0.523598790    0.822819059    0.000775348
    2.617993832    0.000000000    0.661019239    0.001948834
    2.617993832    0.523598790    0.505920549    0.001963948
    2.617993832    1.047197580    0.181940027    0.000600227
    2.617993832    1.570796371    0.068082930    0.000207124
    2.617993832    2.094395161    0.038151509    0.000178274
    2.617993832    2.617993832    0.028046336    0.000104763
    2.617993832    3.141592741    0.025355795    0.000118763
    2.617993832   -3.141592741    0.025355795    0.000118763
    2.617993832   -2.617993832    0.028147968    0.000185086
    2.617993832   -2.094395161    0.038286518    0.000160797
    2.617993832   -1.570796371    0.068316167    0.000269159
    2.617993832   -1.047197580    0.182935978    0.001036843
    2.617993832   -0.523598790    0.507040284    0.002883827
    3.141592741    0.000000000    0.511247049    0.003693650
   -3.141592741    0.000000000    0.511247049    0.003693650
    3.141592741    0.523598790    0.356427676    0.001640014
   -3.141592741    0.523598790    0.356427676    0.001640014
    3.141592741    1.047197580    0.133147389    0.000591376
   -3.141592741    1.047197580    0.133147389    0.000591376
    3.141592741    1.570796371    0.057476074    0.000244465
   -3.141592741    1.570796371    0.057476074    0.000244465
    3.141592741    2.094395161    0.034081400    0.000154535
   -3.141592741    2.094395161    0.034081400    0.000154535
    3.141592741    2.617993832    0.025386392    0.000144200
   -3.141592741    2.617993832    0.025386392    0.000144200
    3.141592741    3.141592741    0.023142616    0.000152018
   -3.141592741    3.141592741    0.023142616    0.000152018
    3.141592741   -3.141592741    0.023142616    0.000152018
   -3.141592741   -3.141592741    0.023142616    0.000152018
    3.141592741   -2.617993832    0.025386444    0.000144200
   -3.141592741   -2.617993832    0.025386444    0.000144200
    3.141592741   -2.094395161    0.034081373    0.000154535
   -3.141592741   -2.094395161    0.034081373    0.000154535
    3.141592741   -1.570796371    0.057475952    0.000244465
   -3.141592741   -1.570796371    0.057475952    0.000244465
    3.141592741   -1.047197580    0.133147286    0.000591376
   -3.141592741   -1.047197580    0.133147286    0.000591376
    3.141592741   -0.523598790    0.356427774    0.001640015
   -3.141592741   -0.523598790    0.356427774    0.001640015
   -2.617993832    0.000000000    0.661019221    0.001948834
   -2.617993832    0.523598790    0.507040334    0.002883828
