            k_x            k_y          value          error
    0.000000000    0.000000000    0.970906431    0.000319810
    0.000000000    0.523598790    0.968797822    0.000189151
    0.000000000    1.047197580    0.962036372    0.000171583
    0.000000000    1.570796371    0.942432053    0.000238268
    0.000000000    2.094395161    0.872730225    0.000602590
    0.000000000    2.617993832    0.651629127    0.002234578
    0.000000000    3.141592741    0.499752575    0.003542839
    0.000000000   -3.141592741    0.499752575    0.003542839
    0.000000000   -2.617993832    0.651629111    0.002234578
    0.000000000   -2.094395161    0.872730250    0.000602590
    0.000000000   -1.570796371    0.942432033    0.000238269
    0.000000000   -1.047197580    0.962036349    0.000171583
    0.000000000   -0.523598790    0.968797835    0.000189151
    0.523598790    0.000000000    0.968915730    0.000167872
    0.523598790    0.523598790    0.966804412    0.000145102
    0.523598790    1.047197580    0.958375897    0.000224393
    0.523598790    1.570796371    0.931835386    0.000239347
    0.523598790    2.094395161    0.822850731    0.000623834
    0.523598790    2.617993832    0.501275981    0.001892091
    0.523598790    3.141592741    0.347240244    0.001769340
    0.523598790   -3.141592741    0.347240244    0.001769340
    0.523598790   -2.617993832    0.498555115    0.001487190
    0.523598790   -2.094395161    0.822066603    0.000842411
    0.523598790   -1.570796371    0.931507934    0.000350431
    0.523598790   -1.047197580    0.957998661    0.000318734
    0.523598790   -0.523598790    0.966612860    0.000210031
    1.047197580    0.000000000    0.962318258    0.000202160
    1.047197580    0.523598790    0.958355672    0.000251705
    1.047197580    1.047197580    0.941233115    0.000280557
    1.047197580    1.570796371    0.869696358    0.000695226
    1.047197580    2.094395161    0.503384418    0.001128786
    1.047197580    2.617993832    0.181859473    0.000602962
    1.047197580    3.141592741    0.133145487    0.000696710
    1.047197580   -3.141592741    0.133145487    0.000696710
    1.047197580   -2.617993832    0.181298500    0.000907441
    1.047197580   -2.094395161    0.499078725    0.000695075
    1.047197580   -1.570796371    0.869437208    0.000422560
    1.047197580   -1.047197580    0.940907543    0.000389248
    1.047197580   -0.523598790    0.958011032    0.000223653
    1.570796371    0.000000000    0.942681871    0.000185007
    1.570796371    0.523598790    0.931856950    0.000162878
    1.570796371    1.047197580    0.869231282    0.000458976
    1.570796371    1.570796371    0.497477894    0.000392867
    1.570796371    2.094395161    0.128513910    0.000506608
    1.570796371    2.617993832    0.068338153    0.000216165
    1.570796371    3.141592741    0.057526170    0.000306577
    1.570796371   -3.141592741    0.057526170    0.000306577
    1.570796371   -2.617993832    0.068121861    0.000229470
    1.570796371   -2.094395161    0.128818520    0.000546899
    1.570796371   -1.570796371    0.497223491    0.000223431
    1.570796371   -1.047197580    0.869162432    0.000656824
    1.570796371   -0.523598790    0.931725141    0.000229378
    2.094395161    0.000000000    0.873023108    0.000679699
    2.094395161    0.523598790    0.821671123    0.000701847
    2.094395161    1.047197580    0.495531328    0.001060709
    2.094395161    1.570796371    0.129388310    0.000762875
    2.094395161    2.094395161    0.055890563    0.000157790
    2.094395161    2.617993832    0.038266295    0.000164222
    2.094395161    3.141592741    0.033891767    0.000166219
    2.094395161   -3.141592741    0.033891767    0.000166219
    2.094395161   -2.617993832    0.038301443    0.000148935
    2.094395161   -2.094395161    0.056001007    0.000169087
    2.094395161   -1.570796371    0.128637791    0.000581665
    2.094395161   -1.047197580    0.499576457    0.000739657
    2.094395161   -0.523598790    0.823164670    0.000986858
    2.617993832    0.000000000    0.662594368    0.001952598
    2.617993832    0.523598790    0.504870561    0.001998197
    2.617993832    1.047197580    0.181562726    0.000473921
    2.617993832    1.570796371    0.068366571    0.000156015
    2.617993832    2.094395161    0.038282854    0.000182943
    2.617993832    2.617993832    0.028250553    0.000127584
    2.617993832    3.141592741    0.025608731    0.000084959
    2.617993832   -3.141592741    0.025608731    0.000084959
    2.617993832   -2.617993832    0.028061814    0.000153576
    2.617993832   -2.094395161    0.038255171    0.000176834
    2.617993832   -1.570796371    0.068177726    0.000260699
    2.617993832   -1.047197580    0.181985748    0.000737565
    2.617993832   -0.523598790    0.508152644    0.001563291
    3.141592741    0.000000000    0.512070473    0.003609623
   -3.141592741    0.000000000    0.512070473    0.003609623
    3.141592741    0.523598790    0.357722138    0.002226206
   -3.141592741    0.523598790    0.357722138    0.002226206
    3.141592741    1.047197580    0.133374583    0.000349487
   -3.141592741    1.047197580    0.133374583    0.000349487
    3.141592741    1.570796371    0.057443590    0.000197076
   -3.141592741    1.570796371    0.057443590    0.000197076
    3.141592741    2.094395161    0.034219994    0.000168914
   -3.141592741    2.094395161    0.034219994    0.000168914
    3.141592741    2.617993832    0.025620114    0.000126084
   -3.141592741    2.617993832    0.025620114    0.000126084
    3.141592741    3.141592741    0.023347604    0.000095730
   -3.141592741    3.141592741    0.023347604    0.000095730
    3.141592741   -3.141592741    0.023347604    0.000095730
   -3.141592741   -3.141592741    0.023347604    0.000095730
    3.141592741   -2.617993832    0.025620170    0.000126085
   -3.141592741   -2.617993832    0.025620170    0.000126085
    3.141592741   -2.094395161    0.034219966    0.000168914
   -3.141592741   -2.094395161    0.034219966    0.000168914
    3.141592741   -1.570796371    0.057443465    0.000197075
   -3.141592741   -1.570796371    0.057443465    0.000197075
    3.141592741   -1.047197580    0.133374471    0.000349486
   -3.141592741   -1.047197580    0.133374471    0.000349486
    3.141592741   -0.523598790    0.357722233    0.002226207
   -3.141592741   -0.523598790    0.357722233    0.002226207
   -2.617993832    0.000000000    0.662594353    0.001952598
   -2.617993832    0.523598790    0.508152696    0.001563290
   -2.617993832    1.047197580    0.181985815    0.000737565
   -2.617993832    1.570796371    0.068177757    0.000260699
   -2.617993832    2.094395161    0.038255253    0.000176834
   -2.617993832    2.617993832    0.028061814    0.000153576
   -2.617993832    3.141592741    0.025608785    0.000084959
   -2.617993832   -3.141592741    0.025608785    0.000084959
   -2.617993832   -2.617993832    0.028250481    0.000127584
   -2.617993832   -2.094395161    0.038282717    0.000182943
   -2.617993832   -1.570796371    0.068366486    0.000156014
   -2.617993832   -1.047197580    0.181562602    0.000473922
   -2.617993832   -0.523598790    0.504870507    0.001998197
   -2.094395161    0.000000000    0.873023133    0.000679699
   -2.094395161    0.523598790    0.823164621    0.000986858
   -2.094395161    1.047197580    0.499576483    0.000739656
   -2.094395161    1.570796371    0.128637852    0.000581665
   -2.094395161    2.094395161    0.056001009    0.000169087
   -2.094395161    2.617993832    0.038301363    0.000148935
   -2.094395161    3.141592741    0.033891739    0.000166219
   -2.094395161   -3.141592741    0.033891739    0.000166219
   -2.094395161   -2.617993832    0.038266158    0.000164222
   -2.094395161   -2.094395161    0.055890551    0.000157790
   -2.094395161   -1.570796371    0.129388207    0.000762875
   -2.094395161   -1.047197580    0.495531233    0.001060710
   -2.094395161   -0.523598790    0.821671065    0.000701847
   -1.570796371    0.000000000    0.942681850    0.000185007
   -1.570796371    0.523598790    0.931725057    0.000229379
   -1.570796371    1.047197580    0.869162476    0.000656824
   -1.570796371    1.570796371    0.497223490    0.000223432
   -1.570796371    2.094395161    0.128818461    0.000546899
   -1.570796371    2.617993832    0.068121832    0.000229470
   -1.570796371    3.141592741    0.057526042    0.000306578
   -1.570796371   -3.141592741    0.057526042    0.000306578
   -1.570796371   -2.617993832    0.068338066    0.000216165
   -1.570796371   -2.094395161    0.128513805    0.000506608
   -1.570796371   -1.570796371    0.497477659    0.000392867
   -1.570796371   -1.047197580    0.869231182    0.000458976
   -1.570796371   -0.523598790    0.931856944    0.000162879
   -1.047197580    0.000000000    0.962318238    0.000202160
   -1.047197580    0.523598790    0.958010896    0.000223653
   -1.047197580    1.047197580    0.940907545    0.000389248
   -1.047197580    1.570796371    0.869437167    0.000422560
   -1.047197580    2.094395161    0.499078694    0.000695075
   -1.047197580    2.617993832    0.181298436    0.000907442
   -1.047197580    3.141592741    0.133145376    0.000696710
   -1.047197580   -3.141592741    0.133145376    0.000696710
   -1.047197580   -2.617993832    0.181859353    0.000602962
   -1.047197580   -2.094395161    0.503384325    0.001128787
   -1.047197580   -1.570796371    0.869696258    0.000695226
   -1.047197580   -1.047197580    0.941233039    0.000280557
   -1.047197580   -0.523598790    0.958355610    0.000251705
   -0.523598790    0.000000000    0.968915742    0.000167871
   -0.523598790    0.523598790    0.966612858    0.000210031
   -0.523598790    1.047197580    0.957998795    0.000318734
   -0.523598790    1.570796371    0.931508017    0.000350430
   -0.523598790    2.094395161    0.822066650    0.000842410
   -0.523598790    2.617993832    0.498555058    0.001487189
   -0.523598790    3.141592741    0.347240335    0.001769340
   -0.523598790   -3.141592741    0.347240335    0.001769340
   -0.523598790   -2.617993832    0.501275927    0.001892092
   -0.523598790   -2.094395161    0.822850672    0.000623834
   -0.523598790   -1.570796371    0.931835377    0.000239348
   -0.523598790   -1.047197580    0.958375833    0.000224393
   -0.523598790   -0.523598790    0.966804351    0.000145102
