            k_x            k_y          value          error
    0.000000000    0.000000000    0.962339173    0.000366942
    0.000000000    0.523598790    0.960114267    0.000321144
    0.000000000    1.047197580    0.951084945    0.000225346
    0.000000000    1.570796371    0.924625825    0.000397837
    0.000000000    2.094395161    0.837968094    0.001180031
    0.000000000    2.617993832    0.627527645    0.001727164
    0.000000000    3.141592741    0.504373614    0.002033536
    0.000000000   -3.141592741    0.504373614    0.002033536
    0.000000000   -2.617993832    0.627527624    0.001727165
    0.000000000   -2.094395161    0.837968115    0.001180031
    0.000000000   -1.570796371    0.924625802    0.000397837
    0.000000000   -1.047197580    0.951084920    0.000225346
    0.000000000   -0.523598790    0.960114277    0.000321144
    0.523598790    0.000000000    0.960152731    0.000304324
    0.523598790    0.523598790    0.957564041    0.000272752
    0.523598790    1.047197580    0.945818707    0.000360272
    0.523598790    1.570796371    0.910247777    0.000427118
    0.523598790    2.094395161    0.782130198    0.001321724
    0.523598790    2.617993832    0.503328289    0.001732847
    0.523598790    3.141592741    0.380802785    0.002028904
    0.523598790   -3.141592741    0.380802785    0.002028904
    0.523598790   -2.617993832    0.501400593    0.002152905
    0.523598790   -2.094395161    0.782750486    0.001085566
    0.523598790   -1.570796371    0.910055491    0.000504690
    0.523598790   -1.047197580    0.945189462    0.000267915
    0.523598790   -0.523598790    0.956721034    0.000226844
    1.047197580    0.000000000    0.951129100    0.000220681
    1.047197580    0.523598790    0.945762250    0.000264353
    1.047197580    1.047197580    0.922765090    0.000437185
    1.047197580    1.570796371    0.834991838    0.001240642
    1.047197580    2.094395161    0.502329724    0.001723333
    1.047197580    2.617993832    0.221595128    0.001251325
    1.047197580    3.141592741    0.167313379    0.001021475
    1.047197580   -3.141592741    0.167313379    0.001021475
    1.047197580   -2.617993832    0.221324867    0.000990368
    1.047197580   -2.094395161    0.498659139    0.001054582
    1.047197580   -1.570796371    0.834435447    0.000895461
    1.047197580   -1.047197580    0.922574183    0.000331601
    1.047197580   -0.523598790    0.945677561    0.000312716
    1.570796371    0.000000000    0.924671663    0.000295433
    1.570796371    0.523598790    0.910424050    0.000575718
    1.570796371    1.047197580    0.835292185    0.001177948
    1.570796371    1.570796371    0.498464726    0.000301669
    1.570796371    2.094395161    0.163162495    0.001237356
    1.570796371    2.617993832    0.089901970    0.000423922
    1.570796371    3.141592741    0.076274004    0.000345106
    1.570796371   -3.141592741    0.076274004    0.000345106
    1.570796371   -2.617993832    0.089928266    0.000469869
    1.570796371   -2.094395161    0.163916498    0.000941471
    1.570796371   -1.570796371    0.498647711    0.000299070
    1.570796371   -1.047197580    0.834930360    0.000761585
    1.570796371   -0.523598790    0.910478310    0.000400993
    2.094395161    0.000000000    0.838237635    0.001098390
    2.094395161    0.523598790    0.781832101    0.001243293
    2.094395161    1.047197580    0.496790664    0.001603674
    2.094395161    1.570796371    0.163071992    0.001306527
    2.094395161    2.094395161    0.074512494    0.000360436
    2.094395161    2.617993832    0.050793924    0.000297493
    2.094395161    3.141592741    0.045078037    0.000212767
    2.094395161   -3.141592741    0.045078037    0.000212767
    2.094395161   -2.617993832    0.050656309    0.000272832
    2.094395161   -2.094395161    0.074380746    0.000351542
    2.094395161   -1.570796371    0.163954961    0.001073677
    2.094395161   -1.047197580    0.501582652    0.001263187
    2.094395161   -0.523598790    0.783015609    0.000900199
    2.617993832    0.000000000    0.627859587    0.002132375
    2.617993832    0.523598790    0.502472469    0.001903708
    2.617993832    1.047197580    0.221316499    0.001443484
    2.617993832    1.570796371    0.089544050    0.000425398
    2.617993832    2.094395161    0.050865893    0.000222525
    2.617993832    2.617993832    0.037504090    0.000147248
    2.617993832    3.141592741    0.033865838    0.000253562
    2.617993832   -3.141592741    0.033865838    0.000253562
    2.617993832   -2.617993832    0.037376749    0.000193420
    2.617993832   -2.094395161    0.050906112    0.000217651
    2.617993832   -1.570796371    0.090050341    0.000448320
    2.617993832   -1.047197580    0.221216155    0.001028185
    2.617993832   -0.523598790    0.505072196    0.002398572
    3.141592741    0.000000000    0.506154872    0.001768304
   -3.141592741    0.000000000    0.506154872    0.001768304
    3.141592741    0.523598790    0.381079879    0.001905735
   -3.141592741    0.523598790    0.381079879    0.001905735
    3.141592741    1.047197580    0.167818034    0.001294980
   -3.141592741    1.047197580    0.167818034    0.001294980
    3.141592741    1.570796371    0.075785193    0.000409049
   -3.141592741    1.570796371    0.075785193    0.000409049
    3.141592741    2.094395161    0.045345863    0.000261828
   -3.141592741    2.094395161    0.045345863    0.000261828
    3.141592741    2.617993832    0.033947796    0.000273492
   -3.141592741    2.617993832    0.033947796    0.000273492
    3.141592741    3.141592741    0.031001698    0.000269144
   -3.141592741    3.141592741    0.031001698    0.000269144
    3.141592741   -3.141592741    0.031001698    0.000269144
   -3.141592741   -3.141592741    0.031001698    0.000269144
    3.141592741   -2.617993832    0.033947837    0.000273492
   -3.141592741   -2.617993832    0.033947837    0.000273492
    3.141592741   -2.094395161    0.045345842    0.000261828
   -3.141592741   -2.094395161    0.045345842    0.000261828
    3.141592741   -1.570796371    0.075785078    0.000409049
   -3.141592741   -1.570796371    0.075785078    0.000409049
    3.141592741   -1.047197580    0.167817938    0.001294980
   -3.141592741   -1.047197580    0.167817938    0.001294980
    3.141592741   -0.523598790    0.381079957    0.001905735
   -3.141592741   -0.523598790    0.381079957    0.001905735
   -2.617993832    0.000000000    0.627859569    0.002132376
   -2.617993832    0.523598790    0.505072240    0.002398573
   -2.617993832    1.047197580    0.221216220    0.001028185
   -2.617993832    1.570796371    0.090050370    0.000448320
   -2.617993832    2.094395161    0.050906186    0.000217650
   -2.617993832    2.617993832    0.037376750    0.000193420
   -2.617993832    3.141592741    0.033865880    0.000253563
   -2.617993832   -3.141592741    0.033865880    0.000253563
   -2.617993832   -2.617993832    0.037504021    0.000147248
   -2.617993832   -2.094395161    0.050865767    0.000222525
   -2.617993832   -1.570796371    0.089543964    0.000425398
   -2.617993832   -1.047197580    0.221316384    0.001443484
   -2.617993832   -0.523598790    0.502472419    0.001903707
   -2.094395161    0.000000000    0.838237653    0.001098389
   -2.094395161    0.523598790    0.783015564    0.000900199
   -2.094395161    1.047197580    0.501582677    0.001263187
   -2.094395161    1.570796371    0.163955022    0.001073677
   -2.094395161    2.094395161    0.074380748    0.000351542
   -2.094395161    2.617993832    0.050656234    0.000272832
   -2.094395161    3.141592741    0.045078014    0.000212767
   -2.094395161   -3.141592741    0.045078014    0.000212767
   -2.094395161   -2.617993832    0.050793799    0.000297493
   -2.094395161   -2.094395161    0.074512490    0.000360436
   -2.094395161   -1.570796371    0.163071890    0.001306526
   -2.094395161   -1.047197580    0.496790572    0.001603674
   -2.094395161   -0.523598790    0.781832047    0.001243294
   -1.570796371    0.000000000    0.924671639    0.000295434
   -1.570796371    0.523598790    0.910478217    0.000400994
   -1.570796371    1.047197580    0.834930402    0.000761586
   -1.570796371    1.570796371    0.498647712    0.000299070
   -1.570796371    2.094395161    0.163916437    0.000941471
   -1.570796371    2.617993832    0.089928238    0.000469869
   -1.570796371    3.141592741    0.076273888    0.000345106
   -1.570796371   -3.141592741    0.076273888    0.000345106
   -1.570796371   -2.617993832    0.089901884    0.000423922
   -1.570796371   -2.094395161    0.163162390    0.001237355
   -1.570796371   -1.570796371    0.498464503    0.000301668
   -1.570796371   -1.047197580    0.835292081    0.001177949
   -1.570796371   -0.523598790    0.910424034    0.000575720
   -1.047197580    0.000000000    0.951129073    0.000220681
   -1.047197580    0.523598790    0.945677427    0.000312716
   -1.047197580    1.047197580    0.922574182    0.000331601
   -1.047197580    1.570796371    0.834435406    0.000895461
   -1.047197580    2.094395161    0.498659110    0.001054582
   -1.047197580    2.617993832    0.221324804    0.000990368
   -1.047197580    3.141592741    0.167313282    0.001021476
   -1.047197580   -3.141592741    0.167313282    0.001021476
   -1.047197580   -2.617993832    0.221595014    0.001251325
   -1.047197580   -2.094395161    0.502329632    0.001723332
   -1.047197580   -1.570796371    0.834991736    0.001240643
   -1.047197580   -1.047197580    0.922765004    0.000437185
   -1.047197580   -0.523598790    0.945762189    0.000264354
   -0.523598790    0.000000000    0.960152740    0.000304324
   -0.523598790    0.523598790    0.956721034    0.000226843
   -0.523598790    1.047197580    0.945189595    0.000267915
   -0.523598790    1.570796371    0.910055581    0.000504690
   -0.523598790    2.094395161    0.782750533    0.001085567
   -0.523598790    2.617993832    0.501400547    0.002152905
   -0.523598790    3.141592741    0.380802866    0.002028904
   -0.523598790   -3.141592741    0.380802866    0.002028904
   -0.523598790   -2.617993832    0.503328237    0.001732847
   -0.523598790   -2.094395161    0.782130144    0.001321724
   -0.523598790   -1.570796371    0.910247758    0.000427118
   -0.523598790   -1.047197580    0.945818646    0.000360272
   -0.523598790   -0.523598790    0.957563983    0.000272751
