L,U,delta,dtot_raw,net,P_d,P_dxy,dtot_N,son,sext,d,dxy
10,0.0,0.1,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
10,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
10,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
10,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
10,0.0,0.6,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
10,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
10,2.0,0.1,6.613680734999999,2.3100000001718968e-07,8.171386860843146e-05,-0.0725318332983022,0.06613680735,-0.09549034,0.282009898,0.057913929,0.027036445
10,2.0,0.2,2.2170260760000007,-4.19999997003373e-08,0.0003042214299599898,-0.04510634349963772,0.022170260760000008,-0.11951149,0.268361338,0.020582023,0.133608232
10,2.0,0.3,1.8239159820000004,1.6000000027660555e-07,0.00017198917512923,-0.02486030485235641,0.018239159820000003,-0.11367061,0.248877834,0.016508891,0.160550189
10,2.0,0.4,0.4218736840000001,2.000000231400234e-09,-0.0023976030416846643,0.00021064414524774963,0.004218736840000001,-0.107964622,0.229678963,0.033501522,0.182711785
10,2.0,0.5,0.36619713600000015,1.7999999726847626e-08,0.0019400092551796174,0.00019458436615738344,0.0036619713600000016,-0.10279822,0.212032206,0.035677397,0.181465476
10,2.0,0.6,0.3174860679999993,1.0000000001675335e-08,0.001212282665557741,0.00016777942332082165,0.0031748606799999928,-0.09802241,0.196400279,0.031936318,0.176826315
10,2.0,0.7,0.26535099399999923,8.000000151914266e-09,0.0006919650304035926,0.00014374511695517065,0.0026535099399999924,-0.093724849,0.182790124,0.028816484,0.170667426
10,3.5,0.1,2.4323396830000004,-1.389999996215252e-07,0.0002152023672182989,-0.0001958558392282648,0.024323396830000003,-0.076261233,0.433035714,0.198134541,-0.014693256
10,3.5,0.2,4.585427865,-2.869999999322026e-07,0.0019542733980400743,-0.0021002564845544803,0.04585427865,-0.081100089,0.426536579,0.190646054,0.011547335
10,3.5,0.3,2.5246926429999994,1.5699999977858425e-07,0.0003336319349428867,0.021420869407607592,0.025246926429999993,-0.154058128,0.428341468,0.064027287,0.280198237
10,3.5,0.4,3.6455801119999998,-2.0199999947734248e-07,0.005940811938678619,0.0014916976137210104,0.03645580112,-0.117585481,0.392460917,0.180950121,0.224927304
