L,nup,delta,U,seed,n,eq_son_full,eq_son_vertex,chi_son_full,chi_son_vertex,eq_sext_full,eq_sext_vertex,chi_sext_full,chi_sext_vertex,eq_d_full,eq_d_vertex,chi_d_full,chi_d_vertex,eq_dxy_full,eq_dxy_vertex,chi_dxy_full,chi_dxy_vertex
10,25,0.5,4.0,1,0.5,55.35179520890098,-13.182187777596496,15.585794034065094,-28.422731144584514,215.8504911539951,11.878431959779538,31.991701340852167,-11.415183163760812,335.05860252605504,-1.7154348776896158,266.6126923489086,-7.235510509790265,262.528642134416,-9.782717935611085,155.90339591734136,-25.6628182822566
10,25,0.5,4.0,2,0.5,55.29051774971024,-13.033953634131857,15.546495868079873,-28.070783442554763,216.20858601214445,11.884911414532906,31.02113609999558,-12.151202624872024,336.1493591882645,0.2456071351873675,272.02901125177067,-0.6265489494447778,260.4435330306815,-10.739291512840657,152.67838381300663,-26.530657336298997
10,25,0.5,4.0,3,0.5,55.29696183827963,-12.963791592748953,15.443464798305161,-27.956797482114574,215.7640924546253,11.960542438249906,31.263237465229555,-11.385566120932655,335.6428359840863,-1.493282170926055,268.4915407577904,-5.477373282454616,260.3226016003949,-10.188324813801794,155.28298937687788,-24.354535303989465
10,25,0.5,4.0,4,0.5,55.274234710484976,-13.0884371141176,15.43031036151685,-28.226290449310387,216.39127892988503,12.280488388156636,31.30135158553113,-11.87445466574253,334.28007564093326,-1.6056903643431866,268.66969874089415,-4.395688957052241,260.4474662526856,-10.645299837272816,152.6825813941879,-26.591818659479156
10,25,0.5,4.0,5,0.5,55.29341596444981,-13.11904774800081,15.562506204046912,-28.24837076358134,216.27599355412593,12.01746043315929,31.96795676232339,-11.442818920912757,335.46029496532634,-0.43089031905535224,270.259557810641,-3.2003019940857116,261.47717350236866,-9.567965502189617,154.10307804608368,-25.857868210055408
10,25,0.5,4.0,6,0.5,55.29120810358671,-13.11656428964044,15.551873548543274,-28.04009631061864,216.00219943912583,12.018629550336467,31.490301494442594,-11.433270077430825,334.43424264234375,-1.5316086001723348,268.8212726813961,-3.9333944404321146,261.6019604202248,-10.064196791555322,155.2611294634815,-24.505650264151228
10,25,0.6,4.0,1,0.5,55.1684492909978,-12.996521665659495,16.01941626155056,-30.86321852807497,213.4525306193933,-4.276117888258715,57.827920872196934,-32.2174204395111,331.6744382961183,-1.3244282718416813,278.31716736915666,-7.050251360889147,230.30810654522574,-5.896250780050052,84.76723620325738,-24.907054165841732
10,25,0.6,4.0,2,0.5,55.089498417624306,-12.938251699697863,15.843270267270274,-30.56394265130634,212.45603451723872,-5.083873243662869,56.40460203356979,-33.609688704839364,332.1695604098128,-0.3956358769620934,280.76513549393803,-2.782865209788471,230.79906369985656,-5.043378382890781,84.53747551988434,-24.04664754592175
10,25,0.6,4.0,3,0.5,55.155940520715,-13.067340222638725,15.883734503089169,-30.953336548536566,212.708602443266,-4.8128410405941695,59.03289937905148,-30.588141502982047,333.94666298738883,-0.2958008991820719,281.2303536521038,-5.630619255500836,229.6725591000215,-6.018292601997058,85.16394992480377,-23.588258478978855
10,25,0.6,4.0,4,0.5,55.15681854530379,-12.956408822327694,15.991542291178103,-30.951176269149652,213.72982213804872,-4.070947703326442,59.02983855695258,-32.14792156138285,332.07092235155363,-0.5091927693890369,281.67666674489,-3.44056910062762,228.86627149458658,-7.075953551726431,84.42579514834998,-23.881410455896734
10,25,0.6,4.0,5,0.5,55.18548900128555,-12.96123418035594,16.007815640084466,-30.48052572168308,213.34429012984805,-4.252126792825516,58.873954280556816,-30.410211875136078,332.563136994582,-0.33783125810191733,278.5374292237091,-5.12275776479657,230.7604751284961,-5.372458090594923,85.49301056443103,-22.69489148275928
10,25,0.6,4.0,6,0.5,55.119306868438876,-13.035733429608616,15.88513287916885,-30.77654631353579,212.74822350444805,-5.045672296314027,59.08494840485439,-30.746897168658087,331.37665241986093,-1.9082226522851826,278.25685130570116,-7.003194592281467,231.27712919301433,-4.204271058625479,86.99796257093385,-21.155091732052803
10,25,0.7,4.0,1,0.5,55.731681530186584,-13.024489559071844,17.207954903248048,-33.915481274319234,212.38731555040266,-4.7626592494508575,65.96991155623856,-32.029876427494955,335.84141833539104,-0.2109013704396844,287.12249736056094,-5.284106873384053,228.61792557992885,-5.814822623994647,87.37160963847666,-32.07496092020959
