L,nup,delta,U,seed,n,eq_son_full,eq_son_vertex,chi_son_full,chi_son_vertex,eq_sext_full,eq_sext_vertex,chi_sext_full,chi_sext_vertex,eq_d_full,eq_d_vertex,chi_d_full,chi_d_vertex,eq_dxy_full,eq_dxy_vertex,chi_dxy_full,chi_dxy_vertex
10,25,0.0,4.0,1,0.5,56.684895683902326,-13.983950168501034,13.491144947255444,-23.53179915844019,230.66941675661838,18.89532667806322,32.86296455393659,-8.341371342088575,325.58331217115426,-0.2933189045812966,247.60728915753415,-0.5349005900032658,334.1173598739978,1.7983493750111705,183.64944358041743,2.0786641449611745
10,25,0.0,4.0,2,0.5,56.72153195825287,-13.91515020406573,13.51867606501933,-23.533285901318195,230.74466461612332,19.08414748428794,33.06643314661959,-8.18053486680075,326.0545376790368,0.05128890797733874,247.89161979398494,-0.5801621475524825,333.4178778740903,1.270417765059051,183.84921455142435,2.3742056837862835
10,25,0.0,4.0,3,0.5,56.726253016886425,-13.916766365393865,13.47373311623833,-23.439191363144865,230.40135512228613,18.96109556898445,32.47023375640426,-8.467021244379932,327.82506832759105,0.9169384219851608,250.31779191643136,1.5784695934363626,334.2875973755714,1.6310345306774778,184.27625915840002,2.855066041401813
10,25,0.0,4.0,4,0.5,56.7717674873785,-13.95227160782498,13.555434436191302,-23.66950243680086,230.8184179433355,19.17101410399663,33.08959913258307,-8.172722987999233,327.87480439883103,0.5824038171024967,251.73546666664424,1.0376809957443727,333.2262475943639,0.7286916345492116,183.6458435039223,1.895075839702029
10,25,0.0,4.0,5,0.5,56.74660892473878,-13.895720555124626,13.527603962827786,-23.472166583682252,230.71334900216843,19.027834149187715,32.89918111654556,-8.2805898509982,326.860806904147,0.2321958627417942,248.68646396565563,-0.5114471153467279,333.7978916144959,1.5365438192743626,182.88735748473198,1.9865528436246631
10,25,0.0,4.0,6,0.5,56.74428788562515,-13.954564861435362,13.519950728189048,-23.489963493878637,230.82007657955938,19.134097424174325,32.64375191693919,-8.421093859349076,326.7759213942089,-0.024943760190900832,247.4392079645294,-1.4509574659276503,334.1158477804799,1.7692207007140381,183.67995774134653,2.741312170762776
10,25,0.1,4.0,1,0.5,56.68735138603453,-14.020816410975456,13.639665222851637,-23.927343062929832,230.8561464153438,19.58078542465045,32.84696757869076,-8.276267742900261,327.1414661798095,0.5200602700394441,249.40561433480588,-0.03642567391487091,333.0585391498581,0.5786922764169716,186.57085579796038,0.6726280314677282
10,25,0.1,4.0,2,0.5,56.68164912111588,-13.53925784529261,13.688855237150182,-23.26764283679677,231.14280958556884,19.183391490153618,33.344596244157984,-7.906747814105128,325.82876530568143,-0.016853987111691993,245.8031673220465,-0.35747479900599854,331.9329086678345,0.9157434554189038,186.1105412371975,1.4289803308437843
10,25,0.1,4.0,3,0.5,56.68382223551313,-13.92567949786679,13.642483803341452,-23.689094277158414,230.7273344195644,19.384517437688466,32.81506012043427,-8.140465654825917,325.4897022980092,-0.6192389009142346,248.11918634383784,-0.13419128186627766,332.5374159511374,0.6843801686757004,186.49481443740441,1.803465308718269
10,25,0.1,4.0,4,0.5,56.68145638183576,-13.911269035398487,13.643379067460838,-23.79785065497497,230.20565521417353,18.931134187305908,32.63716097310224,-8.47190934612505,327.24493710819127,1.0857529375254003,249.88882536082264,1.121053222246411,332.68898814191635,1.0040975796273401,186.68145121115595,1.4384208110100203
