n,delta,channel,full,unpair,vertex
0.500,0.0000,sowave,0.070221699,0.019495618,-0.123117933
0.500,0.0000,swave,1.794368541,0.158507425,0.219602545
0.500,0.0000,dwave,0.368876459,0.036934919,-0.000619445
0.500,0.0000,dd12wave,0.376407944,0.037060235,0.010693340
0.500,0.1000,sowave,0.068188503,0.018623768,-0.117274860
0.500,0.1000,swave,1.763024856,0.154726466,0.218964390
0.500,0.1000,dwave,0.300042595,0.030066631,0.000489618
0.500,0.1000,dd12wave,0.409932450,0.040190733,0.007082176
0.500,0.2000,sowave,0.062568777,0.016466777,-0.104783985
0.500,0.2000,swave,1.682603392,0.145331500,0.212750958
0.500,0.2000,dwave,0.248115681,0.025167668,-0.005846577
0.500,0.2000,dd12wave,0.398684220,0.039042963,0.002843570
0.500,0.3000,sowave,0.050041555,0.012766914,-0.077957987
0.500,0.3000,swave,1.426986759,0.124507449,0.179033294
0.500,0.3000,dwave,0.182702069,0.019007950,-0.006528884
0.500,0.3000,dd12wave,0.319616706,0.031830371,-0.000837427
0.500,0.4000,sowave,0.032763568,0.007755081,-0.044681745
0.500,0.4000,swave,0.991223758,0.087566988,0.114993288
0.500,0.4000,dwave,0.098384483,0.010538479,-0.010924516
0.500,0.4000,dd12wave,0.249302883,0.025367095,0.001591914
0.580,0.0000,sowave,0.075471608,0.017933747,-0.102291734
0.580,0.0000,swave,1.761876437,0.149515717,0.275143632
0.580,0.0000,dwave,0.452993961,0.044684956,0.007675820
0.580,0.0000,dd12wave,0.422900368,0.040944182,0.014046835
0.580,0.1000,sowave,0.073646011,0.017445581,-0.099480162
0.580,0.1000,swave,1.737070606,0.147921552,0.270446020
0.580,0.1000,dwave,0.422201219,0.042017451,-0.000716581
0.580,0.1000,dd12wave,0.418141682,0.040743929,0.010188795
0.580,0.3000,sowave,0.055081213,0.011600331,-0.062627764
0.580,0.3000,swave,1.372881054,0.115827467,0.203773003
0.580,0.3000,dwave,0.265314245,0.027515708,-0.005836875
0.580,0.3000,dd12wave,0.389737675,0.037424514,0.016970123
0.580,0.4000,sowave,0.052805871,0.011091644,-0.057232189
0.580,0.4000,swave,1.257716409,0.107591649,0.177101237
0.580,0.4000,dwave,0.206074764,0.021221706,-0.010262372
0.580,0.4000,dd12wave,0.471391160,0.045480756,0.024556574
0.660,0.2000,sowave,0.083293276,0.016493854,-0.082722878
0.660,0.2000,swave,1.726564336,0.141973666,0.306057216
0.660,0.2000,dwave,0.565716441,0.053574001,0.018980727
0.660,0.2000,dd12wave,0.499069779,0.048876638,0.011580442
0.740,0.0000,sowave,0.113445183,0.021615334,-0.103975508
0.740,0.0000,swave,1.958302440,0.155947532,0.391180915
0.740,0.0000,dwave,0.992063565,0.093633279,0.052068949
0.740,0.0000,dd12wave,0.604718374,0.061339251,0.000368773
0.740,0.1000,sowave,0.112314784,0.021138168,-0.098691570
0.740,0.1000,swave,1.952266595,0.156494800,0.385359994
0.740,0.1000,dwave,0.944584476,0.091081944,0.046934548
0.740,0.1000,dd12wave,0.583677506,0.057615660,0.009155106
0.740,0.2000,sowave,0.105684415,0.019036825,-0.082648831
0.740,0.2000,swave,1.839239264,0.149713313,0.347431578
0.740,0.2000,dwave,0.731557154,0.071147595,0.035219957
0.740,0.2000,dd12wave,0.643177311,0.061930506,0.024175810
0.740,0.3000,sowave,0.105110303,0.018244361,-0.077197950
0.740,0.3000,swave,1.763768128,0.144536579,0.318539265
0.740,0.3000,dwave,0.651433119,0.060274946,0.038946420
0.740,0.3000,dd12wave,0.823503003,0.076794015,0.060979690
0.740,0.4000,sowave,0.109487041,0.018342962,-0.076087092
0.740,0.4000,swave,1.718210027,0.142268100,0.288974962
0.740,0.4000,dwave,0.545553996,0.050826244,0.040799358
0.740,0.4000,dd12wave,0.971894848,0.085643212,0.107071589
0.780,0.0000,sowave,0.125732262,0.022677795,-0.103078683
0.780,0.0000,swave,2.028355366,0.160806151,0.416618885
0.780,0.0000,dwave,1.142123216,0.106741346,0.078123347
0.780,0.0000,dd12wave,0.634373535,0.061754723,0.002635370
0.780,0.1000,sowave,0.122198438,0.021702272,-0.092734244
0.780,0.1000,swave,1.970111776,0.158603731,0.392576795
0.780,0.1000,dwave,1.039351845,0.095909555,0.076415259
0.780,0.1000,dd12wave,0.608337760,0.060971887,0.006204870
0.820,0.2000,sowave,0.140486814,0.023576264,-0.094745809
0.820,0.2000,swave,2.005614048,0.160407396,0.400943398
0.820,0.2000,dwave,1.042372393,0.094985533,0.084145414
0.820,0.2000,dd12wave,0.775942418,0.074599414,0.033386903
0.820,0.3000,sowave,0.147329914,0.024717868,-0.096680907
0.820,0.3000,swave,1.995388228,0.161078337,0.391676900
0.820,0.3000,dwave,0.884233050,0.080659253,0.068831380
0.820,0.3000,dd12wave,0.986326327,0.090707945,0.091053836
0.820,0.4000,sowave,0.155783492,0.025676340,-0.100564084
0.820,0.4000,swave,1.946287260,0.157681876,0.369440529
0.820,0.4000,dwave,0.754355859,0.069064368,0.060270163
0.820,0.4000,dd12wave,1.254800941,0.109160350,0.165072790
0.860,0.0000,sowave,0.158297702,0.026344071,-0.104129566
0.860,0.0000,swave,2.201460360,0.173627551,0.467925620
0.860,0.0000,dwave,1.596887611,0.150216726,0.133920170
0.860,0.0000,dd12wave,0.775085180,0.077822598,-0.007943873
0.860,0.1000,sowave,0.157387796,0.025858660,-0.101865519
0.860,0.1000,swave,2.146742072,0.170405343,0.449608166
0.860,0.1000,dwave,1.532161075,0.137487824,0.152484457
0.860,0.1000,dd12wave,0.785116577,0.078700400,0.001243560
0.860,0.2000,sowave,0.161842994,0.026359680,-0.101876397
0.860,0.2000,swave,2.129018229,0.169864698,0.435011969
0.860,0.2000,dwave,1.396808960,0.130293385,0.111590277
0.860,0.2000,dd12wave,0.839379059,0.079142870,0.038828770
0.900,0.4000,sowave,0.205105590,0.032446003,-0.118613669
0.900,0.4000,swave,2.131710866,0.171133683,0.423601397
0.900,0.4000,dwave,1.385788488,0.127665169,0.104608930
0.900,0.4000,dd12wave,1.269322598,0.110741393,0.164816079
0.940,0.1000,sowave,0.191685624,0.028529790,-0.097108628
0.940,0.1000,swave,2.281979616,0.180644832,0.475049852
0.940,0.1000,dwave,2.004714218,0.176523324,0.218149221
0.940,0.1000,dd12wave,0.915574713,0.090834552,-0.004928250
0.940,0.2000,sowave,0.197084494,0.028960419,-0.093514291
0.940,0.2000,swave,2.267198726,0.181883885,0.453851759
0.940,0.2000,dwave,1.977042389,0.180278096,0.179231986
0.940,0.2000,dd12wave,0.934258997,0.088759381,0.042784401
0.980,0.4000,sowave,0.248312334,0.036458303,-0.113928840
0.980,0.4000,swave,2.196499581,0.175615262,0.439804739
0.980,0.4000,dwave,1.869054728,0.168595037,0.183353853
0.980,0.4000,dd12wave,1.681739169,0.148952438,0.198129325
