L,n,U,delta,dtot_N,net,son,sext,d,dxy
12,1.0,0.0,0.1,0.0,0.0,0.0,-0.0,-0.0,-0.0
12,1.0,0.0,0.2,0.0,0.0,0.0,0.0,-0.0,-0.0
12,1.0,0.0,0.3,0.0,0.0,-0.0,-0.0,-0.0,-0.0
12,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,0.0,0.5,0.0,0.0,0.0,-0.0,-0.0,0.0
12,1.0,0.0,0.6,0.0,0.0,-0.0,0.0,0.0,-0.0
12,1.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,2.0,0.1,0.060753789722222215,-0.0025556319999995303,-0.10622456,0.284346386,0.046870414,0.017359874
12,1.0,2.0,0.2,0.08046516872916666,0.004306237000000657,-0.101387757,0.269836989,0.038903561,0.073015779
12,1.0,2.0,0.3,0.01466567247916667,0.051147106999999956,-0.115899432,0.249585004,0.020589607,0.165072104
12,1.0,2.0,0.4,0.0034750798611111167,-0.0009971219999991739,-0.110011924,0.229221828,0.022896459,0.182875144
12,1.0,2.0,0.5,0.0026662366597222232,-0.001848920999999686,-0.104689685,0.211165838,0.019515466,0.182798458
12,1.0,2.0,0.6,0.003563413506944443,0.00031131100000023754,-0.100011094,0.195483959,0.020053445,0.179415847
12,1.0,2.0,0.7,0.0022343569097222258,0.00029861499999987284,-0.095582769,0.181542202,0.021002399,0.173618306
12,1.0,3.5,0.1,0.02864662692361111,-0.007463252999999753,-0.076884577,0.433107655,0.18535332,-0.012611635
12,1.0,3.5,0.2,0.05257327515277778,0.012676213999999741,-0.085288497,0.431500453,0.177106868,0.01698043
12,1.0,3.5,0.3,0.06851265176388889,-0.008737112000000713,-0.126411244,0.422798536,0.107102208,0.196092567
12,1.0,3.5,0.4,0.033813624708333344,-0.000725483999999707,-0.126409556,0.392748555,0.140499293,0.265194033
12,1.0,3.5,0.5,0.008530985423611113,-0.006997923000000267,-0.148425547,0.365972049,0.059250751,0.327154838
12,1.0,3.5,0.6,0.006931409645833334,0.0015248389999996462,-0.143670415,0.338904194,0.050897178,0.321835744
12,1.0,3.5,0.7,0.005897441090277773,0.0038570690000012224,-0.139031364,0.314572396,0.045282279,0.312158337
12,1.0,3.0,0.1,0.028131640937500004,-0.0007605189999990436,-0.080599954,0.39369183,0.159774721,-0.006531306
12,1.0,3.0,0.2,0.09189124823611111,0.009940367999999977,-0.119661004,0.394299733,0.08744347,0.096368521
12,1.0,3.0,0.3,0.018185113416666662,0.0033891979999997046,-0.146647548,0.371700515,0.047170392,0.248299341
12,1.0,3.0,0.4,0.007195184958333335,0.0008450900000000865,-0.141896016,0.34211747,0.042578753,0.27897997
12,1.0,3.0,0.5,0.006141295388888889,-0.00031532199999999636,-0.136796855,0.315853251,0.039094969,0.279789615
12,1.0,3.0,0.6,0.004699029312500002,0.0008095730000002403,-0.131700032,0.292019459,0.037724116,0.274745005
12,1.0,3.0,0.7,0.0042403457222222225,-0.0016834639999993104,-0.1268191,0.270963665,0.037033984,0.265573504
12,1.0,4.5,0.1,0.02523854086111111,-0.0006488520000001163,-0.066292271,0.476275412,0.217696171,-0.020797957
12,1.0,4.5,0.2,0.049659338472222224,-0.0014571040000009305,-0.070761923,0.47992423,0.216669343,-0.004881698
12,1.0,4.5,0.3,0.07125318124305556,-0.005685913000000764,-0.084179533,0.490266923,0.214583507,0.032416664
12,1.0,4.5,0.4,0.07451411427083333,0.019602660999999993,-0.107232709,0.483020866,0.196061395,0.165683279
12,1.0,4.5,0.5,0.047304236680555556,0.030611774000000175,-0.13460095,0.454329199,0.151243121,0.340487702
12,1.0,4.5,0.6,0.037643705215277774,-0.016177018999999973,-0.134878953,0.422272942,0.157303895,0.352241614
12,1.0,4.5,0.7,0.01092530190277778,0.0036253079999999174,-0.156263857,0.396847369,0.068327511,0.40213133
12,1.0,4.0,0.1,0.027490717583333338,-0.004073367999999675,-0.071801775,0.460091393,0.206504731,-0.016515776
12,1.0,4.0,0.2,0.053038879201388896,0.0038775209999995786,-0.079104913,0.464719883,0.203977702,0.003696447
12,1.0,4.0,0.3,0.06900290293055557,-0.006095215999999959,-0.089821294,0.457962219,0.18947641,0.056131925
12,1.0,4.0,0.4,0.04358750042361111,0.02116839499999977,-0.13120621,0.443474598,0.156720815,0.289398578
12,1.0,4.0,0.5,0.035932143770833334,0.008373567000000012,-0.131039137,0.410102955,0.150317459,0.311543039
12,1.0,4.0,0.6,0.00986989867361111,-0.0016120689999997821,-0.152912632,0.383409687,0.064066629,0.368156392
12,1.0,4.0,0.7,0.008092863354166667,0.001083527000000032,-0.148672317,0.356407424,0.055824707,0.357636791
12,1.0,5.0,0.1,0.02287814993055556,0.0018171139999999114,-0.061507353,0.487637399,0.231126223,-0.021929601
12,1.0,5.0,0.2,0.046878761784722216,-0.003351215000000324,-0.067412323,0.502524829,0.246864591,-0.01451157
12,1.0,5.0,0.3,0.06851881740972222,0.006215254999999864,-0.073389673,0.501171909,0.228169623,0.01440315
12,1.0,5.0,0.4,0.0851411308125,0.019376640999999806,-0.087241474,0.501873429,0.214740207,0.074162533
12,1.0,5.0,0.5,0.05827529134722223,0.0008557379999999393,-0.135523696,0.49766044,0.191618349,0.351745391
12,1.0,5.0,0.6,0.046330058562500005,0.025432659000000524,-0.138262022,0.462531388,0.168512736,0.3828355
12,1.0,5.0,0.7,0.03549717169444444,-0.0017598219999998416,-0.138365037,0.431372894,0.16452612,0.3867984
