L,n,U,delta,dtot_N,net,son,sext,d,dxy
12,0.847,0.0,0.1,0.0,0.0,0.0,0.0,0.0,-0.0
12,0.847,0.0,0.2,0.0,0.0,0.0,0.0,-0.0,-0.0
12,0.847,0.0,0.3,0.0,0.0,0.0,-0.0,-0.0,-0.0
12,0.847,0.0,0.4,0.0,0.0,0.0,0.0,-0.0,-0.0
12,0.847,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
12,0.847,0.0,0.6,0.0,0.0,0.0,-0.0,0.0,0.0
12,0.847,0.0,0.7,0.0,0.0,0.0,-0.0,-0.0,0.0
12,0.847,2.0,0.1,0.026439801270833334,-0.005921379000000115,-0.111505285,0.269959079,0.044924146,-0.001510217
12,0.847,2.0,0.2,0.09917522091666667,0.0003388240000004039,-0.096984015,0.250158744,0.03392826,0.003559653
12,0.847,2.0,0.3,0.14539072125694444,-0.0058361129999995875,-0.078920705,0.22598723,0.027282845,0.044638307
12,0.847,2.0,0.4,0.0007632706736111117,-0.0007192110000001995,-0.102375636,0.218705696,0.017565851,0.141568085
12,0.847,2.0,0.5,0.00022892448611111233,-0.0016584440000003316,-0.110999814,0.202995391,0.014013059,0.136262753
12,0.847,2.0,0.6,0.0009971340833333303,0.0015590860000001296,-0.109002958,0.182805289,0.010949918,0.145768468
12,0.847,2.0,0.7,0.014705549361111113,0.00019943200000038797,-0.103953019,0.156266223,0.009301321,0.154846073
12,0.847,3.0,0.1,0.01711087275,0.014969099999998917,-0.107853786,0.377257899,0.096757947,0.000914851
12,0.847,3.0,0.2,0.1415285467986111,-0.005159935000001004,-0.086368115,0.327743424,0.07584009,0.020501913
12,0.847,3.0,0.3,0.04707782651388889,0.01537063600000041,-0.099654405,0.338349347,0.052574562,0.083708027
12,0.847,3.0,0.4,0.02359437751388889,-0.0030310400000002624,-0.108088712,0.318507699,0.032588853,0.181242275
12,0.847,3.0,0.5,0.002461422069444441,0.013812105999999887,-0.119037665,0.291726821,0.02688542,0.2329034
12,0.847,3.0,0.6,0.0013307988333333342,0.003926745999999544,-0.126923851,0.267963667,0.023986509,0.241126159
12,0.847,3.5,0.1,0.012378867611111106,0.042811125999999824,-0.104872695,0.411623667,0.105536399,0.00195784
12,0.847,3.5,0.2,0.015448923895833334,0.02827531500000033,-0.100447216,0.395604748,0.088544533,0.030234954
12,0.847,3.5,0.3,0.08392008853472221,0.021182347000000157,-0.099005051,0.37418584,0.073214232,0.077856656
12,0.847,3.5,0.4,0.1491031715486111,0.005697997000000121,-0.088307014,0.334818658,0.085666849,0.058884108
12,0.847,3.5,0.5,0.003042099159722222,-0.014033198999999538,-0.118563223,0.331030355,0.036761996,0.259283131
12,0.847,3.5,0.6,0.0066146160694444435,0.0020615840000000885,-0.128150795,0.305433592,0.029942943,0.280597049
12,0.847,4.0,0.1,0.015133673736111112,-0.035070811999999965,-0.10224383,0.438285476,0.109478194,0.003681565
12,0.847,4.0,0.2,0.028896455701388893,0.16979299300000017,-0.099637548,0.428020576,0.107120281,0.03622418
12,0.847,4.0,0.3,0.04282708996527778,-0.009729231000000602,-0.10118828,0.407451941,0.088948858,0.102552896
12,0.847,4.0,0.4,0.14694990106250003,-0.006615287000000192,-0.094046386,0.371699829,0.097408089,0.065032374
12,0.847,4.0,0.5,0.14777607112500002,-0.0057905460000000075,-0.092978506,0.352918749,0.089600927,0.083234811
12,0.847,4.0,0.6,0.0039383690694444464,0.008420016000000072,-0.128291136,0.341623041,0.040085998,0.300858156
12,0.847,4.5,0.1,0.012089260055555558,0.05131563600000019,-0.093747752,0.443442996,0.126174853,0.002963565
12,0.847,4.5,0.2,0.011793223451388888,0.0045392289999999225,-0.094539959,0.437043952,0.116972389,0.038900355
12,0.847,4.5,0.3,0.0122366219375,0.1102348029999999,-0.100287384,0.424908168,0.103842699,0.102464549
12,0.847,4.5,0.4,0.023878022138888885,0.1092608879999996,-0.106106028,0.413585943,0.085799985,0.178425396
12,0.847,4.5,0.5,0.1471897597777778,-0.019420814000000397,-0.097217883,0.38604868,0.100374321,0.089778941
12,0.847,4.5,0.6,0.005716570902777778,-0.011358912000000568,-0.125188433,0.370095808,0.048029701,0.322483416
12,0.847,5.0,0.1,0.015334672659722222,-0.13942077899999966,-0.086416964,0.441795397,0.119464118,0.000657105
12,0.847,5.0,0.2,0.0149100415625,0.26489083899999977,-0.091867776,0.444186444,0.125422966,0.041111626
12,0.847,5.0,0.3,0.012372700604166668,-0.07288696900000019,-0.096838906,0.432871751,0.099981764,0.100525582
12,0.847,5.0,0.4,0.012321896881944452,-0.14482346899999954,-0.103477746,0.426418956,0.099268731,0.18558257
12,0.847,5.0,0.5,0.02458666575,-0.10255721800000009,-0.109931276,0.407347638,0.074456754,0.24429525
12,0.847,5.0,0.6,0.14406363993750002,-0.014663177000000527,-0.100267132,0.392710653,0.102149417,0.117172718
