L,n,U,delta,delta_tot,net,son,sext,d,dxy,dtot_N,m_trial
12,1.0,0.0,0.1,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
12,1.0,2.0,0.1,8.74854572,-0.0025556319999995,-0.10622456,0.284346386,0.046870414,0.017359874,0.060753789722222215,0.15
12,1.0,3.5,0.1,4.125114277,-0.0074632529999997,-0.076884577,0.433107655,0.18535332,-0.012611635,0.02864662692361111,0.6265
12,1.0,3.0,0.1,4.050956295000001,-0.000760518999999,-0.080599954,0.39369183,0.159774721,-0.006531306,0.028131640937500004,0.5543
12,1.0,4.0,0.1,3.958663332,-0.0040733679999996,-0.071801775,0.460091393,0.206504731,-0.016515776,0.027490717583333334,0.6849
12,1.0,0.0,0.3,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
12,1.0,2.0,0.3,2.1118568370000004,0.0511471069999999,-0.115899432,0.249585004,0.020589607,0.165072104,0.01466567247916667,0.0317
12,1.0,3.5,0.2,7.570551622,0.0126762139999997,-0.085288497,0.431500453,0.177106868,0.01698043,0.05257327515277778,0.5968
12,1.0,4.5,0.2,7.15094474,-0.0014571040000009,-0.070761923,0.47992423,0.216669343,-0.004881698,0.049659338472222224,0.719
12,1.0,4.0,0.2,7.637598605000001,0.0038775209999995,-0.079104913,0.464719883,0.203977702,0.003696447,0.053038879201388896,0.6653
12,1.0,5.0,0.2,6.750541696999999,-0.0033512150000003,-0.067412323,0.502524829,0.246864591,-0.01451157,0.046878761784722216,0.7611
12,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,2.0,0.4,0.5004115000000008,-0.0009971219999991,-0.110011924,0.229221828,0.022896459,0.182875144,0.0034750798611111167,0.0293
12,1.0,3.5,0.3,9.865821854,-0.0087371120000007,-0.126411244,0.422798536,0.107102208,0.196092567,0.06851265176388889,0.3309
12,1.0,3.0,0.3,2.6186563319999996,0.0033891979999997,-0.146647548,0.371700515,0.047170392,0.248299341,0.018185113416666662,0.0779
12,1.0,4.5,0.3,10.260458099,-0.0056859130000007,-0.084179533,0.490266923,0.214583507,0.032416664,0.07125318124305555,0.6919
12,1.0,4.0,0.3,9.936418022000002,-0.0060952159999999,-0.089821294,0.457962219,0.18947641,0.056131925,0.06900290293055557,0.6239
12,1.0,5.0,0.3,9.866709707,0.0062152549999998,-0.073389673,0.501171909,0.228169623,0.01440315,0.06851881740972222,0.7436
12,1.0,3.5,0.5,1.2284619010000002,-0.0069979230000002,-0.148425547,0.365972049,0.059250751,0.327154838,0.008530985423611113,0.0762
12,1.0,3.0,0.5,0.884346536,-0.0003153219999999,-0.136796855,0.315853251,0.039094969,0.279789615,0.006141295388888889,0.05
12,1.0,4.0,0.5,5.174228703,0.008373567,-0.131039137,0.410102955,0.150317459,0.311543039,0.035932143770833334,0.276
12,1.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,2.0,0.6,0.5131315449999998,0.0003113110000002,-0.100011094,0.195483959,0.020053445,0.179415847,0.003563413506944443,0.0258
12,1.0,3.5,0.6,0.9981229890000002,0.0015248389999996,-0.143670415,0.338904194,0.050897178,0.321835744,0.006931409645833334,0.063
12,1.0,3.0,0.6,0.6766602210000003,0.0008095730000002,-0.131700032,0.292019459,0.037724116,0.274745005,0.004699029312500002,0.0438
12,1.0,4.5,0.6,5.420693550999999,-0.0161770189999999,-0.134878953,0.422272942,0.157303895,0.352241614,0.037643705215277774,0.2814
12,1.0,4.0,0.6,1.421265409,-0.0016120689999997,-0.152912632,0.383409687,0.064066629,0.368156392,0.009869898673611112,0.092
12,1.0,5.0,0.6,6.671528433000001,0.0254326590000005,-0.138262022,0.462531388,0.168512736,0.3828355,0.046330058562500005,0.3402
