L,n,U,delta,son,sext,d,dxy
4,0.5,4.0,0.2,-0.101074603,0.166599176,0.044581472,0.001118047
4,0.75,4.0,0.2,-0.111721377,0.428030042,0.133221343,0.017577746
4,0.875,4.0,0.2,-0.096623726,0.438382509,0.161898747,-0.020059998
4,1.0,4.0,0.2,-0.062419759,0.425777147,0.189279526,-0.027787347
10,0.5,4.0,0.0,-0.123117933,0.219602545,-0.000619445,0.01069334
10,0.5,4.0,0.1,-0.11727486,0.21896439,0.000489618,0.007082176
10,0.5,4.0,0.2,-0.104783985,0.212750958,-0.005846577,0.00284357
10,0.5,4.0,0.3,-0.077957987,0.179033294,-0.006528884,-0.000837427
10,0.5,4.0,0.4,-0.044681745,0.114993288,-0.010924516,0.001591914
10,0.58,4.0,0.0,-0.102291734,0.275143632,0.00767582,0.014046835
10,0.58,4.0,0.1,-0.099480162,0.27044602,-0.000716581,0.010188795
10,0.58,4.0,0.3,-0.062627764,0.203773003,-0.005836875,0.016970123
10,0.58,4.0,0.4,-0.057232189,0.177101237,-0.010262372,0.024556574
10,0.66,4.0,0.2,-0.082722878,0.306057216,0.018980727,0.011580442
10,0.74,4.0,0.0,-0.103975508,0.391180915,0.052068949,0.000368773
10,0.74,4.0,0.1,-0.09869157,0.385359994,0.046934548,0.009155106
10,0.74,4.0,0.2,-0.082648831,0.347431578,0.035219957,0.02417581
10,0.74,4.0,0.3,-0.07719795,0.318539265,0.03894642,0.06097969
10,0.74,4.0,0.4,-0.076087092,0.288974962,0.040799358,0.107071589
10,0.78,4.0,0.0,-0.103078683,0.416618885,0.078123347,0.00263537
10,0.78,4.0,0.1,-0.092734244,0.392576795,0.076415259,0.00620487
10,0.82,4.0,0.2,-0.094745809,0.400943398,0.084145414,0.033386903
10,0.82,4.0,0.3,-0.096680907,0.3916769,0.06883138,0.091053836
10,0.82,4.0,0.4,-0.100564084,0.369440529,0.060270163,0.16507279
10,0.86,4.0,0.0,-0.104129566,0.46792562,0.13392017,-0.007943873
10,0.86,4.0,0.1,-0.101865519,0.449608166,0.152484457,0.00124356
10,0.86,4.0,0.2,-0.101876397,0.435011969,0.111590277,0.03882877
10,0.9,4.0,0.4,-0.118613669,0.423601397,0.10460893,0.164816079
10,0.94,4.0,0.1,-0.097108628,0.475049852,0.218149221,-0.00492825
10,0.94,4.0,0.2,-0.093514291,0.453851759,0.179231986,0.042784401
10,0.98,4.0,0.4,-0.11392884,0.439804739,0.183353853,0.198129325
14,0.5,4.0,0.2,-0.091307355,0.201104472,-0.001288224,0.001796505
14,0.582,4.0,0.2,-0.08869553,0.262853515,0.003491337,0.008157355
14,0.622,4.0,0.2,-0.080652404,0.273780718,0.006335065,0.010822372
14,0.704,4.0,0.2,-0.075623364,0.307316246,0.034765603,0.01260345
14,0.745,4.0,0.2,-0.079369747,0.339083966,0.042431988,0.016745791
14,0.765,4.0,0.2,-0.084377247,0.358007235,0.05400267,0.022564868
14,0.847,4.0,0.2,-0.097674759,0.422649705,0.103750319,0.032804923
14,0.888,4.0,0.2,-0.101141379,0.443094477,0.124689913,0.043980534
14,0.929,4.0,0.2,-0.097476114,0.455763831,0.164549817,0.046863376
14,0.969,4.0,0.2,-0.089687264,0.465499841,0.194761505,0.035061646
14,1.0,0.0,0.2,0.0,0.0,0.0,-0.0
14,1.0,2.0,0.1,-0.125411068,0.28595342,0.045587121,-0.010254423
14,1.0,2.0,0.2,-0.101355292,0.268843619,0.035462539,0.080452754
14,1.0,2.0,0.3,-0.117303895,0.249931561,0.019399906,0.167924849
14,1.0,3.0,0.1,-0.083157381,0.396920172,0.163378346,-0.004838943
14,1.0,3.0,0.2,-0.107056318,0.393147385,0.13097518,0.070732751
14,1.0,3.0,0.3,-0.127203969,0.369844769,0.075793018,0.200085952
14,1.0,3.5,0.1,-0.077088638,0.431744618,0.18088027,-0.012394813
14,1.0,3.5,0.2,-0.086310184,0.432068451,0.172555302,0.021880422
14,1.0,3.5,0.3,-0.114647983,0.423006172,0.137130163,0.150532051
14,1.0,4.0,0.0,-0.06964583,0.457344587,0.205030843,-0.022146375
14,1.0,4.0,0.1,-0.072213805,0.46006358,0.21015148,-0.017051785
14,1.0,4.0,0.2,-0.078329564,0.461918782,0.195378846,0.006565815
14,1.0,4.0,0.3,-0.091278576,0.457177268,0.193999396,0.063788432
14,1.0,4.0,0.4,-0.137662821,0.444925865,0.136868605,0.314362573
14,1.0,4.5,0.1,-0.066159244,0.476524323,0.211198377,-0.019300594
14,1.0,4.5,0.2,-0.071314859,0.481017505,0.210098784,-0.003896059
14,1.0,4.5,0.3,-0.082509365,0.485109323,0.194075938,0.039304989
14,1.0,5.0,0.1,-0.060993182,0.488902484,0.229875909,-0.022971285
14,1.0,5.0,0.2,-0.063836752,0.486709432,0.213896866,-0.011163226
14,1.0,5.0,0.3,-0.072239237,0.493439819,0.216792433,0.015527358
16,1.0,4.0,0.2,-0.079561233,0.462687328,0.190173237,0.009038018
16,1.0,4.0,0.3,-0.093091573,0.458567775,0.175496773,0.074613565
