L,nup,n,delta,U,h,seed,apx,apy,delta_tot,m_stag
14,98,1.0,0.3,4.0,0.05,1,1,1,6.5577866074938225,0.09280778440061754
14,98,1.0,0.3,4.0,0.05,2,1,1,6.230518653310233,0.11113851244173821
14,98,1.0,0.3,4.0,0.05,3,1,1,5.833198215775425,0.10333562700521658
14,98,1.0,0.3,4.0,0.05,4,1,1,5.455761998107306,0.09604481657118596
14,98,1.0,0.3,4.0,0.05,5,1,1,5.332194057841658,0.10047222352422458
14,98,1.0,0.3,4.0,0.05,6,1,1,5.571659978544867,0.10085507379971302
14,98,1.0,0.3,4.0,0.1,1,1,1,8.541062486564275,0.16036006102846162
14,98,1.0,0.3,4.0,0.1,2,1,1,8.870063258601377,0.1676363812213677
14,98,1.0,0.3,4.0,0.1,3,1,1,9.79283099057632,0.1828330566303463
14,98,1.0,0.3,4.0,0.1,4,1,1,8.901537162493474,0.16685178162458203
14,98,1.0,0.3,4.0,0.1,5,1,1,8.631266126009052,0.162859420618865
14,98,1.0,0.3,4.0,0.1,6,1,1,8.645890087632619,0.16140988120213318
14,98,1.0,0.3,4.0,0.2,1,1,1,13.572710944970066,0.2683464229949387
14,98,1.0,0.3,4.0,0.2,2,1,1,13.62769682692904,0.2710295031382003
14,98,1.0,0.3,4.0,0.2,3,1,1,14.448679134892965,0.27643761216300133
14,98,1.0,0.3,4.0,0.2,4,1,1,13.47954400132315,0.269781438798596
14,98,1.0,0.3,4.0,0.2,5,1,1,13.707042241325395,0.2732793594704641
14,98,1.0,0.3,4.0,0.2,6,1,1,14.187390039249896,0.28070337983978466
14,98,1.0,0.3,4.0,0.3,1,1,1,20.51100878667404,0.4180665306633752
14,98,1.0,0.3,4.0,0.3,2,1,1,20.408652187436175,0.4183277876854181
14,98,1.0,0.3,4.0,0.3,3,1,1,20.91745478080829,0.4225997130266939
14,98,1.0,0.3,4.0,0.3,4,1,1,21.34248981337182,0.4369505965850116
14,98,1.0,0.3,4.0,0.3,5,1,1,21.13707257458018,0.4200133934682342
14,98,1.0,0.3,4.0,0.3,6,1,1,20.73063223039049,0.42401590981941983
14,98,1.0,0.3,4.0,0.5,1,1,1,20.665757439088445,0.5395694829874453
14,98,1.0,0.3,4.0,0.5,2,1,1,20.89553863626019,0.5529818824191253
14,98,1.0,0.3,4.0,0.5,3,1,1,20.39245693926422,0.5531070047297534
14,98,1.0,0.3,4.0,0.5,4,1,1,20.2192433208603,0.5635057699210133
14,98,1.0,0.3,4.0,0.5,5,1,1,20.735546225026432,0.5499732134522745
14,98,1.0,0.3,4.0,0.5,6,1,1,20.77025943264284,0.5524055667000121
