L,nup,delta,U,seed,Spipi,m,M_raw,mdelta,Psi_dxy,Psi_dx2y2,chi_pipi,chi_pipi_err,n
12,36,0.0,6.0,1,0.1300884672148068,0.030056482386269994,0.3606777886352399,0.0,-0.0005791645176938815,-0.0002947800890728485,0.03380931272904092,0.0011208891899164998,0.5
12,36,0.0,6.0,2,0.13143040734048636,0.030211109911532724,0.3625333189383927,0.0,-0.0005129853788313875,-0.00014581883761528394,0.0322495659004667,0.0008791269701255801,0.5
12,36,0.0,6.0,3,0.13540397447475838,0.030664399199999554,0.36797279039999464,0.0,-0.000693094950769945,0.000167517479376475,0.03321169411629236,0.0008547737502506704,0.5
12,36,0.0,6.0,4,0.13324868014656005,0.03041936975963397,0.3650324371156076,0.0,-0.0005949376575536579,0.00023116209834200973,0.03315204435714719,0.000958587037893044,0.5
12,36,0.0,6.0,5,0.12748680824659625,0.02975441239997909,0.3570529487997491,0.0,-0.0006077241241045409,0.0001805816022941766,0.03227978502014507,0.001356309318065811,0.5
12,36,0.0,6.0,6,0.13278129466474983,0.030365973128828966,0.3643916775459476,0.0,-0.0006115222455628708,-0.000118648306760528,0.03471971892675556,0.0012036978407544872,0.5
12,36,0.1,6.0,1,0.12784566511426973,0.02979626014870147,0.3575551217844176,0.002979626014870147,0.000549134010292353,-3.614263974309781e-05,0.032085381285875646,0.0014237464260959236,0.5
12,36,0.1,6.0,2,0.13012275444556082,0.030060443097287896,0.36072531716745476,0.0030060443097287897,0.0007677937913265387,-0.0002782420268694599,0.031725570579102476,0.0007927331160856361,0.5
12,36,0.1,6.0,3,0.13396459297764546,0.03050097823768725,0.366011738852247,0.003050097823768725,0.0005761247059357852,5.878974565685461e-05,0.033776139203448796,0.0009120079398944952,0.5
12,36,0.1,6.0,4,0.13217342644464597,0.030296386203253815,0.3635566344390458,0.0030296386203253816,0.000472480941194006,0.00016700776748885784,0.03212959991708515,0.0009650570935155938,0.5
12,36,0.1,6.0,5,0.13066022661291038,0.030122461466684253,0.36146953760021105,0.0030122461466684253,0.0003997063838220792,-0.0002485851057811094,0.03251945778424721,0.0010940402692675173,0.5
12,36,0.1,6.0,6,0.131288562334919,0.030194802985378567,0.3623376358245428,0.003019480298537857,0.0005977618883001063,2.5390202910423167e-05,0.033620567099083544,0.0009316297312660845,0.5
12,36,0.2,6.0,1,0.12854214483870322,0.029877312188383107,0.35852774626059725,0.0059754624376766215,0.0001247126108178899,0.0011298184862706087,0.032898069718964564,0.0011635207401732475,0.5
12,36,0.2,6.0,2,0.13055248439052397,0.030110039437606092,0.3613204732512731,0.006022007887521219,0.0004838891354623322,0.0007633977509192132,0.03219702013676259,0.0009938131948312768,0.5
12,36,0.2,6.0,3,0.12807358592887974,0.0298228084238203,0.3578737010858436,0.005964561684764061,0.0001450667670143217,0.000547487899670743,0.031743285921959914,0.0008191014670653251,0.5
12,36,0.2,6.0,4,0.1302094107116063,0.030070450924962855,0.36084541109955426,0.006014090184992571,0.0002451990799802089,0.0009908161639890253,0.031914019408162395,0.0008031463411343752,0.5
12,36,0.2,6.0,5,0.12748289854964595,0.029753956150313246,0.35704747380375895,0.00595079123006265,2.7644665551391863e-05,0.0005982042737477809,0.03222519030234584,0.0007651373849905345,0.5
12,36,0.2,6.0,6,0.12601894297546518,0.02958262240641844,0.35499146887702127,0.0059165244812836885,0.0003081276091804807,0.0008587396377883734,0.03132365079647898,0.0006963982961028514,0.5
12,36,0.3,6.0,1,0.12877334305040436,0.029904169052807992,0.3588500286336959,0.008971250715842398,0.0002742034726656213,0.0011606487923809883,0.03241672050519512,0.0011257500930023404,0.5
12,36,0.3,6.0,2,0.1299821810091181,0.030044201350436034,0.3605304162052324,0.00901326040513081,0.00024882359285429984,-3.2237282429272647e-05,0.03252962941996552,0.001051517229809317,0.5
12,36,0.3,6.0,3,0.12755200218662927,0.029762019302505386,0.35714423163006465,0.008928605790751616,8.08151861488847e-05,0.0007456558078914198,0.03171196735530186,0.0010038949849662745,0.5
12,36,0.3,6.0,4,0.12702732436364567,0.029700744047410018,0.3564089285689202,0.008910223214223006,7.866229131059147e-05,0.0005251206382006382,0.03165705786368887,0.0009325557506799084,0.5
12,36,0.3,6.0,5,0.12938264509542488,0.029974832625728715,0.3596979915087446,0.008992449787718614,0.00020406199047374497,0.0006000885524233834,0.03264612608788792,0.0008957084529998707,0.5
