U,delta,nL,m2_max,ratio,expected,intercept,verdict
0.0,0.1,3,0.001429828013888889,0.47474700437044365,0.4444444444444444,-0.0017567055756578928,1/N decay
0.0,0.2,4,0.0009927467653061224,0.34144515228952593,0.32653061224489793,-0.001617537372326972,1/N decay
0.0,0.3,3,0.0012845187847222222,0.4577836452414299,0.4444444444444444,-0.0017860331274671055,1/N decay
0.0,0.4,3,0.0011805168125,0.44810049511635713,0.4444444444444444,-0.0017710953100328931,1/N decay
0.0,0.5,3,0.0011111573263888888,0.4428292421477413,0.4444444444444444,-0.0017294946192434207,1/N decay
0.0,0.6,3,0.0011388214236111112,0.44588538122366755,0.4444444444444444,-0.0017354023396381564,1/N decay
0.0,0.7,3,0.0011686450138888888,0.4468798023252091,0.4444444444444444,-0.0017683308708881557,1/N decay
2.0,0.1,4,0.001375416775510204,0.06147967699189268,0.32653061224489793,-0.027210990850954554,1/N decay
2.0,0.2,4,0.005268438989795919,1.2424061925995784,0.32653061224489793,0.008519520727440048,ORDER
2.0,0.3,4,0.0012334178469387755,0.31295861846494955,0.32653061224489793,-0.002495927967309389,1/N decay
2.0,0.4,3,0.001550996402777778,0.41700482864001126,0.4444444444444444,-0.002865135532072364,1/N decay
2.0,0.5,3,0.0014367456805555554,0.4112403883442407,0.4444444444444444,-0.0027572755699013154,1/N decay
2.0,0.6,3,0.0013378460555555556,0.4036560874521163,0.4444444444444444,-0.0026923613708881547,1/N decay
2.0,0.7,3,0.0013602555625,0.4284840814355434,0.4444444444444444,-0.002362761526315788,1/N decay
3.0,0.1,4,0.050895927505102044,0.8284053890769476,0.32653061224489793,0.03702252979247111,ORDER
3.0,0.2,4,0.02435063476530612,0.729484601651127,0.32653061224489793,0.0024170679774511393,intermediate
3.0,0.3,4,0.00747342793367347,1.5340962607957938,0.32653061224489793,0.0061910594200621175,ORDER
3.0,0.4,3,0.001963060659722222,0.4399778220033873,0.4444444444444444,-0.0031436044087171026,1/N decay
3.0,0.5,3,0.0017131644166666668,0.4149082232193734,0.4444444444444444,-0.0032024832483552616,1/N decay
3.0,0.6,3,0.0015641777083333333,0.40186311911388994,0.4444444444444444,-0.0031953299753289463,1/N decay
3.0,0.7,3,0.0014546869097222222,0.39096143912259573,0.4444444444444444,-0.0031822493988486827,1/N decay
3.5,0.1,4,0.06842985942857142,0.9131628444262374,0.32653061224489793,0.058987208305593,ORDER
3.5,0.2,4,0.05539463713265306,0.8161472063493245,0.32653061224489793,0.03748074087716248,ORDER
3.5,0.3,4,0.023363052316326533,0.6632467774824984,0.32653061224489793,-0.0015181144773439605,intermediate
3.5,0.4,3,0.010996464395833332,2.1450843584956814,0.4444444444444444,0.02821383417434211,ORDER
3.5,0.5,3,0.002019739451388889,0.42739029610028684,0.4444444444444444,-0.0034977071430921033,1/N decay
3.5,0.6,3,0.001803003597222222,0.41637976015128225,0.4444444444444444,-0.0033586973593749975,1/N decay
3.5,0.7,3,0.0016260774444444444,0.4003419734287611,0.4444444444444444,-0.0033482805567434178,1/N decay
4.0,0.1,4,0.0836094321377551,0.9448253461473706,0.32653061224489793,0.0768888113802415,ORDER
4.0,0.2,6,0.07135826500925925,0.8692289605736837,0.19753086419753085,0.06295416783273994,ORDER
4.0,0.3,6,0.0502247724537037,0.7071001405941906,0.19753086419753085,0.0339401853356167,intermediate
4.0,0.4,4,0.011086106331632652,0.2995928558883008,0.32653061224489793,-0.025118837573619004,1/N decay
4.0,0.5,3,0.011055114618055556,1.9720373827973732,0.4444444444444444,0.018508135353618428,ORDER
4.0,0.6,3,0.0021938821875,0.43799041169485226,0.4444444444444444,-0.003555803447368417,1/N decay
4.0,0.7,3,0.0019277979236111112,0.4119355227391501,0.4444444444444444,-0.003699987254934206,1/N decay
4.5,0.1,4,0.09916314773979593,0.9741473207038689,0.32653061224489793,0.09539303224779908,ORDER
4.5,0.2,4,0.09086549533673469,0.9583735297683645,0.32653061224489793,0.08594273266155016,ORDER
4.5,0.3,4,0.07389462551020409,0.8646108162107587,0.32653061224489793,0.05437545569271763,ORDER
4.5,0.4,3,0.04255611063194445,0.9434730839279304,0.4444444444444444,0.04809611519819081,ORDER
4.5,0.5,3,0.014760651993055556,0.4083120034905934,0.4444444444444444,-0.029235042528782878,1/N decay
4.5,0.6,3,0.010956457951388889,1.8376402796670028,0.4444444444444444,0.017661889618421057,ORDER
4.5,0.7,3,0.0023550575208333333,0.4335565422848967,0.4444444444444444,-0.0038900880074013134,1/N decay
5.0,0.1,4,0.11229985701530612,0.9901360084593476,0.32653061224489793,0.11083421376132098,ORDER
5.0,0.2,4,0.10716712998979591,0.9864584623741278,0.32653061224489793,0.10146824719379717,ORDER
5.0,0.3,4,0.09366638693367348,0.957276202126561,0.32653061224489793,0.08717505227159396,ORDER
5.0,0.4,3,0.07263427276388888,0.881527056433063,0.4444444444444444,0.05420387844736849,ORDER
5.0,0.5,3,0.019908621,0.4501764224551888,0.4444444444444444,-0.030141990067434198,1/N decay
5.0,0.6,3,0.014164864881944446,0.3924736533342355,0.4444444444444444,-0.030885767640624992,1/N decay
5.0,0.7,3,0.010826562500000001,1.6245108180369703,0.4444444444444444,0.015882332611842114,ORDER
