L,nup,delta,U,seed,chi_son_full,chi_son_full_err,chi_son_vertex,chi_son_vertex_err,chi_sext_full,chi_sext_full_err,chi_sext_vertex,chi_sext_vertex_err,chi_d_full,chi_d_full_err,chi_d_vertex,chi_d_vertex_err,chi_dxy_full,chi_dxy_full_err,chi_dxy_vertex,chi_dxy_vertex_err,n
8,16,0.0,0.0,1,54.951450859761074,1.230696119285481e-15,-6.6879835003419424e-15,8.58013222757751e-16,71.95509337165025,0.0,2.3865354137342372e-14,1.079192518088378e-15,270.5333186844612,7.960615888669576e-14,-3.2649438708176614e-14,9.471995403195672e-15,311.97745243464396,6.8152865016382955e-15,2.749445116023708e-13,3.141184593122189e-15,0.5
8,16,0.0,0.0,2,54.951450859761074,1.230696119285481e-15,-6.6879835003419424e-15,8.58013222757751e-16,71.95509337165025,0.0,2.3865354137342372e-14,1.079192518088378e-15,270.5333186844612,7.960615888669576e-14,-3.2649438708176614e-14,9.471995403195672e-15,311.97745243464396,6.8152865016382955e-15,2.749445116023708e-13,3.141184593122189e-15,0.5
8,16,0.0,0.0,3,54.951450859761074,1.230696119285481e-15,-6.6879835003419424e-15,8.58013222757751e-16,71.95509337165025,0.0,2.3865354137342372e-14,1.079192518088378e-15,270.5333186844612,7.960615888669576e-14,-3.2649438708176614e-14,9.471995403195672e-15,311.97745243464396,6.8152865016382955e-15,2.749445116023708e-13,3.141184593122189e-15,0.5
8,16,0.0,0.0,4,54.951450859761074,1.230696119285481e-15,-6.6879835003419424e-15,8.58013222757751e-16,71.95509337165025,0.0,2.3865354137342372e-14,1.079192518088378e-15,270.5333186844612,7.960615888669576e-14,-3.2649438708176614e-14,9.471995403195672e-15,311.97745243464396,6.8152865016382955e-15,2.749445116023708e-13,3.141184593122189e-15,0.5
8,16,0.0,0.0,5,54.951450859761074,1.230696119285481e-15,-6.6879835003419424e-15,8.58013222757751e-16,71.95509337165025,0.0,2.3865354137342372e-14,1.079192518088378e-15,270.5333186844612,7.960615888669576e-14,-3.2649438708176614e-14,9.471995403195672e-15,311.97745243464396,6.8152865016382955e-15,2.749445116023708e-13,3.141184593122189e-15,0.5
8,16,0.0,0.0,6,54.951450859761074,1.230696119285481e-15,-6.6879835003419424e-15,8.58013222757751e-16,71.95509337165025,0.0,2.3865354137342372e-14,1.079192518088378e-15,270.5333186844612,7.960615888669576e-14,-3.2649438708176614e-14,9.471995403195672e-15,311.97745243464396,6.8152865016382955e-15,2.749445116023708e-13,3.141184593122189e-15,0.5
8,18,0.0,0.0,1,48.786454916731635,0.0,1.6133760993852777e-14,7.145528556808854e-16,64.78792929312937,2.409567650518791e-15,1.9326762412674726e-14,2.8650273486915456e-15,256.3678233428759,1.3178604512369963e-14,1.573141616972862e-13,7.554877172100813e-15,268.649120081416,3.5129853713077633e-13,-6.279421427279887e-14,4.1195478307025375e-14,0.5625
8,18,0.0,0.0,2,48.786454916731635,0.0,1.6133760993852777e-14,7.145528556808854e-16,64.78792929312937,2.409567650518791e-15,1.9326762412674726e-14,2.8650273486915456e-15,256.3678233428759,1.3178604512369963e-14,1.573141616972862e-13,7.554877172100813e-15,268.649120081416,3.5129853713077633e-13,-6.279421427279887e-14,4.1195478307025375e-14,0.5625
8,18,0.0,0.0,3,48.786454916731635,0.0,1.6133760993852777e-14,7.145528556808854e-16,64.78792929312937,2.409567650518791e-15,1.9326762412674726e-14,2.8650273486915456e-15,256.3678233428759,1.3178604512369963e-14,1.573141616972862e-13,7.554877172100813e-15,268.649120081416,3.5129853713077633e-13,-6.279421427279887e-14,4.1195478307025375e-14,0.5625
8,18,0.0,0.0,4,48.786454916731635,0.0,1.6133760993852777e-14,7.145528556808854e-16,64.78792929312937,2.409567650518791e-15,1.9326762412674726e-14,2.8650273486915456e-15,256.3678233428759,1.3178604512369963e-14,1.573141616972862e-13,7.554877172100813e-15,268.649120081416,3.5129853713077633e-13,-6.279421427279887e-14,4.1195478307025375e-14,0.5625
8,18,0.0,0.0,5,48.786454916731635,0.0,1.6133760993852777e-14,7.145528556808854e-16,64.78792929312937,2.409567650518791e-15,1.9326762412674726e-14,2.8650273486915456e-15,256.3678233428759,1.3178604512369963e-14,1.573141616972862e-13,7.554877172100813e-15,268.649120081416,3.5129853713077633e-13,-6.279421427279887e-14,4.1195478307025375e-14,0.5625
8,18,0.0,0.0,6,48.786454916731635,0.0,1.6133760993852777e-14,7.145528556808854e-16,64.78792929312937,2.409567650518791e-15,1.9326762412674726e-14,2.8650273486915456e-15,256.3678233428759,1.3178604512369963e-14,1.573141616972862e-13,7.554877172100813e-15,268.649120081416,3.5129853713077633e-13,-6.279421427279887e-14,4.1195478307025375e-14,0.5625
8,21,0.0,0.0,1,39.63959377250963,0.0,-5.324629626102251e-15,3.7495898681715724e-16,46.49420700468536,1.1234667099445444e-15,-1.56052948341312e-14,7.895688849149249e-16,231.02384085062417,6.597342429268486e-14,1.289279794036702e-13,9.15432187768587e-15,180.46899500028417,2.5179292702890133e-13,7.158718062783011e-15,1.0986803311137744e-14,0.65625
8,21,0.0,0.0,2,39.63959377250963,0.0,-5.324629626102251e-15,3.7495898681715724e-16,46.49420700468536,1.1234667099445444e-15,-1.56052948341312e-14,7.895688849149249e-16,231.02384085062417,6.597342429268486e-14,1.289279794036702e-13,9.15432187768587e-15,180.46899500028417,2.5179292702890133e-13,7.158718062783011e-15,1.0986803311137744e-14,0.65625
8,21,0.0,0.0,3,39.63959377250963,0.0,-5.324629626102251e-15,3.7495898681715724e-16,46.49420700468536,1.1234667099445444e-15,-1.56052948341312e-14,7.895688849149249e-16,231.02384085062417,6.597342429268486e-14,1.289279794036702e-13,9.15432187768587e-15,180.46899500028417,2.5179292702890133e-13,7.158718062783011e-15,1.0986803311137744e-14,0.65625
8,21,0.0,0.0,4,39.63959377250963,0.0,-5.324629626102251e-15,3.7495898681715724e-16,46.49420700468536,1.1234667099445444e-15,-1.56052948341312e-14,7.895688849149249e-16,231.02384085062417,6.597342429268486e-14,1.289279794036702e-13,9.15432187768587e-15,180.46899500028417,2.5179292702890133e-13,7.158718062783011e-15,1.0986803311137744e-14,0.65625
