L,U,n,delta,seed,qx,qy,kind,S_peak,S_pipi,m_peak,m_pipi
10,0.0,0.5,0.0,1,0.8,0.6,other,0.125,0.125,0.035355339059327376,0.035355339059327376
10,0.0,0.5,0.0,2,0.8,0.6,other,0.125,0.125,0.035355339059327376,0.035355339059327376
10,0.0,0.5,0.0,3,0.8,0.6,other,0.125,0.125,0.035355339059327376,0.035355339059327376
10,0.0,0.5,0.0,4,0.8,0.6,other,0.125,0.125,0.035355339059327376,0.035355339059327376
10,0.0,0.5,0.0,5,0.8,0.6,other,0.125,0.125,0.035355339059327376,0.035355339059327376
10,0.0,0.5,0.0,6,0.8,0.6,other,0.125,0.125,0.035355339059327376,0.035355339059327376
10,0.0,0.5,0.1,1,0.4,1.0,spiral,0.12498376538669946,0.12456755228599796,0.0353530430637448,0.035294128730710715
10,0.0,0.5,0.1,2,0.4,1.0,spiral,0.12498376538669946,0.12456755228599796,0.0353530430637448,0.035294128730710715
10,0.0,0.5,0.1,3,0.4,1.0,spiral,0.12498376538669946,0.12456755228599796,0.0353530430637448,0.035294128730710715
10,0.0,0.5,0.1,4,0.4,1.0,spiral,0.12498376538669946,0.12456755228599796,0.0353530430637448,0.035294128730710715
10,0.0,0.5,0.1,5,0.4,1.0,spiral,0.12498376538669946,0.12456755228599796,0.0353530430637448,0.035294128730710715
10,0.0,0.5,0.1,6,0.4,1.0,spiral,0.12498376538669946,0.12456755228599796,0.0353530430637448,0.035294128730710715
10,0.0,0.5,0.2,1,0.4,1.0,spiral,0.12493713059943128,0.12331669703177858,0.035346446865198666,0.03511647719116748
10,0.0,0.5,0.2,2,0.4,1.0,spiral,0.12493713059943128,0.12331669703177858,0.035346446865198666,0.03511647719116748
10,0.0,0.5,0.2,3,0.4,1.0,spiral,0.12493713059943128,0.12331669703177858,0.035346446865198666,0.03511647719116748
10,0.0,0.5,0.2,4,0.4,1.0,spiral,0.12493713059943128,0.12331669703177858,0.035346446865198666,0.03511647719116748
10,0.0,0.5,0.2,5,0.4,1.0,spiral,0.12493713059943128,0.12331669703177858,0.035346446865198666,0.03511647719116748
10,0.0,0.5,0.2,6,0.4,1.0,spiral,0.12493713059943128,0.12331669703177858,0.035346446865198666,0.03511647719116748
10,0.0,0.5,0.3,1,0.4,1.0,spiral,0.12486576298635683,0.12137427819978167,0.0353363499793565,0.03483881143204826
10,0.0,0.5,0.3,2,0.4,1.0,spiral,0.12486576298635683,0.12137427819978167,0.0353363499793565,0.03483881143204826
10,0.0,0.5,0.3,3,0.4,1.0,spiral,0.12486576298635683,0.12137427819978167,0.0353363499793565,0.03483881143204826
10,0.0,0.5,0.3,4,0.4,1.0,spiral,0.12486576298635683,0.12137427819978167,0.0353363499793565,0.03483881143204826
10,0.0,0.5,0.3,5,0.4,1.0,spiral,0.12486576298635683,0.12137427819978167,0.0353363499793565,0.03483881143204826
10,0.0,0.5,0.3,6,0.4,1.0,spiral,0.12486576298635683,0.12137427819978167,0.0353363499793565,0.03483881143204826
10,0.0,0.5,0.4,1,0.0,1.0,stripe,0.125,0.10735161107970603,0.035355339059327376,0.032764555708830544
10,0.0,0.5,0.4,2,0.0,1.0,stripe,0.125,0.10735161107970603,0.035355339059327376,0.032764555708830544
10,0.0,0.5,0.4,3,0.0,1.0,stripe,0.125,0.10735161107970603,0.035355339059327376,0.032764555708830544
10,0.0,0.5,0.4,4,0.0,1.0,stripe,0.125,0.10735161107970603,0.035355339059327376,0.032764555708830544
10,0.0,0.5,0.4,5,0.0,1.0,stripe,0.125,0.10735161107970603,0.035355339059327376,0.032764555708830544
10,0.0,0.5,0.4,6,0.0,1.0,stripe,0.125,0.10735161107970603,0.035355339059327376,0.032764555708830544
10,0.0,0.5,0.5,1,0.0,1.0,stripe,0.12500000000000003,0.10249346016646846,0.03535533905932738,0.03201459982046761
10,0.0,0.5,0.5,2,0.0,1.0,stripe,0.12500000000000003,0.10249346016646846,0.03535533905932738,0.03201459982046761
10,0.0,0.5,0.5,3,0.0,1.0,stripe,0.12500000000000003,0.10249346016646846,0.03535533905932738,0.03201459982046761
