delta,n,Qx_pi,Qy_pi,order,SQ,Rp,q_pi
0.0,0.5,0.2857142857142857,0.8571428571428571,Spiral,0.226633484,0.3798982321124751,0.2857142857142857
0.0,0.582,0.42857142857142855,1.0,Spiral,0.249004759,0.3342918144789353,0.42857142857142855
0.0,0.622,0.5714285714285714,1.0,Spiral,0.313262225,0.40968894733477673,0.5714285714285714
0.0,0.663,0.5714285714285714,1.0,Spiral,0.307998377,0.3299524565351848,0.5714285714285714
0.0,0.765,0.7142857142857143,0.8571428571428571,Diagonal,0.460879487,0.47109472380653744,0.7857142857142857
0.0,0.847,0.8571428571428571,0.8571428571428571,Diagonal,1.202970818,0.6012051602402213,0.8571428571428571
0.0,0.929,0.8571428571428571,1.0,Spiral,4.365421439,0.9284058024745239,0.8571428571428571
0.0,0.969,1.0,1.0,Neel,13.409791866,0.9835688475666309,1.0
0.1,0.5,1.0,0.42857142857142855,Spiral,0.193789455,0.22665410561168048,0.42857142857142855
0.1,0.582,0.8571428571428571,0.42857142857142855,Spiral,0.244090932,0.35188166418093864,0.42857142857142855
0.1,0.622,0.8571428571428571,0.7142857142857143,Diagonal,0.242892418,0.2540673448574782,0.7857142857142857
0.1,0.663,0.5714285714285714,0.8571428571428571,Spiral,0.265352021,0.30622371048210517,0.5714285714285714
0.1,0.745,0.8571428571428571,0.7142857142857143,Diagonal,0.335961593,0.297025729853699,0.7857142857142857
0.1,0.806,1.0,0.7142857142857143,Spiral,0.470968373,0.38203808199239736,0.7142857142857143
0.1,0.888,0.8571428571428571,0.8571428571428571,Diagonal,1.322217057,0.46619550292691975,0.8571428571428571
0.1,0.929,1.0,1.0,Neel,2.730054208,0.691898202105834,1.0
0.1,0.969,1.0,1.0,Neel,13.528545268,0.9846962739477698,1.0
0.2,0.5,0.8571428571428571,0.2857142857142857,Spiral,0.250407014,0.46011058111684,0.2857142857142857
0.2,0.582,0.42857142857142855,0.5714285714285714,Diagonal,0.210010262,0.33321734058881375,0.5
0.2,0.622,0.14285714285714285,0.14285714285714285,Diagonal,0.266170758,0.7539322792551089,0.14285714285714285
0.2,0.704,0.5714285714285714,0.5714285714285714,Diagonal,0.676378095,0.6789181997755264,0.5714285714285714
0.2,0.745,0.5714285714285714,0.5714285714285714,Diagonal,0.896594743,0.7646005898731886,0.5714285714285714
0.2,0.765,1.0,1.0,Neel,1.64798802,0.8891133644790289,1.0
0.2,0.847,0.8571428571428571,1.0,Spiral,0.734929981,0.4436973942147557,0.8571428571428571
0.2,0.888,1.0,1.0,Neel,2.602275277,0.7553436729476334,1.0
0.2,0.929,1.0,1.0,Neel,9.744778887,0.9781735146790167,1.0
0.2,0.969,1.0,1.0,Neel,11.737216364,0.9815072970439791,1.0
0.3,0.5,0.2857142857142857,0.7142857142857143,Spiral,0.187413394,0.3550239804365317,0.2857142857142857
0.3,0.582,0.2857142857142857,0.5714285714285714,Diagonal,0.230413609,0.4781513805896769,0.42857142857142855
0.3,0.622,0.42857142857142855,0.5714285714285714,Diagonal,0.28486211,0.41652050969502397,0.5
0.3,0.663,0.5714285714285714,0.5714285714285714,Diagonal,0.734387563,0.7187555826704544,0.5714285714285714
0.3,0.745,0.7142857142857143,0.8571428571428571,Diagonal,0.460377493,0.5644752766557871,0.7857142857142857
0.3,0.867,0.8571428571428571,1.0,Spiral,0.785639276,0.44120437050843886,0.8571428571428571
0.4,0.5,0.0,0.2857142857142857,Diagonal,0.530438131,0.8431923698750835,0.14285714285714285
0.4,0.582,0.0,0.14285714285714285,Diagonal,0.35411711,0.7390316497274023,0.07142857142857142
0.4,0.622,0.42857142857142855,0.7142857142857143,Diagonal,0.302476101,0.48619350054039473,0.5714285714285714
0.4,0.745,0.7142857142857143,0.5714285714285714,Diagonal,0.579854812,0.6771980259085959,0.6428571428571429
0.4,0.867,1.0,1.0,Neel,6.478750786,0.9709626403611855,1.0
0.4,0.908,1.0,1.0,Neel,6.619576007,0.9693217350776063,1.0
0.4,0.99,1.0,1.0,Neel,2.707530337,0.9187193137194877,1.0
