L,nup,delta,U,seed,channel,R,P,bubble,V
12,36,0.6,6.0,1,son,0.0,13.056397191985267,27.307075006115916,-14.250677814130649
12,36,0.6,6.0,1,son,1.0,-0.8817325331801514,0.636759325907063,-1.5184918590872143
12,36,0.6,6.0,1,son,1.414214,0.90389908142889,7.664387708733784,-6.760488627304894
12,36,0.6,6.0,1,son,2.0,-0.4944959142958365,0.3445225152793661,-0.8390184295752027
12,36,0.6,6.0,1,son,2.236068,0.3158599969276457,1.2458712306280766,-0.9300112337004308
12,36,0.6,6.0,1,son,2.828427,0.4376349213398955,1.6715250317781958,-1.2338901104383002
12,36,0.6,6.0,1,son,3.0,0.1962087695141333,0.7676166769400241,-0.5714079074258908
12,36,0.6,6.0,1,son,3.162278,0.1850870239945853,1.1033058386391748,-0.9182188146445894
12,36,0.6,6.0,1,son,3.605551,-0.0648005140838846,0.0627664366265462,-0.1275669507104309
12,36,0.6,6.0,1,son,4.0,0.0333919286605383,-0.0005696704072796,0.0339615990678179
12,36,0.6,6.0,1,son,4.123106,-0.0058230725193481,0.2066108761186862,-0.2124339486380343
12,36,0.6,6.0,1,son,4.242641,-0.0127073956167154,0.0953470709258309,-0.1080544665425463
12,36,0.6,6.0,1,son,4.472136,0.0911651269725367,0.363695153306855,-0.2725300263343183
12,36,0.6,6.0,1,son,5.0,-0.0149419714835689,0.2118485979540013,-0.2267905694375703
12,36,0.6,6.0,1,son,5.09902,-0.0435514301926036,0.0464389655083324,-0.089990395700936
12,36,0.6,6.0,1,son,5.385165,-0.0475912449759685,-0.002276346476895,-0.0453148984990734
12,36,0.6,6.0,1,son,5.656854,-0.0036681019382377,0.0382815527383166,-0.0419496546765543
12,36,0.6,6.0,1,son,5.830952,-0.0332425502141319,0.0285525517186205,-0.0617951019327524
12,36,0.6,6.0,1,son,6.0,0.0152734387918262,0.0542819742005522,-0.0390085354087259
12,36,0.6,6.0,1,son,6.082763,0.0133462833900395,0.121806951129473,-0.1084606677394334
12,36,0.6,6.0,1,son,6.324555,0.0059739366018735,0.0698012005875876,-0.0638272639857141
12,36,0.6,6.0,1,son,6.403124,0.0092066370536272,0.0895232279703173,-0.08031659091669
12,36,0.6,6.0,1,son,6.708204,0.0237971016088105,0.0765280898384695,-0.0527309882296589
12,36,0.6,6.0,1,son,7.071068,0.00763848158042,0.1924684316544359,-0.1848299500740159
12,36,0.6,6.0,1,son,7.211103,0.0366731086639207,0.1929256725222738,-0.1562525638583531
12,36,0.6,6.0,1,son,7.81025,-0.0196684328132829,0.0373799075029385,-0.0570483403162215
12,36,0.6,6.0,1,son,8.485281,0.0299745471516911,0.0773530940390511,-0.04737854688736
12,36,0.6,6.0,1,sext,0.0,58.618486347936866,64.5738251222135,-5.95533877427664
12,36,0.6,6.0,1,sext,1.0,0.8950840264521217,5.0209401711254085,-4.125856144673286
12,36,0.6,6.0,1,sext,1.414214,-16.613447440036726,-15.043850283225517,-1.569597156811211
12,36,0.6,6.0,1,sext,2.0,-0.6497137899549751,1.0106011965696575,-1.6603149865246327
12,36,0.6,6.0,1,sext,2.236068,1.430536599310614,3.588911804375074,-2.15837520506446
12,36,0.6,6.0,1,sext,2.828427,3.7850678738982104,4.187514810872744,-0.4024469369745338
12,36,0.6,6.0,1,sext,3.0,1.0688455342722964,1.5794841745634964,-0.5106386402912
12,36,0.6,6.0,1,sext,3.162278,-1.6010769257991786,-0.5226359466889952,-1.0784409791101834
12,36,0.6,6.0,1,sext,3.605551,0.1848201522162769,-0.0026363403805834,0.1874564925968603
12,36,0.6,6.0,1,sext,4.0,0.9203966863052968,0.3011629424566371,0.6192337438486596
12,36,0.6,6.0,1,sext,4.123106,1.1251233808426215,1.0830709898673558,0.0420523909752657
12,36,0.6,6.0,1,sext,4.242641,-1.3815824525983298,-0.5256654894173566,-0.8559169631809732
12,36,0.6,6.0,1,sext,4.472136,1.0000418921855403,1.0642760437635843,-0.0642341515780442
12,36,0.6,6.0,1,sext,5.0,-0.0558506264278943,0.5123554379697275,-0.5682060643976218
12,36,0.6,6.0,1,sext,5.09902,-1.6812758853832768,0.0719978408206501,-1.7532737262039269
12,36,0.6,6.0,1,sext,5.385165,-1.276802965322728,-0.0653357276305928,-1.2114672376921352
12,36,0.6,6.0,1,sext,5.656854,0.1981502717528896,0.3116876674549488,-0.1135373957020592
12,36,0.6,6.0,1,sext,5.830952,-0.3020211625789754,-0.1539754881258799,-0.1480456744530955
12,36,0.6,6.0,1,sext,6.0,0.2091377332555112,0.3984243658215208,-0.1892866325660095
12,36,0.6,6.0,1,sext,6.082763,0.8979889368824747,0.6044665341526434,0.2935224027298313
12,36,0.6,6.0,1,sext,6.324555,0.3021324742964408,0.1639315469069145,0.1382009273895262
12,36,0.6,6.0,1,sext,6.403124,-0.228486046501567,0.0299724693845423,-0.2584585158861093
