            k_x            k_y          value          error
    0.000000000    0.000000000    0.000000000    0.000000000
    0.000000000    0.523598790    0.019614979    0.000299395
    0.000000000    1.047197580    0.050009212    0.000426732
    0.000000000    1.570796371    0.084425811    0.000809925
    0.000000000    2.094395161    0.111963368    0.000961156
    0.000000000    2.617993832    0.129467765    0.000747351
    0.000000000    3.141592741    0.137503420    0.000987824
    0.000000000   -3.141592741    0.137503420    0.000987824
    0.000000000   -2.617993832    0.129467770    0.000747351
    0.000000000   -2.094395161    0.111963376    0.000961156
    0.000000000   -1.570796371    0.084425826    0.000809926
    0.000000000   -1.047197580    0.050009227    0.000426732
    0.000000000   -0.523598790    0.019614975    0.000299395
    0.523598790    0.000000000    0.019833223    0.000189956
    0.523598790    0.523598790    0.025862509    0.000212282
    0.523598790    1.047197580    0.055976578    0.000911861
    0.523598790    1.570796371    0.088119158    0.000824952
    0.523598790    2.094395161    0.116267388    0.000601736
    0.523598790    2.617993832    0.133882913    0.000828751
    0.523598790    3.141592741    0.140783138    0.001062045
    0.523598790   -3.141592741    0.140783138    0.001062045
    0.523598790   -2.617993832    0.135825150    0.001318305
    0.523598790   -2.094395161    0.115086878    0.000635715
    0.523598790   -1.570796371    0.087528111    0.000944088
    0.523598790   -1.047197580    0.056128551    0.000680255
    0.523598790   -0.523598790    0.025869461    0.000173563
    1.047197580    0.000000000    0.050233234    0.000431014
    1.047197580    0.523598790    0.055886292    0.000818508
    1.047197580    1.047197580    0.071016988    0.000705461
    1.047197580    1.570796371    0.100458041    0.000532788
    1.047197580    2.094395161    0.124288498    0.000654735
    1.047197580    2.617993832    0.142443548    0.001223771
    1.047197580    3.141592741    0.149010137    0.001412622
    1.047197580   -3.141592741    0.149010137    0.001412622
    1.047197580   -2.617993832    0.141552586    0.001220970
    1.047197580   -2.094395161    0.124806621    0.001417221
    1.047197580   -1.570796371    0.098071754    0.000597785
    1.047197580   -1.047197580    0.070821141    0.000258897
    1.047197580   -0.523598790    0.055054606    0.000593185
    1.570796371    0.000000000    0.083054767    0.000436397
    1.570796371    0.523598790    0.087759710    0.000750000
    1.570796371    1.047197580    0.098775413    0.000968650
    1.570796371    1.570796371    0.116996986    0.000408571
    1.570796371    2.094395161    0.140777153    0.000877792
    1.570796371    2.617993832    0.156342175    0.000736477
    1.570796371    3.141592741    0.162647033    0.000713972
    1.570796371   -3.141592741    0.162647033    0.000713972
    1.570796371   -2.617993832    0.156756251    0.001195451
    1.570796371   -2.094395161    0.140266376    0.001461394
    1.570796371   -1.570796371    0.116027065    0.000844140
    1.570796371   -1.047197580    0.100291347    0.000939330
    1.570796371   -0.523598790    0.088523687    0.000787237
    2.094395161    0.000000000    0.112626468    0.001338854
    2.094395161    0.523598790    0.116185157    0.001349642
    2.094395161    1.047197580    0.126391414    0.001216419
    2.094395161    1.570796371    0.142319034    0.001222392
    2.094395161    2.094395161    0.161619231    0.001720468
    2.094395161    2.617993832    0.183831454    0.001450001
    2.094395161    3.141592741    0.186879245    0.001673053
    2.094395161   -3.141592741    0.186879245    0.001673053
    2.094395161   -2.617993832    0.182501420    0.001430918
    2.094395161   -2.094395161    0.159874207    0.001309412
    2.094395161   -1.570796371    0.141477941    0.000873141
    2.094395161   -1.047197580    0.124547099    0.001092394
    2.094395161   -0.523598790    0.117351751    0.000988463
    2.617993832    0.000000000    0.132357376    0.001581923
    2.617993832    0.523598790    0.137006763    0.001436550
    2.617993832    1.047197580    0.142040523    0.001006302
    2.617993832    1.570796371    0.156997766    0.001319737
    2.617993832    2.094395161    0.179715840    0.001224219
    2.617993832    2.617993832    0.205960094    0.001513427
    2.617993832    3.141592741    0.226047413    0.002583920
    2.617993832   -3.141592741    0.226047413    0.002583920
    2.617993832   -2.617993832    0.204665635    0.002347706
    2.617993832   -2.094395161    0.179420710    0.000978789
    2.617993832   -1.570796371    0.159558989    0.001268537
    2.617993832   -1.047197580    0.143743790    0.001567435
    2.617993832   -0.523598790    0.134790714    0.001347026
    3.141592741    0.000000000    0.138321241    0.001966241
   -3.141592741    0.000000000    0.138321241    0.001966241
    3.141592741    0.523598790    0.141776310    0.001046081
   -3.141592741    0.523598790    0.141776310    0.001046081
    3.141592741    1.047197580    0.150147394    0.001507757
   -3.141592741    1.047197580    0.150147394    0.001507757
    3.141592741    1.570796371    0.162965604    0.001751804
   -3.141592741    1.570796371    0.162965604    0.001751804
    3.141592741    2.094395161    0.186737781    0.000667624
   -3.141592741    2.094395161    0.186737781    0.000667624
    3.141592741    2.617993832    0.229944146    0.005082626
   -3.141592741    2.617993832    0.229944146    0.005082626
    3.141592741    3.141592741    8.330179921    0.056635646
   -3.141592741    3.141592741    8.330179921    0.056635646
    3.141592741   -3.141592741    8.330179921    0.056635646
   -3.141592741   -3.141592741    8.330179921    0.056635646
    3.141592741   -2.617993832    0.229944142    0.005082634
   -3.141592741   -2.617993832    0.229944142    0.005082634
    3.141592741   -2.094395161    0.186737745    0.000667629
   -3.141592741   -2.094395161    0.186737745    0.000667629
    3.141592741   -1.570796371    0.162965606    0.001751802
   -3.141592741   -1.570796371    0.162965606    0.001751802
    3.141592741   -1.047197580    0.150147504    0.001507757
   -3.141592741   -1.047197580    0.150147504    0.001507757
    3.141592741   -0.523598790    0.141776124    0.001046083
   -3.141592741   -0.523598790    0.141776124    0.001046083
   -2.617993832    0.000000000    0.132357379    0.001581922
   -2.617993832    0.523598790    0.134790773    0.001347026
   -2.617993832    1.047197580    0.143743779    0.001567435
   -2.617993832    1.570796371    0.159558962    0.001268537
   -2.617993832    2.094395161    0.179420516    0.000978790
   -2.617993832    2.617993832    0.204665633    0.002347705
   -2.617993832    3.141592741    0.226047383    0.002583922
   -2.617993832   -3.141592741    0.226047383    0.002583922
   -2.617993832   -2.617993832    0.205960317    0.001513426
   -2.617993832   -2.094395161    0.179715935    0.001224219
   -2.617993832   -1.570796371    0.156997987    0.001319739
   -2.617993832   -1.047197580    0.142040134    0.001006304
   -2.617993832   -0.523598790    0.137007017    0.001436546
   -2.094395161    0.000000000    0.112626477    0.001338854
   -2.094395161    0.523598790    0.117352015    0.000988462
   -2.094395161    1.047197580    0.124547056    0.001092394
   -2.094395161    1.570796371    0.141478179    0.000873140
   -2.094395161    2.094395161    0.159874206    0.001309412
   -2.094395161    2.617993832    0.182501614    0.001430916
   -2.094395161    3.141592741    0.186879218    0.001673054
   -2.094395161   -3.141592741    0.186879218    0.001673054
   -2.094395161   -2.617993832    0.183831545    0.001450002
   -2.094395161   -2.094395161    0.161617151    0.001720467
   -2.094395161   -1.570796371    0.142319176    0.001222390
   -2.094395161   -1.047197580    0.126391333    0.001216418
   -2.094395161   -0.523598790    0.116185017    0.001349643
   -1.570796371    0.000000000    0.083054782    0.000436398
   -1.570796371    0.523598790    0.088523770    0.000787238
   -1.570796371    1.047197580    0.100291400    0.000939330
   -1.570796371    1.570796371    0.116027066    0.000844140
   -1.570796371    2.094395161    0.140266140    0.001461397
   -1.570796371    2.617993832    0.156756279    0.001195452
   -1.570796371    3.141592741    0.162647033    0.000713972
   -1.570796371   -3.141592741    0.162647033    0.000713972
   -1.570796371   -2.617993832    0.156342396    0.000736476
   -1.570796371   -2.094395161    0.140777288    0.000877791
   -1.570796371   -1.570796371    0.116997719    0.000408571
   -1.570796371   -1.047197580    0.098775261    0.000968651
   -1.570796371   -0.523598790    0.087760440    0.000749999
   -1.047197580    0.000000000    0.050233249    0.000431014
   -1.047197580    0.523598790    0.055054303    0.000593188
   -1.047197580    1.047197580    0.070821140    0.000258898
   -1.047197580    1.570796371    0.098071705    0.000597784
   -1.047197580    2.094395161    0.124806661    0.001417221
   -1.047197580    2.617993832    0.141552601    0.001220969
