            k_x            k_y          value          error
    0.000000000    0.000000000   -0.000000000    0.000000000
    0.000000000    0.448798954    0.008572259    0.000094373
    0.000000000    0.897597909    0.028749707    0.000231799
    0.000000000    1.346396923    0.053383645    0.000622130
    0.000000000    1.795195818    0.077721074    0.001273772
    0.000000000    2.243994713    0.093475449    0.000584173
    0.000000000    2.692793846    0.105280907    0.000698286
    0.000000000    3.141592741    0.109800668    0.001430838
    0.000000000   -3.141592741    0.109800668    0.001430838
    0.000000000   -2.692793846    0.105280906    0.000698286
    0.000000000   -2.243994713    0.093475448    0.000584173
    0.000000000   -1.795195818    0.077721078    0.001273772
    0.000000000   -1.346396923    0.053383654    0.000622130
    0.000000000   -0.897597909    0.028749713    0.000231799
    0.000000000   -0.448798954    0.008572264    0.000094374
    0.448798954    0.000000000    0.008485627    0.000064508
    0.448798954    0.448798954    0.015270199    0.000125405
    0.448798954    0.897597909    0.033443621    0.000264130
    0.448798954    1.346396923    0.056214126    0.000766164
    0.448798954    1.795195818    0.078906946    0.000586834
    0.448798954    2.243994713    0.095713871    0.001091288
    0.448798954    2.692793846    0.107955593    0.000712803
    0.448798954    3.141592741    0.110949343    0.000686735
    0.448798954   -3.141592741    0.110949343    0.000686735
    0.448798954   -2.692793846    0.107395824    0.001089173
    0.448798954   -2.243994713    0.097473270    0.000740135
    0.448798954   -1.795195818    0.078764661    0.000723840
    0.448798954   -1.346396923    0.056113822    0.000843703
    0.448798954   -0.897597909    0.033133130    0.000406567
    0.448798954   -0.448798954    0.015269039    0.000163234
    0.897597909    0.000000000    0.028927340    0.000240470
    0.897597909    0.448798954    0.033072628    0.000180806
    0.897597909    0.897597909    0.045051066    0.000351431
    0.897597909    1.346396923    0.064847295    0.000457322
    0.897597909    1.795195818    0.085563742    0.000707574
    0.897597909    2.243994713    0.105447507    0.000955034
    0.897597909    2.692793846    0.116392802    0.001449140
    0.897597909    3.141592741    0.118711761    0.001217200
    0.897597909   -3.141592741    0.118711761    0.001217200
    0.897597909   -2.692793846    0.116756085    0.000936587
    0.897597909   -2.243994713    0.103133030    0.000644922
    0.897597909   -1.795195818    0.086312759    0.000737716
    0.897597909   -1.346396923    0.064747061    0.000428295
    0.897597909   -0.897597909    0.045551452    0.000497115
    0.897597909   -0.448798954    0.032715174    0.000241978
    1.346396923    0.000000000    0.052748695    0.000385329
    1.346396923    0.448798954    0.056578011    0.000631744
    1.346396923    0.897597909    0.064951289    0.000535945
    1.346396923    1.346396923    0.079283457    0.000604163
    1.346396923    1.795195818    0.098423363    0.000400121
    1.346396923    2.243994713    0.117555279    0.001153575
    1.346396923    2.692793846    0.127924290    0.000761121
    1.346396923    3.141592741    0.131184617    0.000833720
    1.346396923   -3.141592741    0.131184617    0.000833720
    1.346396923   -2.692793846    0.129208826    0.001428979
    1.346396923   -2.243994713    0.115761325    0.000961656
    1.346396923   -1.795195818    0.098700776    0.000803737
    1.346396923   -1.346396923    0.080264176    0.000580949
    1.346396923   -0.897597909    0.065651987    0.000672250
    1.346396923   -0.448798954    0.056036552    0.000456708
    1.795195818    0.000000000    0.076128258    0.000882826
    1.795195818    0.448798954    0.078856174    0.000522010
