            k_x            k_y          value          error
    0.000000000    0.000000000    0.000000000    0.000000000
    0.000000000    0.523598790    0.008433687    0.000144289
    0.000000000    1.047197580    0.029405560    0.000637426
    0.000000000    1.570796371    0.053425306    0.000832992
    0.000000000    2.094395161    0.073591522    0.000795215
    0.000000000    2.617993832    0.088702417    0.000762471
    0.000000000    3.141592741    0.092377532    0.001126849
    0.000000000   -3.141592741    0.092377532    0.001126849
    0.000000000   -2.617993832    0.088702421    0.000762471
    0.000000000   -2.094395161    0.073591530    0.000795215
    0.000000000   -1.570796371    0.053425316    0.000832993
    0.000000000   -1.047197580    0.029405572    0.000637426
    0.000000000   -0.523598790    0.008433685    0.000144289
    0.523598790    0.000000000    0.008446880    0.000083622
    0.523598790    0.523598790    0.015391979    0.000123583
    0.523598790    1.047197580    0.034404680    0.000484294
    0.523598790    1.570796371    0.055942542    0.000581385
    0.523598790    2.094395161    0.078834999    0.001620464
    0.523598790    2.617993832    0.092814124    0.000963837
    0.523598790    3.141592741    0.097396658    0.001312001
    0.523598790   -3.141592741    0.097396658    0.001312001
    0.523598790   -2.617993832    0.090950477    0.000939621
    0.523598790   -2.094395161    0.077146366    0.000727674
    0.523598790   -1.570796371    0.056394497    0.000558704
    0.523598790   -1.047197580    0.033620004    0.000385468
    0.523598790   -0.523598790    0.015474945    0.000183507
    1.047197580    0.000000000    0.029501773    0.000334174
    1.047197580    0.523598790    0.033854490    0.000364168
    1.047197580    1.047197580    0.048041271    0.000268400
    1.047197580    1.570796371    0.068602736    0.001007731
    1.047197580    2.094395161    0.087717806    0.001026236
    1.047197580    2.617993832    0.100387889    0.000963620
    1.047197580    3.141592741    0.107125816    0.001183697
    1.047197580   -3.141592741    0.107125816    0.001183697
    1.047197580   -2.617993832    0.101355466    0.001113488
    1.047197580   -2.094395161    0.087060087    0.000800835
    1.047197580   -1.570796371    0.067589191    0.000810488
    1.047197580   -1.047197580    0.047864087    0.000380460
    1.047197580   -0.523598790    0.034231267    0.000418779
    1.570796371    0.000000000    0.052948254    0.000412328
    1.570796371    0.523598790    0.056928724    0.000483634
    1.570796371    1.047197580    0.068017200    0.000594854
    1.570796371    1.570796371    0.084987270    0.000746311
    1.570796371    2.094395161    0.101967804    0.000627305
    1.570796371    2.617993832    0.119762305    0.001119217
    1.570796371    3.141592741    0.123386592    0.001728910
    1.570796371   -3.141592741    0.123386592    0.001728910
    1.570796371   -2.617993832    0.118514170    0.001162466
    1.570796371   -2.094395161    0.103803712    0.000732354
    1.570796371   -1.570796371    0.085469920    0.000715531
    1.570796371   -1.047197580    0.067349422    0.000453359
    1.570796371   -0.523598790    0.056687124    0.000698169
    2.094395161    0.000000000    0.076376264    0.000716698
    2.094395161    0.523598790    0.078839258    0.001065350
    2.094395161    1.047197580    0.087432863    0.000739967
    2.094395161    1.570796371    0.104401338    0.000926099
    2.094395161    2.094395161    0.123425069    0.002096794
    2.094395161    2.617993832    0.140396261    0.001379506
    2.094395161    3.141592741    0.143629564    0.001301062
    2.094395161   -3.141592741    0.143629564    0.001301062
    2.094395161   -2.617993832    0.135552024    0.001654255
    2.094395161   -2.094395161    0.121453914    0.000695183
    2.094395161   -1.570796371    0.103061981    0.000483443
    2.094395161   -1.047197580    0.088965598    0.000539799
    2.094395161   -0.523598790    0.078283769    0.000686983
    2.617993832    0.000000000    0.088780117    0.001040787
    2.617993832    0.523598790    0.091665246    0.001003034
    2.617993832    1.047197580    0.101069311    0.000967246
    2.617993832    1.570796371    0.117783884    0.000610523
    2.617993832    2.094395161    0.139593491    0.001921678
    2.617993832    2.617993832    0.157180785    0.001150101
    2.617993832    3.141592741    0.165115711    0.001667928
    2.617993832   -3.141592741    0.165115711    0.001667928
    2.617993832   -2.617993832    0.154546807    0.001651903
    2.617993832   -2.094395161    0.141151014    0.001364292
    2.617993832   -1.570796371    0.118813740    0.001173860
    2.617993832   -1.047197580    0.103471876    0.001276779
    2.617993832   -0.523598790    0.093029701    0.000939941
    3.141592741    0.000000000    0.094905528    0.001056318
   -3.141592741    0.000000000    0.094905528    0.001056318
    3.141592741    0.523598790    0.096239996    0.000449040
   -3.141592741    0.523598790    0.096239996    0.000449040
    3.141592741    1.047197580    0.107198769    0.000717550
   -3.141592741    1.047197580    0.107198769    0.000717550
    3.141592741    1.570796371    0.125275440    0.001258745
   -3.141592741    1.570796371    0.125275440    0.001258745
    3.141592741    2.094395161    0.148185370    0.002226072
   -3.141592741    2.094395161    0.148185370    0.002226072
    3.141592741    2.617993832    0.162176595    0.001492312
   -3.141592741    2.617993832    0.162176595    0.001492312
    3.141592741    3.141592741   16.367797112    0.066093031
   -3.141592741    3.141592741   16.367797112    0.066093031
    3.141592741   -3.141592741   16.367797112    0.066093031
   -3.141592741   -3.141592741   16.367797112    0.066093031
    3.141592741   -2.617993832    0.162176537    0.001492317
   -3.141592741   -2.617993832    0.162176537    0.001492317
    3.141592741   -2.094395161    0.148185279    0.002226071
