            k_x            k_y          value          error
    0.000000000    0.000000000    0.000000000    0.000000000
    0.000000000    0.785398185    0.041778635    0.000446808
    0.000000000    1.570796371    0.095837159    0.000699784
    0.000000000    2.356194496    0.127066575    0.000561173
    0.000000000    3.141592741    0.145005523    0.001008328
    0.000000000   -3.141592741    0.145005523    0.001008328
    0.000000000   -2.356194496    0.127066587    0.000561173
    0.000000000   -1.570796371    0.095837178    0.000699784
    0.000000000   -0.785398185    0.041778641    0.000446808
    0.785398185    0.000000000    0.042251740    0.000473961
    0.785398185    0.785398185    0.069647343    0.001026936
    0.785398185    1.570796371    0.101784811    0.000744699
    0.785398185    2.356194496    0.147171357    0.001289570
    0.785398185    3.141592741    0.152332211    0.000672837
    0.785398185   -3.141592741    0.152332211    0.000672837
    0.785398185   -2.356194496    0.147535916    0.000902504
    0.785398185   -1.570796371    0.102847433    0.000754808
    0.785398185   -0.785398185    0.069208959    0.000863713
    1.570796371    0.000000000    0.095548973    0.000542963
    1.570796371    0.785398185    0.102187718    0.000947577
    1.570796371    1.570796371    0.133174709    0.001017795
    1.570796371    2.356194496    0.164430282    0.001341111
    1.570796371    3.141592741    0.184938115    0.001847372
    1.570796371   -3.141592741    0.184938115    0.001847372
    1.570796371   -2.356194496    0.167491990    0.001246789
    1.570796371   -1.570796371    0.131483920    0.000957298
    1.570796371   -0.785398185    0.102614255    0.000304569
    2.356194496    0.000000000    0.127314550    0.000572866
    2.356194496    0.785398185    0.147965845    0.000674991
    2.356194496    1.570796371    0.167382862    0.001168722
    2.356194496    2.356194496    0.306858054    0.003554229
    2.356194496    3.141592741    0.554143004    0.006221532
    2.356194496   -3.141592741    0.554143004    0.006221532
    2.356194496   -2.356194496    0.302864814    0.003646106
    2.356194496   -1.570796371    0.167474929    0.001517240
    2.356194496   -0.785398185    0.148267934    0.000854943
    3.141592741    0.000000000    0.146250552    0.001078693
   -3.141592741    0.000000000    0.146250552    0.001078693
    3.141592741    0.785398185    0.154654743    0.001480772
   -3.141592741    0.785398185    0.154654743    0.001480772
    3.141592741    1.570796371    0.188713303    0.001004622
   -3.141592741    1.570796371    0.188713303    0.001004622
    3.141592741    2.356194496    0.559032562    0.009908636
   -3.141592741    2.356194496    0.559032562    0.009908636
    3.141592741    3.141592741    1.077078130    0.012886568
   -3.141592741    3.141592741    1.077078130    0.012886568
    3.141592741   -3.141592741    1.077078130    0.012886568
   -3.141592741   -3.141592741    1.077078130    0.012886568
    3.141592741   -2.356194496    0.559032378    0.009908632
   -3.141592741   -2.356194496    0.559032378    0.009908632
    3.141592741   -1.570796371    0.188713347    0.001004622
   -3.141592741   -1.570796371    0.188713347    0.001004622
    3.141592741   -0.785398185    0.154654765    0.001480772
   -3.141592741   -0.785398185    0.154654765    0.001480772
   -2.356194496    0.000000000    0.127314565    0.000572866
   -2.356194496    0.785398185    0.148267906    0.000854944
   -2.356194496    1.570796371    0.167474869    0.001517242
   -2.356194496    2.356194496    0.302864868    0.003646106
   -2.356194496    3.141592741    0.554142819    0.006221531
   -2.356194496   -3.141592741    0.554142819    0.006221531
   -2.356194496   -2.356194496    0.306858202    0.003554232
   -2.356194496   -1.570796371    0.167382903    0.001168722
   -2.356194496   -0.785398185    0.147965903    0.000674990
   -1.570796371    0.000000000    0.095548996    0.000542963
   -1.570796371    0.785398185    0.102614289    0.000304569
   -1.570796371    1.570796371    0.131483933    0.000957298
   -1.570796371    2.356194496    0.167492038    0.001246787
   -1.570796371    3.141592741    0.184938156    0.001847372
   -1.570796371   -3.141592741    0.184938156    0.001847372
   -1.570796371   -2.356194496    0.164430326    0.001341111
   -1.570796371   -1.570796371    0.133174818    0.001017795
   -1.570796371   -0.785398185    0.102187760    0.000947577
   -0.785398185    0.000000000    0.042251750    0.000473961
   -0.785398185    0.785398185    0.069208958    0.000863714
   -0.785398185    1.570796371    0.102847408    0.000754808
   -0.785398185    2.356194496    0.147535878    0.000902504
   -0.785398185    3.141592741    0.152332227    0.000672836
   -0.785398185   -3.141592741    0.152332227    0.000672836
   -0.785398185   -2.356194496    0.147171386    0.001289570
   -0.785398185   -1.570796371    0.101784836    0.000744699
   -0.785398185   -0.785398185    0.069647321    0.001026937
