            k_x            k_y          value          error
    0.000000000    0.000000000   -0.000000000    0.000000000
    0.000000000    0.628318548    0.042117542    0.000854907
    0.000000000    1.256637096    0.078194878    0.000901463
    0.000000000    1.884955645    0.106360782    0.000663877
    0.000000000    2.513274193    0.121664838    0.000624117
    0.000000000    3.141592741    0.138711718    0.001769046
    0.000000000   -3.141592741    0.138711718    0.001769046
    0.000000000   -2.513274193    0.121664842    0.000624117
    0.000000000   -1.884955645    0.106360804    0.000663876
    0.000000000   -1.256637096    0.078194893    0.000901462
    0.000000000   -0.628318548    0.042117532    0.000854907
    0.628318548    0.000000000    0.031706410    0.000339492
    0.628318548    0.628318548    0.043620649    0.000275414
    0.628318548    1.256637096    0.076433876    0.000567044
    0.628318548    1.884955645    0.103878966    0.000634478
    0.628318548    2.513274193    0.208449973    0.002097907
    0.628318548    3.141592741    0.134905088    0.000644726
    0.628318548   -3.141592741    0.134905088    0.000644726
    0.628318548   -2.513274193    0.128000604    0.000859187
    0.628318548   -1.884955645    0.101051209    0.000321098
    0.628318548   -1.256637096    0.071574341    0.000458405
    0.628318548   -0.628318548    0.041959506    0.000202604
    1.256637096    0.000000000    0.067557694    0.000446437
    1.256637096    0.628318548    0.075080624    0.000624285
    1.256637096    1.256637096    0.085203442    0.000399368
    1.256637096    1.884955645    0.110957006    0.000576918
    1.256637096    2.513274193    0.131214998    0.000545694
    1.256637096    3.141592741    0.144933955    0.001048072
    1.256637096   -3.141592741    0.144933955    0.001048072
    1.256637096   -2.513274193    0.148624529    0.001164937
    1.256637096   -1.884955645    0.115458377    0.000556069
    1.256637096   -1.256637096    0.082459558    0.000271364
    1.256637096   -0.628318548    0.075970379    0.000616644
    1.884955645    0.000000000    0.105318821    0.000418874
    1.884955645    0.628318548    0.100721202    0.000881813
    1.884955645    1.256637096    0.113672145    0.000612795
    1.884955645    1.884955645    0.122549569    0.000477878
    1.884955645    2.513274193    0.139467962    0.000283083
    1.884955645    3.141592741    0.141826064    0.000550755
    1.884955645   -3.141592741    0.141826064    0.000550755
    1.884955645   -2.513274193    0.140100421    0.000745533
    1.884955645   -1.884955645    0.120836243    0.000277993
    1.884955645   -1.256637096    0.112754361    0.000586777
    1.884955645   -0.628318548    0.107128182    0.000910494
    2.513274193    0.000000000    0.131412336    0.001184740
    2.513274193    0.628318548    0.167123060    0.001856146
    2.513274193    1.256637096    0.139828799    0.000777467
    2.513274193    1.884955645    0.145422115    0.000730514
    2.513274193    2.513274193    0.135671336    0.000272687
    2.513274193    3.141592741    0.133602370    0.000302380
    2.513274193   -3.141592741    0.133602370    0.000302380
    2.513274193   -2.513274193    0.135704287    0.000368343
    2.513274193   -1.884955645    0.138230648    0.000494511
    2.513274193   -1.256637096    0.127281607    0.000311589
    2.513274193   -0.628318548    0.124532939    0.000714123
    3.141592741    0.000000000    0.128248632    0.001171062
   -3.141592741    0.000000000    0.128248632    0.001171062
