folder,L,U,tA,tt,NUP,NDN,E_used,ms_used,E_best,ms_best,gap,best_seed,verdict,n,delta,half,dms
L8n1.000u3.5tA-0.1000tt0.3N32,8.0,3.5,-0.1,0.3,32.0,32.0,-55.712754,0.6325,-55.712754,0.6325,0.0,random,OK,1.0,0.1,True,0.0
L10n1.000u0tA-0.3000tt0.3N50,10.0,0.0,-0.3,0.3,50.0,50.0,-179.878957,0.0,-179.878957,0.0,0.0,neel,OK,1.0,0.3,True,0.0
L10n1.000u4tA-0.2000tt0.3N50,10.0,4.0,-0.2,0.3,50.0,50.0,-81.119548,0.6674,-81.119548,0.6674,-0.0,random,OK,1.0,0.2,True,0.0
L10n1.000u3.5tA-0.1000tt0.3N50,10.0,3.5,-0.1,0.3,50.0,50.0,-87.131104,0.6279,-87.131104,0.6279,-0.0,neel,OK,1.0,0.1,True,0.0
L8n1.000u0tA-0.7000tt0.3N32,8.0,0.0,-0.7,0.3,32.0,32.0,-142.577254,0.0,-142.577254,0.0,-0.0,neel,OK,1.0,0.7,True,0.0
L8n1.000u0tA-0.2000tt0.3N32,8.0,0.0,-0.2,0.3,32.0,32.0,-110.423045,0.0,-110.423045,0.0,0.0,neel,OK,1.0,0.2,True,0.0
L10n1.000u2tA-0.6000tt0.3N50,10.0,2.0,-0.6,0.3,50.0,50.0,-161.240754,0.0353,-161.240754,0.0353,-0.0,neel,OK,1.0,0.6,True,0.0
L8n1.000u3.5tA-0.4000tt0.3N32,8.0,3.5,-0.4,0.3,32.0,32.0,-65.52143,0.1254,-65.523904,0.1264,0.002473,neel,WORSE_TRIAL_same_order,1.0,0.4,True,0.0010000000000000009
L8n1.000u2tA-0.7000tt0.3N32,8.0,2.0,-0.7,0.3,32.0,32.0,-110.628186,0.0509,-110.628186,0.0509,0.0,neel,OK,1.0,0.7,True,0.0
L8n1.000u2tA-0.2000tt0.3N32,8.0,2.0,-0.2,0.3,32.0,32.0,-78.486055,0.063,-78.486055,0.063,0.0,neel,OK,1.0,0.2,True,0.0
L8n1.000u3tA-0.7000tt0.3N32,8.0,3.0,-0.7,0.3,32.0,32.0,-94.688183,0.0735,-94.688183,0.0735,0.0,neel,OK,1.0,0.7,True,0.0
L10n1.000u2tA-0.4000tt0.3N50,10.0,2.0,-0.4,0.3,50.0,50.0,-139.527915,0.0392,-139.527915,0.0392,0.0,neel,OK,1.0,0.4,True,0.0
L8n1.000u2tA-0.4000tt0.3N32,8.0,2.0,-0.4,0.3,32.0,32.0,-89.348476,0.0561,-89.348476,0.0561,0.0,neel,OK,1.0,0.4,True,0.0
L8n1.000u3tA-0.2000tt0.3N32,8.0,3.0,-0.2,0.3,32.0,32.0,-62.89892,0.4313,-62.89892,0.4313,0.0,neel,OK,1.0,0.2,True,0.0
L8n1.000u5tA-0.2000tt0.3N32,8.0,5.0,-0.2,0.3,32.0,32.0,-44.164866,0.7621,-44.164866,0.7621,-0.0,neel,OK,1.0,0.2,True,0.0
L8n1.000u4tA-0.2000tt0.3N32,8.0,4.0,-0.2,0.3,32.0,32.0,-51.857089,0.6722,-51.857089,0.6722,-0.0,neel,OK,1.0,0.2,True,0.0
L10n1.000u4.5tA-0.5000tt0.3N50,10.0,4.5,-0.5,0.3,50.0,50.0,-87.879804,0.401,-88.106415,0.1772,0.226611,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.5,True,0.22380000000000003
