folder,L,U,tA,tt,NUP,NDN,E_used,ms_used,E_best,ms_best,gap,best_seed,verdict,n,delta,half,dms
L8n1.000u3.5tA-0.3000tt0.3N32,8.0,3.5,-0.3,0.3,32.0,32.0,-59.256238,0.4617,-59.6378,0.1424,0.381562,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.3,True,0.31930000000000003
L8n1.000u4tA-0.4000tt0.3N32,8.0,4.0,-0.4,0.3,32.0,32.0,-56.851089,0.4865,-57.713379,0.1751,0.86229,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.4,True,0.3114
L8n1.000u4.5tA-0.5000tt0.3N32,8.0,4.5,-0.5,0.3,32.0,32.0,-55.098643,0.5009,-56.581842,0.2014,1.483199,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.5,True,0.2995
L8n1.000u5tA-0.6000tt0.3N32,8.0,5.0,-0.6,0.3,32.0,32.0,-53.783515,0.5104,-55.911695,0.2201,2.12818,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.6,True,0.2903
beta16_L8n1.000u2tA-0.1000tt0.3N32,8.0,2.0,-0.1,0.3,32.0,32.0,-74.569953,0.3133,-74.658158,0.0664,0.088205,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.1,True,0.2469
L8n1.000u2tA-0.1000tt0.3N32,8.0,2.0,-0.1,0.3,32.0,32.0,-74.569953,0.3133,-74.658169,0.0664,0.088216,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.1,True,0.2469
beta48_L8n1.000u2tA-0.1000tt0.3N32,8.0,2.0,-0.1,0.3,32.0,32.0,-74.569953,0.3133,-74.658167,0.0664,0.088214,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.1,True,0.2469
L10n1.000u3tA-0.3000tt0.3N50,10.0,3.0,-0.3,0.3,50.0,50.0,-104.386935,0.3092,-105.185435,0.0845,0.7985,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.3,True,0.22469999999999996
L10n1.000u4.5tA-0.5000tt0.3N50,10.0,4.5,-0.5,0.3,50.0,50.0,-87.879804,0.401,-88.106415,0.1772,0.226611,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.5,True,0.22380000000000003
L10n1.000u3.5tA-0.4000tt0.3N50,10.0,3.5,-0.4,0.3,50.0,50.0,-100.988528,0.3292,-102.200923,0.1101,1.212395,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.4,True,0.2191
L10n1.000u5tA-0.6000tt0.3N50,10.0,5.0,-0.6,0.3,50.0,50.0,-86.35006,0.4035,-87.001233,0.1872,0.651173,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.6,True,0.21630000000000002
L10n1.000u4.5tA-0.4000tt0.3N50,10.0,4.5,-0.4,0.3,50.0,50.0,-78.628212,0.6531,-79.985167,0.4744,1.356956,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.4,True,0.17870000000000003
L10n1.000u4tA-0.3000tt0.3N50,10.0,4.0,-0.3,0.3,50.0,50.0,-83.130727,0.6324,-83.223823,0.4592,0.093096,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.3,True,0.17319999999999997
L12n1.000u3.5tA-0.4000tt0.3N72,12.0,3.5,-0.4,0.3,72.0,72.0,-146.534706,0.269,-147.056164,0.1005,0.521458,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.4,True,0.1685
