L,nup,delta,U,seed,apx,apy,chi_son_full,chi_son_vertex,chi_sext_full,chi_sext_vertex,chi_d_full,chi_d_vertex,chi_dxy_full,chi_dxy_vertex,n
12,72,0.14,4.0,1,-1,1,3.883925952244312,-4.433132604524526,29.949642214978915,4.3642931178194075,33.87518100775687,3.981935965541382,37.23961531440351,-0.6645250581198809,1.0
12,72,0.14,4.0,2,-1,1,3.878725951189339,-4.487477352258147,30.04751577642445,4.407728262401791,33.26670129753458,3.497791690214689,37.688583686656365,-0.4025942400640535,1.0
12,72,0.14,4.0,3,-1,1,3.8717959255268353,-4.467092748879362,29.930956724935793,4.270268373469742,32.826797187084104,3.3028581904512166,37.060160785865286,-1.1161496472193608,1.0
12,72,0.14,4.0,4,-1,1,3.908704654272432,-4.409959213362514,29.871388851209957,4.285825758104957,33.53296283050391,3.743861022327269,37.825674829679016,-0.3678713908065603,1.0
12,72,0.14,4.0,5,-1,1,3.886296236348495,-4.511858764351681,30.012886871593565,4.4238103024703666,32.857388064921714,3.370760064037948,37.60392597141728,-0.5979035311577477,1.0
12,72,0.14,4.0,6,-1,1,3.879100982294626,-4.438135283580286,30.01988096933355,4.3842677682334115,32.9958181363472,3.0714914347616307,37.06506901780317,-0.6143927521263423,1.0
12,72,0.12,4.0,1,-1,1,3.865280434812796,-4.445240264375627,30.17321205512159,4.1328668258938475,31.08761223721661,3.059999817408084,38.92704124368934,-0.4298450024489452,1.0
12,72,0.12,4.0,2,-1,1,3.844154672731696,-4.418542523108887,30.189267658341873,4.210372851041683,30.72003535479036,2.962114366551859,38.29890534736304,-0.8922293448034889,1.0
12,72,0.12,4.0,3,-1,1,3.858039866706639,-4.452037112258483,30.22555881826927,4.260062172189982,30.84788369440394,2.991113329804028,38.42309973560423,-0.8463405410558995,1.0
12,72,0.12,4.0,4,-1,1,3.898526732017688,-4.524933448172851,30.131249381632255,4.14593917441716,31.4385326888284,3.299794888218572,38.783859907455806,-0.8047334546387631,1.0
