# chi_zz(q) T=0 gate: 4x4 nup=1 ndn=1 U=3.0 tam=0.0 t1=0.0 tp=0.0  (bp=20, dt=0.01, window tau<=0.20)
 q=(kx,ky)  ED chi_win   CPMC chi      +/-      z    ED C(0)  CPMC C(0)
  (0,0)        0.0000     0.0000   0.0000   0.51     0.0000    -0.0000
  (0,1)        0.0055     0.0054   0.0000  30.76     0.0332     0.0328
  (0,2)        0.0045     0.0045   0.0000   3.00     0.0321     0.0321
  (0,3)        0.0055     0.0054   0.0000  30.76     0.0332     0.0328
  (1,0)        0.0055     0.0054   0.0000  26.53     0.0332     0.0328
  (1,1)        0.0045     0.0045   0.0000   2.21     0.0321     0.0321
  (1,2)        0.0037     0.0037   0.0000   2.63     0.0318     0.0318
  (1,3)        0.0045     0.0045   0.0000   3.88     0.0321     0.0321
  (2,0)        0.0045     0.0045   0.0000   2.30     0.0321     0.0321
  (2,1)        0.0037     0.0037   0.0000   2.23     0.0318     0.0318
  (2,2)        0.0032     0.0032   0.0000   3.53     0.0316     0.0317
  (2,3)        0.0037     0.0037   0.0000   2.23     0.0318     0.0318
  (3,0)        0.0055     0.0054   0.0000  26.53     0.0332     0.0328
  (3,1)        0.0045     0.0045   0.0000   3.88     0.0321     0.0321
  (3,2)        0.0037     0.0037   0.0000   2.63     0.0318     0.0318
  (3,3)        0.0045     0.0045   0.0000   2.21     0.0321     0.0321

PASS: 16/16 q-points within max(3.0 sigma, 10% ED)  [chi window 0..0.20]
(pi,pi) cross-check vs validate_chi convention: N*chi_q = 0.0511 (ED windowed 0.0510, ED full 0.0643)
wrote results/chi_spin_bench/t0v2_4x4_U3.json
